smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,prefix,ProbabilityWeight-ft_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight
1200.0,-385.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,924208.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-307851783.363,31163817.4955,-314680487.485,-267049184.136,-334996974.347,-334119516.292,-272023864.665,4.0,971183520895000.0,1.68189591158e-14,84,0.25,0.249999256118,0.25,0.0156249535074
1200.0,-985.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2772623.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-344229213.002,5108712.72143,-343791578.001,-338883641.423,-350450054.581,-349797256.44,-339273858.564,4.0,26098945670100.0,1.68189591158e-14,41,0.25,0.250000743882,0.125,0.00781252324632
1200.0,-785.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-364262713.312,24814818.1287,-368139341.706,-332358029.915,-388414139.921,-386932014.412,-336166132.46,4.0,615775198760000.0,1.68189591158e-14,77,0.25,0.124999019428,0.25,0.00781243871424
1200.0,-785.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1848415.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-423718007.859,22085876.9004,-430968906.733,-392319163.275,-440615054.695,-440156364.863,-397128392.432,4.0,487785958462000.0,1.68189591158e-14,62,0.25,0.250000608631,0.25,0.0156250380394
1200.0,-585.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,924208.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-469691770.288,42319099.205,-466026932.732,-430536221.162,-516176994.524,-512965287.057,-431549026.096,4.0,1790906157520000.0,1.68189591158e-14,83,0.25,0.249999256118,0.25,0.0156249535074
1200.0,-385.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-567411096.073,24506975.6871,-564414603.485,-545457841.165,-595357336.156,-593136649.057,-545880632.712,4.0,600591857326000.0,1.68189591158e-14,104,0.125,0.124999019428,0.25,0.00390621935712
1200.0,-785.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3696831.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-597009485.293,18776611.3662,-589142406.274,-584758513.751,-624994614.873,-619702149.088,-585330732.125,4.0,352561134398000.0,1.68189591158e-14,47,0.25,0.125000371941,0.25,0.00781252324632
1200.0,-985.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-606778424.25,34675610.4026,-597714265.174,-576014944.432,-655670222.219,-648069238.159,-578177433.048,4.0,1202397956790000.0,1.68189591158e-14,76,0.25,0.124999019428,0.125,0.00390621935712
1200.0,-985.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1848415.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-608322853.428,34092083.5286,-609651446.556,-565420659.068,-648567861.532,-643239308.417,-571546368.06,4.0,1162270159320000.0,1.68189591158e-14,61,0.25,0.250000608631,0.125,0.00781251901972
1200.0,-585.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2772623.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-629994166.922,11708396.5208,-629875523.605,-616696747.448,-643528873.029,-642239979.26,-617914455.228,4.0,137086549088000.0,1.68189591158e-14,68,0.25,0.250000743882,0.25,0.0156250464926
1200.0,-785.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,924208.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-643278593.434,19996316.9516,-634345401.196,-631315023.384,-673108547.962,-667574720.942,-631488935.06,4.0,399852691630000.0,1.68189591158e-14,82,0.25,0.249999256118,0.25,0.0156249535074
