npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-meoh_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,PointProbability
894.0,-718.0,-13077.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1706517132.69,2596667.32003,1706517132.69,1708353253.76,1704681011.62,1704864623.72,1708169641.65,2.0,6742681170910.0,8,0.25,0.25,0.00781223726762,0.124995796282,9.0090706851e-14
894.0,-718.0,-17341.0,-1e+200,-1e+200,-1e+200,-1e+200,691360.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1697189506.6,2430845.34243,1697189506.6,1698908373.82,1695470639.37,1695642526.09,1698736487.1,2.0,5909009078820.0,82,0.25,0.25,0.0156251525543,0.250002440869,9.0090706851e-14
894.0,-894.0,-17341.0,-1e+200,-1e+200,-1e+200,-1e+200,460907.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1690537475.59,6003548.54216,1690537475.59,1694782625.47,1686292325.7,1686716840.69,1694358110.48,2.0,36042595098100.0,52,0.25,0.124645892351,0.00779046123547,0.250002983284,9.0090706851e-14
894.0,-365.0,-8813.0,-1e+200,-1e+200,-1e+200,-1e+200,460907.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1673572076.91,1546249.7136,1673572076.91,1674665440.56,1672478713.25,1672588049.61,1674556104.2,2.0,2390888176820.0,69,0.25,0.25,0.0156251864552,0.250002983284,9.0090706851e-14
894.0,-894.0,-21605.0,-1e+200,-1e+200,-1e+200,-1e+200,921813.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1673522579.32,103719.798095,1673522579.32,1673595920.3,1673449238.35,1673456572.45,1673588586.2,2.0,10757796516.8,101,0.125,0.124645892351,0.00194761108325,0.125001220434,9.0090706851e-14
894.0,-541.0,-8813.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1660534656.95,1822916.13939,1660534656.95,1661823653.31,1659245660.59,1659374560.22,1661694753.68,2.0,3323023251240.0,14,0.25,0.25,0.00781223726762,0.124995796282,9.0090706851e-14
894.0,-541.0,-8813.0,-1e+200,-1e+200,-1e+200,-1e+200,230453.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1651528629.02,9650270.26065,1651528629.02,1658352400.56,1644704857.47,1645387234.63,1657670023.4,2.0,93127716103700.0,39,0.25,0.25,0.0156248474457,0.249997559131,9.0090706851e-14
894.0,-188.0,-4549.0,-1e+200,-1e+200,-1e+200,-1e+200,460907.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1647220752.31,4754025.00153,1647220752.31,1650582355.63,1643859148.99,1644195309.32,1650246195.29,2.0,22600753715200.0,75,0.125,0.125354107649,0.00391736260988,0.250002983284,9.0090706851e-14
894.0,-365.0,-4549.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1630006738.94,5289524.46912,1630006738.94,1633746997.56,1626266480.31,1626640506.18,1633372971.69,2.0,27979069109400.0,20,0.125,0.25,0.00390611863381,0.124995796282,9.0090706851e-14
894.0,-541.0,-13077.0,-1e+200,-1e+200,-1e+200,-1e+200,691360.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1629134846.86,768307.158802,1629134846.86,1629678122.06,1628591571.66,1628645899.18,1629623794.54,2.0,590295890266.0,88,0.25,0.25,0.0156251525543,0.250002440869,9.0090706851e-14
894.0,-718.0,-13077.0,-1e+200,-1e+200,-1e+200,-1e+200,460907.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1616815175.31,2247293.5863,1616815175.31,1618404251.85,1615226098.78,1615385006.43,1618245344.19,2.0,5050328463040.0,58,0.25,0.25,0.0156251864552,0.250002983284,9.0090706851e-14
