npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-h2_storage_capacity,PointProbability,ProbabilityWeight-htse_capacity,ProbabilityWeight-ft_capacity,ProbabilityWeight
522.0,-320.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,203895.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,869609121.853,1085700.79033,869783127.603,870545959.658,868324272.547,868439874.002,870534761.652,4.0,1178746206120.0,68,0.250009196248,1.0406674226900002e-12,0.249333333333,0.25,0.0155839065661
522.0,-413.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,863392793.888,844014.6924,863185005.08,864560133.2,862641032.191,862685443.959,864391048.148,4.0,712360800987.0,57,0.249990803752,1.0406674226900002e-12,0.249333333333,0.25,0.0155827601005
522.0,-413.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,850126729.998,741455.757557,850294844.912,850833021.772,849084208.394,849256901.08,850761198.035,4.0,549756640414.0,52,0.124986205628,1.0406674226900002e-12,0.249333333333,0.25,0.00779080681749
522.0,-320.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,271860.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,843151402.859,1059548.47213,843283958.326,844232724.122,841804970.664,841964010.922,844153217.144,4.0,1122642964790.0,73,0.125004598124,1.0406674226900002e-12,0.249333333333,0.25,0.00779195328306
522.0,-413.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,836680899.25,245703.492232,836728713.647,836897008.023,836369161.682,836403927.648,836890930.695,4.0,60370206094.8,62,0.250009196248,1.0406674226900002e-12,0.249333333333,0.25,0.0155839065661
522.0,-226.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,835545362.079,860549.969043,835636963.499,836438766.865,834468754.453,834591207.865,836371274.304,4.0,740546249221.0,79,0.124986205628,1.0406674226900002e-12,0.250666666667,0.25,0.00783246888603
522.0,-413.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,203895.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,809259334.584,1196046.96721,809323719.403,810410510.722,807979388.808,808059185.828,810369344.593,4.0,1430528347770.0,67,0.250009196248,1.0406674226900002e-12,0.249333333333,0.25,0.0155839065661
522.0,-226.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,809082143.075,774412.646283,808936844.888,810113026.865,808341855.66,808390552.012,809977151.6,4.0,599714946723.0,84,0.249990803752,1.0406674226900002e-12,0.250666666667,0.25,0.0156660903685
522.0,-507.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,792631284.426,1542289.51653,792077805.191,794901429.543,791468097.777,791545834.71,794491605.069,4.0,2378656952790.0,56,0.249990803752,1.0406674226900002e-12,0.125333333333,0.25,0.00783304518423
522.0,-413.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,271860.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,783962838.802,1369424.84973,783715742.12,785789117.537,782630753.429,782726915.057,785544697.901,4.0,1875324419060.0,72,0.125004598124,1.0406674226900002e-12,0.249333333333,0.25,0.00779195328306
522.0,-226.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,783325704.467,1609268.13329,783104076.334,785176801.267,781917863.932,781936258.28,785025430.04,4.0,2589743924810.0,89,0.250009196248,1.0406674226900002e-12,0.250666666667,0.25,0.0156672429649
522.0,-507.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,764407480.709,1417555.49491,764607340.951,765707894.337,762707346.598,762868335.982,765666821.098,4.0,2009463581150.0,61,0.250009196248,1.0406674226900002e-12,0.125333333333,0.25,0.00783362148244
522.0,-226.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,203895.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,755268678.82,677288.258242,755503928.566,755766108.486,754300749.66,754451011.615,755756996.379,4.0,458719384753.0,94,0.250009196248,1.0406674226900002e-12,0.250666666667,0.25,0.0156672429649
522.0,-507.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,750414865.599,609758.135054,750461938.621,750973185.074,749762400.08,749802504.537,750961324.43,4.0,371804983265.0,51,0.124986205628,1.0406674226900002e-12,0.125333333333,0.25,0.00391623444301
522.0,-320.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,745583097.625,792769.168547,745547960.789,746558006.068,744678462.852,744773048.979,746442337.84,4.0,628482954599.0,83,0.249990803752,1.0406674226900002e-12,0.249333333333,0.25,0.0155827601005
522.0,-507.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,203895.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,737754988.347,1125170.75056,737844755.348,738955515.209,736374927.484,736525359.639,738858943.255,4.0,1266009217910.0,66,0.250009196248,1.0406674226900002e-12,0.125333333333,0.25,0.00783362148244
522.0,-320.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,734768312.074,1044923.24438,734638305.673,735986427.792,733810209.158,733837211.175,735881421.935,4.0,1091864586650.0,78,0.124986205628,1.0406674226900002e-12,0.249333333333,0.25,0.00779080681749
522.0,-226.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,271860.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,730435264.562,888507.044044,730091554.541,731735848.23,729822100.935,729835566.177,731516156.976,4.0,789444767316.0,99,0.125004598124,1.0406674226900002e-12,0.250666666667,0.25,0.00783362148244
522.0,-132.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,728423657.769,1690270.08229,728213190.174,730627893.69,726640357.039,726805636.297,730336333.875,4.0,2857012951080.0,105,0.124986205628,1.0406674226900002e-12,0.125333333333,0.125026522385,0.00195853269302
