smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,PointProbability,ProbabilityWeight-ft_capacity,ProbabilityWeight
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1233187509.07,24718010.016,-1236551496.49,-1199781287.56,-1266984204.1,-1262929114.73,-1202708356.94,10.0,610980019150000.0,84,0.250453720508,0.249999574839,2.4762864257000002e-14,0.249981948155,0.015652200625
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1309988005.43,15342864.8017,-1314974185.48,-1285684673.46,-1324932674.72,-1324267858.13,-1288157936.23,10.0,235403500323000.0,83,0.249546279492,0.249999574839,2.4762864257000002e-14,0.249981948155,0.0155954897531
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1329843397.09,26452016.6468,-1324760706.51,-1288425531.11,-1366305005.39,-1365648432.02,-1296122429.47,10.0,699709184685000.0,108,0.249546279492,0.249999574839,2.4762864257000002e-14,0.124990974078,0.00779774487657
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1419116407.25,15669182.8555,-1421068139.89,-1394825133.42,-1437830046.48,-1436989644.49,-1395247656.5,10.0,245523291360000.0,58,0.249546279492,0.249999574839,2.4762864257000002e-14,0.250018051845,0.0155977421347
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1454064998.01,23110459.2487,-1455142901.16,-1408097902.52,-1487561436.73,-1486405652.67,-1419596657.07,10.0,534093326685000.0,82,0.249546279492,0.249999574839,2.4762864257000002e-14,0.249981948155,0.0155954897531
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1471296431.87,38544376.1282,-1472738307.99,-1411172153.46,-1523844093.32,-1521701302.88,-1416265747.55,10.0,1485668931110000.0,107,0.249546279492,0.249999574839,2.4762864257000002e-14,0.124990974078,0.00779774487657
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1491170679.74,22630765.9566,-1491524987.29,-1448693172.38,-1523101676.92,-1519156095.66,-1460156499.95,10.0,512151567784000.0,57,0.249546279492,0.249999574839,2.4762864257000002e-14,0.250018051845,0.0155977421347
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1586570041.76,42525999.5049,-1580139357.02,-1526605615.66,-1660089556.49,-1646647344.74,-1529656633.44,10.0,1808460633890000.0,115,0.125226860254,0.250000519641,2.4762864257000002e-14,0.124990974078,0.0039130649445
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1598653134.64,11810516.8623,-1598866386.69,-1582884513.23,-1616442980.98,-1616363907.05,-1584828722.33,10.0,139488308554000.0,32,0.249546279492,0.249999574839,2.4762864257000002e-14,0.250018051845,0.0155977421347
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1603261037.24,15647431.469,-1600308686.54,-1587058619.14,-1637595751.55,-1630448107.79,-1587967705.1,10.0,244842111578000.0,56,0.125226860254,0.249999574839,2.4762864257000002e-14,0.250018051845,0.00782723059849
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1604085351.5,18111388.1134,-1601021382.0,-1583242084.63,-1644536853.96,-1634009657.83,-1584995062.14,10.0,328022379394000.0,81,0.125226860254,0.249999574839,2.4762864257000002e-14,0.249981948155,0.00782610031248
720.0,-705.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1630534645.95,37562037.3613,-1634533663.22,-1578910613.39,-1687827279.52,-1680314145.88,-1582542811.32,10.0,1410906650730000.0,106,0.125226860254,0.249999574839,2.4762864257000002e-14,0.124990974078,0.00391305015624
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1654342622.21,9444570.93865,-1658032970.93,-1641390658.49,-1670936926.13,-1666274654.51,-1641929163.41,10.0,89199920215200.0,31,0.125226860254,0.249999574839,2.4762864257000002e-14,0.250018051845,0.00782723059849
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1728924048.44,23492047.9994,-1735605326.07,-1693798999.28,-1759159744.24,-1756304884.11,-1695741323.74,10.0,551876319206000.0,114,0.250453720508,0.250000519641,2.4762864257000002e-14,0.124990974078,0.007826129889
