smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,PointProbability,ProbabilityWeight-htse_capacity,ProbabilityWeight-meoh_capacity,ProbabilityWeight,prefix
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-274496812.985,4812164.51296,-274496812.985,-271094098.826,-277899527.144,-277559255.729,-271434370.242,2.0,23156927299800.0,0.249999500615,2.6175466018599997e-14,0.249546279492,0.25,0.0155966113133,44
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-276804007.671,9483758.17877,-276804007.671,-270097977.952,-283510037.391,-282839434.419,-270768580.924,2.0,89941669193300.0,0.249999500615,2.6175466018599997e-14,0.125226860254,0.249963898917,0.0078255329277,28
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-353033880.591,36495091.7246,-353033880.591,-327227953.753,-378839807.43,-376259214.746,-329808546.437,2.0,1331891719990000.0,0.249999500615,2.6175466018599997e-14,0.249546279492,0.25,0.0155966113133,39
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-382749856.797,12472727.6868,-382749856.797,-373930306.47,-391569407.124,-390687452.091,-374812261.502,2.0,155568935949000.0,0.250000499385,2.6175466018599997e-14,0.250453720508,0.25,0.0156533888,57
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-407563818.55,22633619.8672,-407563818.55,-391559432.46,-423568204.641,-421967766.032,-393159871.069,2.0,512280748295000.0,0.249999500615,2.6175466018599997e-14,0.125226860254,0.125018050542,0.00391389666791,50
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-408418595.111,39298839.3483,-408418595.111,-380630119.315,-436207070.907,-433428223.327,-383408966.894,2.0,1544398774130000.0,0.124999250922,2.6175466018599997e-14,0.250453720508,0.125018050542,0.00391388103154,10
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-459592553.614,351545.06487,-459592553.614,-459343973.714,-459841133.513,-459816275.523,-459368831.704,2.0,123583932634.0,0.250000499385,2.6175466018599997e-14,0.125226860254,0.25,0.0078266944,52
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-509313472.569,35406242.9771,-509313472.569,-484277478.063,-534349467.074,-531845867.624,-486781077.514,2.0,1253602041760000.0,0.249999500615,2.6175466018599997e-14,0.250453720508,0.25,0.0156533262635,34
720.0,-667.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-528739514.526,19124615.4006,-528739514.526,-515216369.289,-542262659.764,-540910345.24,-516568683.813,2.0,365750914220000.0,0.124999250922,2.6175466018599997e-14,0.125226860254,0.125018050542,0.00195694051577,5
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-547057165.05,11820240.3776,-547057165.05,-538698992.924,-555415337.176,-554579519.964,-539534810.136,2.0,139718082585000.0,0.249999500615,2.6175466018599997e-14,0.249546279492,0.125018050542,0.00779943176577,45
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-585877995.717,5226271.41692,-585877995.717,-582182463.757,-589573527.676,-589203974.48,-582552016.953,2.0,27313912923300.0,0.250000499385,2.6175466018599997e-14,0.249546279492,0.249963898917,0.0155944213959,63
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-622564440.19,1696194.56849,-622564440.19,-621365049.508,-623763830.871,-623643891.803,-621484988.576,2.0,2877076014190.0,0.249999500615,2.6175466018599997e-14,0.125226860254,0.25,0.00782666313177,29
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-679257950.828,15330305.6283,-679257950.828,-668417787.76,-690098113.895,-689014097.589,-669501804.067,2.0,235018270656000.0,0.250000499385,2.6175466018599997e-14,0.250453720508,0.249963898917,0.0156511283828,58
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-683166529.344,22101821.1463,-683166529.344,-667538181.735,-698794876.953,-697232042.192,-669101016.496,2.0,488490497984000.0,0.249999500615,2.6175466018599997e-14,0.249546279492,0.125018050542,0.00779943176577,40
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,3754623.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-706143347.801,14953785.6256,-706143347.801,-695569424.58,-716717271.021,-715659878.699,-696626816.902,2.0,223615704538000.0,0.250000499385,2.6175466018599997e-14,0.125226860254,0.125018050542,0.00391391230429,76
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-775796468.911,5504721.8239,-775796468.911,-771904042.781,-779688895.041,-779299652.428,-772293285.394,2.0,30301962358500.0,0.250000499385,2.6175466018599997e-14,0.249546279492,0.25,0.0155966736232,69
