smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight,ProbabilityWeight-htse_capacity,ProbabilityWeight-ft_capacity,ProbabilityWeight-h2_storage_capacity,prefix
1200.0,-585.0,-24756.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5545246.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1112075518.97,67987721.5632,-1115147298.77,-1010500933.95,-1213897224.39,-1209059253.37,-1025982977.06,10.0,4622330283360000.0,6.6445189699799995e-15,0.00154321175503,0.111111111111,0.0555555555556,0.250000304315,35
1200.0,-885.0,-24756.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3696831.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1124351827.25,38340034.2586,-1137287631.44,-1047576620.78,-1167729759.13,-1162974864.95,-1067184914.47,10.0,1469958226950000.0,6.6445189699799995e-15,0.00154321217247,0.111111111111,0.0555555555556,0.250000371941,22
1200.0,-685.0,-22243.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1848415.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1143734488.87,28975304.3766,-1151367401.7,-1087801439.73,-1183837576.4,-1180722327.43,-1100848366.95,10.0,839568263719000.0,6.6445189699799995e-15,0.00308641599611,0.111111111111,0.111111111111,0.249999695685,64
1200.0,-585.0,-22243.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3696831.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1164682706.3,26166034.9114,-1158169186.52,-1134657057.35,-1204861649.82,-1202688300.97,-1135190219.65,10.0,684661382986000.0,6.6445189699799995e-15,0.00308642434495,0.111111111111,0.111111111111,0.250000371941,75
1200.0,-285.0,-22243.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5545246.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1174362271.4,80107995.4553,-1143761515.06,-1062559116.82,-1333915154.69,-1298892190.21,-1084966342.19,10.0,6417290935870000.0,6.6445189699799995e-15,0.00308642351006,0.111111111111,0.111111111111,0.250000304315,88
1200.0,-785.0,-22243.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1848415.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1177536374.72,35173782.8232,-1177423495.34,-1125518913.6,-1233334630.11,-1223718225.01,-1130244987.37,10.0,1237194998090000.0,6.6445189699799995e-15,0.00308641599611,0.111111111111,0.111111111111,0.249999695685,63
1200.0,-285.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3696831.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1202799614.04,30958975.5075,-1212865239.32,-1149901035.4,-1238410615.38,-1237964094.94,-1154876064.48,10.0,958458164471000.0,6.6445189699799995e-15,0.00308642434495,0.111111111111,0.111111111111,0.250000371941,128
1200.0,-985.0,-24756.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3696831.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1207282474.43,42677296.4497,-1211513553.79,-1117909861.36,-1263515189.28,-1259281450.09,-1145603542.45,10.0,1821351632260000.0,6.6445189699799995e-15,0.000771606086237,0.0555555555556,0.0555555555556,0.250000371941,21
1200.0,-685.0,-24756.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5545246.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1226935255.61,73234636.9094,-1204693276.31,-1148693674.14,-1360600483.75,-1345949707.88,-1152658792.82,10.0,5363312043250000.0,6.6445189699799995e-15,0.00154321175503,0.111111111111,0.0555555555556,0.250000304315,34
1200.0,-85.0,-24756.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,7393661.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1231369381.92,69325558.8088,-1216810424.42,-1123722483.75,-1378444637.09,-1336576448.66,-1148571166.08,10.0,4806033104150000.0,6.6445189699799995e-15,0.000385802938758,0.0555555555556,0.0555555555556,0.125000152158,50
