,index,npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-ft_capacity,PointProbability,ProbabilityWeight,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity
16,25,522.0,-460.0,-11565.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,45310.0,ref,prairie_island,minnesota,covid,947336669.1689999,79171.11953360001,947328315.383,947440585.256,947249460.656,947259576.14,947425457.5,4.0,6268066168.2,0.111090154659,4.3848457759400005e-12,0.00137505704665,182,0.11113727336899999,0.111374407583
17,27,522.0,-460.0,-11565.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,50974.0,ref,prairie_island,minnesota,covid,945153341.1589999,101498.98706900001,945177139.1769999,945248605.657,945010480.624,945033676.332,945239688.76,4.0,10302044376.0,0.111090154659,4.3848457759400005e-12,0.000687528523325,192,0.055568636684699996,0.111374407583
18,10,522.0,-507.0,-11565.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,5664.0,ref,prairie_island,minnesota,covid,913582836.868,161083.718204,913623910.908,913728760.84,913354764.8160001,913391525.6960001,913716644.385,4.0,25947964270.5,0.111090154659,4.3848457759400005e-12,0.000686860902054,111,0.11102935405400001,0.0556872037915
19,13,522.0,-507.0,-11565.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,11327.0,ref,prairie_island,minnesota,covid,913047565.352,195259.086794,912979878.1789999,913332220.435,912898284.617,912905897.9419999,913283994.805,4.0,38126110975.7,0.111090154659,4.3848457759400005e-12,0.000687467830482,121,0.111127462523,0.0556872037915
20,15,522.0,-507.0,-11565.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,16991.0,ref,prairie_island,minnesota,covid,911044877.6989999,266025.387537,911015082.48,911371764.787,910777581.0510001,910794164.4330001,911337304.273,4.0,70769506814.3,0.111090154659,4.3848457759400005e-12,0.000687528523325,131,0.11113727336899999,0.0556872037915
21,9,522.0,-507.0,-11565.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,10.0,ref,prairie_island,minnesota,covid,909184750.053,22685.4505607,909186479.8010001,909209821.282,909156219.327,909159722.767,909207355.6910001,4.0,514629667.144,0.111090154659,4.3848457759400005e-12,0.00034315733323500005,101,0.055470528216,0.0556872037915
22,16,522.0,-507.0,-11565.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,22655.0,ref,prairie_island,minnesota,covid,909018598.9610001,228663.58595799998,909079160.488,909224121.168,908691953.6989999,908747460.12,909204951.6639999,4.0,52287035543.0,0.111090154659,4.3848457759400005e-12,0.000687528523325,141,0.11113727336899999,0.0556872037915
23,18,522.0,-507.0,-11565.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,28319.0,ref,prairie_island,minnesota,covid,906936428.266,336776.611352,906979958.7110001,907293640.117,906492155.5239999,906553958.079,907257955.829,4.0,113418485954.0,0.111090154659,4.3848457759400005e-12,0.000687467830482,151,0.111127462523,0.0556872037915
24,20,522.0,-507.0,-11565.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,33982.0,ref,prairie_island,minnesota,covid,904477251.36,140488.41331,904414454.185,904686664.5669999,904393432.505,904394349.497,904648069.2689999,4.0,19736994274.3,0.111090154659,4.3848457759400005e-12,0.000687467830482,161,0.111127462523,0.0556872037915
25,22,522.0,-507.0,-11565.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,39646.0,ref,prairie_island,minnesota,covid,902169077.233,155882.564544,902198219.627,902318444.786,901961424.893,901988887.69,902308467.425,4.0,24299373928.9,0.111090154659,4.3848457759400005e-12,0.000687528523325,171,0.11113727336899999,0.0556872037915
26,24,522.0,-507.0,-11565.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,45310.0,ref,prairie_island,minnesota,covid,900212869.7889999,176144.733453,900222944.877,900415483.7010001,899990105.7010001,900020054.775,900391579.68,4.0,31026967123.4,0.111090154659,4.3848457759400005e-12,0.000687528523325,181,0.11113727336899999,0.0556872037915
27,26,522.0,-507.0,-11565.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,50974.0,ref,prairie_island,minnesota,covid,897800237.0630001,147108.836653,897851007.6,897912882.3360001,897586050.7160001,897622115.4460001,897907279.9289999,4.0,21641009821.5,0.111090154659,4.3848457759400005e-12,0.00034376426166300006,191,0.055568636684699996,0.0556872037915
28,32,522.0,-413.0,-10387.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,5664.0,ref,prairie_island,minnesota,covid,856650556.7639999,76708.6770533,856654290.0439999,856724942.1839999,856568704.783,856573754.227,856722132.7080001,4.0,5884221135.27,0.111137306677,4.3848457759400005e-12,0.00137430487788,213,0.11102935405400001,0.111374407583
29,35,522.0,-413.0,-10387.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,11327.0,ref,prairie_island,minnesota,covid,854498733.978,72867.4299291,854487824.1589999,854590984.585,854428303.008,854432233.408,854580508.2939999,4.0,5309662344.47,0.111137306677,4.3848457759400005e-12,0.0013755192499600001,223,0.111127462523,0.111374407583
30,38,522.0,-413.0,-10387.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,16991.0,ref,prairie_island,minnesota,covid,852274565.225,96728.3183857,852266858.57,852398689.1010001,852165854.66,852178148.161,852381771.6060001,4.0,9356367577.73,0.111137306677,4.3848457759400005e-12,0.0013756406871600001,233,0.11113727336899999,0.111374407583
31,41,522.0,-413.0,-10387.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,22655.0,ref,prairie_island,minnesota,covid,850082888.398,132206.464848,850110437.483,850212381.772,849898296.854,849929198.338,850198009.739,4.0,17478549347.6,0.111137306677,4.3848457759400005e-12,0.0013756406871600001,243,0.11113727336899999,0.111374407583
32,44,522.0,-413.0,-10387.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,28319.0,ref,prairie_island,minnesota,covid,847925463.735,65698.2620245,847914036.088,848006974.776,847866807.988,847868480.6980001,847998445.477,4.0,4316261633.04,0.111137306677,4.3848457759400005e-12,0.0013755192499600001,253,0.111127462523,0.111374407583
33,46,522.0,-413.0,-10387.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,33982.0,ref,prairie_island,minnesota,covid,845751792.315,46076.5729739,845747130.6110001,845806393.8330001,845706514.2060001,845708790.86,845801320.156,4.0,2123050577.02,0.111137306677,4.3848457759400005e-12,0.0013755192499600001,263,0.111127462523,0.111374407583
