npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-meoh_capacity,ProbabilityWeight,ProbabilityWeight-htse_capacity,prefix
1280.0,-1000.0,-24583.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2424535635.31,3361575.69671,2424535635.31,2426912628.28,2422158642.34,2422396341.63,2426674928.98,2.0,11300191164700.0,1.21200144652e-13,0.124992849434,0.124987287705,0.00195281465415,0.125,1
1280.0,-1000.0,-24583.0,-1e+200,-1e+200,-1e+200,-1e+200,131111.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2377306356.39,7559991.26092,2377306356.39,2382652077.48,2371960635.31,2372495207.41,2382117505.37,2.0,57153467865100.0,1.21200144652e-13,0.249995232956,0.124987287705,0.00390577826328,0.125,26
1280.0,-800.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2351128494.15,20660549.5627,2351128494.15,2365737708.85,2336519279.45,2337980200.92,2364276787.38,2.0,426858308232000.0,1.21200144652e-13,0.124992849434,0.25,0.00781205308962,0.25,7
1280.0,-800.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,131111.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2341240350.17,22768043.9714,2341240350.17,2357339788.45,2325140911.88,2326750855.71,2355729844.63,2.0,518383826285000.0,1.21200144652e-13,0.249995232956,0.25,0.0156247020597,0.25,32
1280.0,-600.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2339432292.72,24881612.8462,2339432292.72,2357026249.89,2321838335.55,2323597731.26,2355266854.17,2.0,619094657830000.0,1.21200144652e-13,0.124992849434,0.250025424591,0.00781284756262,0.25,13
1280.0,-400.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2300223717.62,9455951.0174,2300223717.62,2306910084.71,2293537350.53,2294205987.24,2306241448.0,2.0,89415009643500.0,1.21200144652e-13,0.124992849434,0.25,0.00781205308962,0.25,19
1280.0,-200.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2297144941.66,9869625.97456,2297144941.66,2304123821.11,2290166062.2,2290863950.15,2303425933.16,2.0,97409516877800.0,1.21200144652e-13,0.124992849434,0.124987287705,0.00195281465415,0.125,25
1280.0,-1000.0,-24583.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2294998799.03,6235144.27733,2294998799.03,2299407711.83,2290589886.23,2291030777.51,2298966820.55,2.0,38877024159100.0,1.21200144652e-13,0.250004767044,0.124987287705,0.00390592721826,0.125,51
1280.0,-1000.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,131111.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2269147413.39,25784301.077,2269147413.39,2287379667.53,2250915159.25,2252738384.66,2285556442.11,2.0,664830182027000.0,1.21200144652e-13,0.249995232956,0.25,0.00781235102987,0.125,27
1280.0,-800.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2268611905.22,10488020.6108,2268611905.22,2276028055.72,2261195754.73,2261937369.77,2275286440.67,2.0,109998576332000.0,1.21200144652e-13,0.250004767044,0.25,0.0156252979403,0.25,57
1280.0,-1000.0,-24583.0,-1e+200,-1e+200,-1e+200,-1e+200,393333.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2262688033.47,6580832.68165,2262688033.47,2267341384.88,2258034682.05,2258500017.2,2266876049.74,2.0,43307358783900.0,1.21200144652e-13,0.250004767044,0.124987287705,0.00390592721826,0.125,76
1280.0,-600.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,131111.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2256995999.68,55288573.3754,2256995999.68,2296090924.83,2217901074.52,2221810567.04,2292181432.32,2.0,3056826345890000.0,1.21200144652e-13,0.249995232956,0.250025424591,0.0156262910664,0.25,38
1280.0,-200.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,131111.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2249337493.75,63992756.6635,2249337493.75,2294587205.93,2204087781.56,2208612752.78,2290062234.71,2.0,4095072905400000.0,1.21200144652e-13,0.249995232956,0.124987287705,0.00390577826328,0.125,50
1280.0,-400.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,131111.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2247918923.49,65474714.1111,2247918923.49,2294216537.83,2201621309.15,2206251070.58,2289586776.4,2.0,4286938187930000.0,1.21200144652e-13,0.249995232956,0.25,0.0156247020597,0.25,44
1280.0,-800.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,393333.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2229243867.05,20281440.5134,2229243867.05,2243585011.16,2214902722.93,2216336837.34,2242150896.75,2.0,411336829298000.0,1.21200144652e-13,0.250004767044,0.25,0.0156252979403,0.25,82
1280.0,-800.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,131111.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2218048699.52,26797346.474,2218048699.52,2236997284.93,2199100114.11,2200994972.65,2235102426.39,2.0,718097778049000.0,1.21200144652e-13,0.249995232956,0.250025424591,0.0156262910664,0.25,33
1280.0,-600.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,393333.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2192913841.03,3747335.03124,2192913841.03,2195563607.04,2190264075.02,2190529051.62,2195298630.44,2.0,14042519836300.0,1.21200144652e-13,0.250004767044,0.250025424591,0.0156268870075,0.25,88
