smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,co2_location_label,fuel_region_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,PointProbability,ProbabilityWeight-ft_capacity
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-459972062.803,5136150.70698,-458515081.41,-455563018.043,-467295070.349,-466121493.796,-455862405.761,4.0,26380044084800.0,0.00195636794902,105,0.12498974865,0.125226860254,3.46688419418e-13,0.124990974078
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-497758842.558,2392531.507,-497923909.082,-495345529.647,-499842022.422,-499834014.39,-495452577.593,4.0,5724207011990.0,0.00391294293863,110,0.249992724848,0.125226860254,3.46688419418e-13,0.124990974078
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-544878027.57,2188365.6091,-544916208.985,-542828912.903,-546850779.406,-546826252.604,-542876348.555,4.0,4788944039080.0,0.00391317068328,115,0.250007275152,0.125226860254,3.46688419418e-13,0.124990974078
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-587857740.819,2983813.57175,-588019230.607,-584061641.448,-591330860.615,-590879655.486,-584609740.449,4.0,8903143430970.0,0.00391317068328,120,0.250007275152,0.125226860254,3.46688419418e-13,0.124990974078
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-619138202.167,4619602.76034,-618834127.654,-614223032.221,-624661521.138,-624108624.399,-614593484.252,4.0,21340729663300.0,0.00782547179608,79,0.12498974865,0.250453720508,3.46688419418e-13,0.249981948155
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-626956772.565,2440311.34143,-627369043.159,-623653713.859,-629435290.085,-629198236.557,-624138129.743,4.0,5955119443130.0,0.00782588587727,109,0.249992724848,0.250453720508,3.46688419418e-13,0.124990974078
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-627414785.782,6696873.79129,-629863159.377,-617576708.395,-632356115.977,-632105445.588,-619296402.941,4.0,44848118576500.0,0.00391273589804,104,0.12498974865,0.250453720508,3.46688419418e-13,0.124990974078
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-628952969.192,3798548.0191,-628902365.351,-624706283.289,-633300862.776,-632908224.221,-625068559.54,4.0,14428967053400.0,0.00195657498961,125,0.125002976198,0.125226860254,3.46688419418e-13,0.124990974078
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-666584623.894,3939904.00188,-665194125.554,-663573681.988,-672376562.481,-671330881.333,-663785064.132,4.0,15522843544000.0,0.0156517717545,84,0.249992724848,0.250453720508,3.46688419418e-13,0.249981948155
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-669351993.183,7678133.22685,-670947417.992,-659103868.442,-676409268.305,-676026555.651,-660443835.982,4.0,58953729849300.0,0.00782634136657,114,0.250007275152,0.250453720508,3.46688419418e-13,0.124990974078
