smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,prefix,ProbabilityWeight-meoh_capacity,ProbabilityWeight
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,655271758.064,22828.6970985,655271758.064,655287900.39,655255615.737,655257229.97,655286286.158,2.0,521149411.216,3.66466187075e-13,0.125226860254,0.249993707579,26,0.125018050542,0.00391380597435
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,615799072.31,19259.6319444,615799072.31,615812690.927,615785453.694,615786815.556,615811329.065,2.0,370933422.632,3.66466187075e-13,0.125226860254,0.250006292421,51,0.125018050542,0.00391400299785
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,576270683.753,71012.652145,576270683.753,576320897.28,576220470.225,576225491.578,576315875.928,2.0,5042796764.67,3.66466187075e-13,0.125226860254,0.250006292421,76,0.125018050542,0.00391400299785
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,536838038.103,15852.9519509,536838038.103,536849247.833,536826828.374,536827949.347,536848126.86,2.0,251316085.556,3.66466187075e-13,0.125226860254,0.125003845369,101,0.125018050542,0.00195701244467
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,252050392.017,35051.515762,252050392.017,252075177.181,252025606.852,252028085.369,252072698.665,2.0,1228608757.21,3.66466187075e-13,0.250453720508,0.249993707579,32,0.25,0.0156529635417
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,212714155.381,354596.690698,212714155.381,212964893.105,212463417.656,212488491.429,212939819.333,2.0,125738813054.0,3.66466187075e-13,0.250453720508,0.250006292421,57,0.25,0.0156537515218
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,173108990.16,248728.012621,173108990.16,173284867.424,172933112.895,172950700.622,173267279.697,2.0,61865624262.4,3.66466187075e-13,0.250453720508,0.250006292421,82,0.25,0.0156537515218
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,133370829.036,176867.329594,133370829.036,133495893.124,133245764.948,133258271.357,133483386.715,2.0,31282052277.8,3.66466187075e-13,0.250453720508,0.125003845369,107,0.25,0.0078269195376
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,122203051.108,185452.215218,122203051.108,122334185.627,122071916.589,122085030.041,122321072.175,2.0,34392524129.3,3.66466187075e-13,0.125226860254,0.12498986221,2,0.25,0.00391302200204
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,107854849.081,167992.667019,107854849.081,107973637.835,107736060.327,107747939.202,107961758.959,2.0,28221536172.1,3.66466187075e-13,0.125226860254,0.249993707579,27,0.25,0.00782648177084
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,68477661.2647,680522.42939,68477661.2647,68958863.2893,67996459.2401,68044579.4426,68910743.0868,2.0,463110776903.0,3.66466187075e-13,0.125226860254,0.250006292421,52,0.25,0.00782687576092
