npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,prefix,ProbabilityWeight-ft_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight
894.0,-703.0,-17658.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1670536305.2,367523.715632,1670536305.2,1670796183.72,1670276426.69,1670302414.54,1670770195.86,2.0,135073681552.0,1.69457067906e-13,27,0.25,0.25,0.124992308198,0.00781201926239
894.0,-703.0,-17658.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,117823.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1615863329.73,920066.635987,1615863329.73,1616513915.08,1615212744.37,1615277802.91,1616448856.55,2.0,846522614656.0,1.69457067906e-13,32,0.25,0.25,0.249995225778,0.0156247016111
894.0,-703.0,-17658.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,235646.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1563599914.93,4102336.16109,1563599914.93,1566500704.64,1560699125.21,1560989204.18,1566210625.67,2.0,16829161978600.0,1.69457067906e-13,37,0.25,0.25,0.25000583516,0.0156253646975
894.0,-350.0,-8790.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1541942011.0,3123423.87951,1541942011.0,1544150605.2,1539733416.79,1539954276.21,1543929745.78,2.0,9755776731090.0,1.69457067906e-13,79,0.25,0.25,0.124992308198,0.00781201926239
894.0,-879.0,-17658.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,117823.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1514606297.77,1805302.08747,1514606297.77,1515882839.12,1513329756.42,1513457410.56,1515755184.99,2.0,3259115627020.0,1.69457067906e-13,31,0.25,0.124645892351,0.249995225778,0.00779021950017
894.0,-703.0,-17658.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,353469.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1511280415.58,1720799.60128,1511280415.58,1512497204.64,1510063626.51,1510185305.42,1512375525.74,2.0,2961151267760.0,1.69457067906e-13,42,0.25,0.25,0.250004774222,0.0156252983889
894.0,-879.0,-17658.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1485748621.87,3432293.72509,1485748621.87,1488175620.04,1483321623.71,1483564323.52,1487932920.23,2.0,11780640215300.0,1.69457067906e-13,26,0.25,0.124645892351,0.124992308198,0.00389494444811
894.0,-350.0,-8790.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,117823.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1484422719.86,3927982.153,1484422719.86,1487200222.68,1481645217.05,1481922967.33,1486922472.4,2.0,15429043794300.0,1.69457067906e-13,84,0.25,0.25,0.249995225778,0.0156247016111
894.0,-879.0,-17658.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,235646.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1463419634.3,1116979.71784,1463419634.3,1464209458.24,1462629810.37,1462708792.76,1464130475.84,2.0,1247643690060.0,1.69457067906e-13,36,0.25,0.124645892351,0.25000583516,0.00779055010413
894.0,-703.0,-17658.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,471291.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1457202129.88,73435.8890606,1457202129.88,1457254056.9,1457150202.87,1457155395.57,1457248864.2,2.0,5392829802.12,1.69457067906e-13,47,0.25,0.25,0.125001856642,0.00781261604011
