smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,prefix,ProbabilityWeight,ProbabilityWeight-ft_capacity,ProbabilityWeight-h2_storage_capacity,PointProbability
240.0,-194.0,-4875.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,241355.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-156318255.756,84230.153065,-156353276.458,-156192789.954,-156373680.155,-156371066.154,-156216416.376,4.0,7094718685.35,0.25,47,0.0078128560774,0.25,0.125005697238,1.06825089311e-11
240.0,-194.0,-4093.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,120678.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-177580224.086,330361.227044,-177739202.403,-177084854.434,-177757637.104,-177754974.672,-177182903.856,4.0,109138540334.0,0.25,62,0.0156255826721,0.25,0.250009322754,1.06825089311e-11
240.0,-225.0,-4875.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,241355.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-178039666.285,210776.213702,-178089776.273,-177750802.467,-178228310.126,-178217719.571,-177791459.015,4.0,44426612262.7,0.125,46,0.0039064280387,0.25,0.125005697238,1.06825089311e-11
240.0,-225.0,-4093.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,60339.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-178439537.382,368962.02315,-178437141.801,-178060304.182,-178823561.743,-178801893.625,-178080534.952,4.0,136132974527.0,0.125,56,0.00781220866395,0.25,0.249990677246,1.06825089311e-11
240.0,-132.0,-3311.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,60339.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-179822821.013,561118.334826,-179860826.744,-179099738.01,-180469892.552,-180379703.638,-179212730.363,4.0,314853785678.0,0.25,84,0.0156244173279,0.25,0.249990677246,1.06825089311e-11
240.0,-163.0,-4093.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,181016.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-181271598.341,791009.869711,-181391503.866,-180206807.472,-182096578.161,-182010364.231,-180364964.717,4.0,625696613980.0,0.25,68,0.0156255826721,0.25,0.250009322754,1.06825089311e-11
240.0,-225.0,-4093.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-181545059.911,377988.031087,-181586989.744,-181047256.921,-181959003.235,-181911383.942,-181120034.114,4.0,142874951645.0,0.125,51,0.00390578062525,0.25,0.124984980008,1.06825089311e-11
240.0,-163.0,-3311.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-193073869.516,786671.877049,-193202424.879,-192005445.405,-193885182.902,-193799113.511,-192168648.013,4.0,618852642140.0,0.25,78,0.00781156125049,0.25,0.124984980008,1.06825089311e-11
240.0,-163.0,-3311.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,60339.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-202595111.526,545938.118178,-202705203.349,-201852387.1,-203117652.306,-203078339.005,-201957755.496,4.0,298048428880.0,0.25,83,0.0156244173279,0.25,0.249990677246,1.06825089311e-11
240.0,-101.0,-2529.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-202865021.903,1247444.58026,-203275267.556,-201042742.216,-203866810.282,-203787244.681,-201368455.209,4.0,1556117980830.0,0.125,105,0.00195289031262,0.125,0.124984980008,1.06825089311e-11
240.0,-194.0,-4093.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,181016.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-203279213.626,855493.103698,-203560345.659,-202059185.228,-203936977.957,-203916671.946,-202248170.459,4.0,731868450476.0,0.25,67,0.0156255826721,0.25,0.250009322754,1.06825089311e-11
240.0,-225.0,-4093.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,120678.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-203994588.39,443479.464331,-204046285.512,-203459121.204,-204426661.332,-204404984.739,-203511816.07,4.0,196674035284.0,0.125,61,0.00781279133605,0.25,0.250009322754,1.06825089311e-11
240.0,-132.0,-3311.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,120678.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-205350950.321,1062591.04806,-205239775.864,-204182791.931,-206741457.625,-206543137.588,-204314407.293,4.0,1129099735420.0,0.25,89,0.0156255826721,0.25,0.250009322754,1.06825089311e-11
240.0,-163.0,-4093.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,241355.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-206860860.83,905988.473703,-206884264.408,-205880507.335,-207794407.17,-207741989.362,-205946967.289,4.0,820815114482.0,0.25,73,0.0078128560774,0.25,0.125005697238,1.06825089311e-11
240.0,-101.0,-2529.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,60339.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-227788218.612,707811.969777,-227983397.821,-226784099.03,-228401979.776,-228360889.298,-226942297.033,4.0,500997784559.0,0.125,110,0.00390610433197,0.125,0.249990677246,1.06825089311e-11
240.0,-163.0,-3311.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,120678.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-228114463.374,699569.988383,-228084216.186,-227299216.246,-228990204.877,-228874096.816,-227397175.995,4.0,489398168647.0,0.25,88,0.0156255826721,0.25,0.250009322754,1.06825089311e-11
240.0,-194.0,-4093.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,241355.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-229244241.843,419964.653993,-229424579.651,-228622787.383,-229505020.688,-229503484.612,-228732526.143,4.0,176370310604.0,0.25,72,0.0078128560774,0.25,0.125005697238,1.06825089311e-11
240.0,-225.0,-4093.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,181016.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-229625406.026,369651.537862,-229561325.628,-229306863.329,-230072109.517,-230029150.263,-229311374.345,4.0,136642259444.0,0.125,66,0.00781279133605,0.25,0.250009322754,1.06825089311e-11
240.0,-194.0,-3311.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,60339.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-230359365.761,827472.512969,-230174468.383,-229566815.166,-231521711.111,-231328225.237,-229649362.613,4.0,684710759719.0,0.25,82,0.0156244173279,0.25,0.249990677246,1.06825089311e-11
240.0,-132.0,-3311.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,181016.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-231011123.084,447834.223467,-231032218.445,-230446482.139,-231533573.309,-231468433.957,-230524278.707,4.0,200555491708.0,0.25,94,0.0156255826721,0.25,0.250009322754,1.06825089311e-11
240.0,-194.0,-3311.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-231812968.85,352647.549464,-231825103.366,-231403228.816,-232198439.854,-232167608.916,-231441340.463,4.0,124360294143.0,0.25,77,0.00781156125049,0.25,0.124984980008,1.06825089311e-11
240.0,-132.0,-2529.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-242268500.126,340592.283643,-242318474.432,-241821549.12,-242615502.521,-242586977.471,-241880058.753,4.0,116003103677.0,0.25,104,0.00390578062525,0.125,0.124984980008,1.06825089311e-11
240.0,-132.0,-2529.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,60339.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-251903778.785,1272401.04777,-251967369.021,-250529935.574,-253150441.524,-253098806.988,-250619724.252,4.0,1619004426380.0,0.25,109,0.00781220866395,0.125,0.249990677246,1.06825089311e-11
240.0,-101.0,-2529.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,120678.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-253533057.252,1946612.93722,-253894999.945,-250843574.273,-255498654.844,-255268173.481,-251291221.252,4.0,3789301927350.0,0.125,115,0.00390639566803,0.125,0.250009322754,1.06825089311e-11
240.0,-163.0,-3311.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,181016.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-254335867.147,608861.835925,-254495824.741,-253491273.421,-254860545.684,-254834365.005,-253613428.656,4.0,370712735246.0,0.25,93,0.0156255826721,0.25,0.250009322754,1.06825089311e-11
240.0,-225.0,-4093.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,241355.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-255813144.735,758355.815557,-255757847.265,-254957318.286,-256779566.124,-256650677.132,-255053028.796,4.0,575103542990.0,0.125,71,0.0039064280387,0.25,0.125005697238,1.06825089311e-11
