npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight,ProbabilityWeight-htse_capacity,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-ft_capacity
894.0,-350.0,-8790.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,353469.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1495683778.53,4914585.88301,1495683778.53,1499158915.53,1492208641.52,1492556155.22,1498811401.83,2.0,24153154401500.0,1.69457067906e-13,0.0156252983889,0.25,94,0.250004774222,0.25
894.0,-526.0,-8790.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,117823.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1478382228.91,28309.6389492,1478382228.91,1478402246.84,1478362210.97,1478364212.76,1478400245.05,2.0,801435657.434,1.69457067906e-13,0.0156247016111,0.25,83,0.249995225778,0.25
894.0,-879.0,-13224.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,117823.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1473715427.13,1863256.2121,1473715427.13,1475032948.23,1472397906.03,1472529658.14,1474901196.12,2.0,3471723711920.0,1.69457067906e-13,0.00779021950017,0.124645892351,56,0.249995225778,0.25
894.0,-526.0,-8790.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1470565260.04,3425132.4323,1470565260.04,1472987194.41,1468143325.67,1468385519.11,1472745000.97,2.0,11731532178800.0,1.69457067906e-13,0.00781201926239,0.25,78,0.124992308198,0.25
894.0,-703.0,-13224.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,471291.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1452793739.02,5831314.88149,1452793739.02,1456917101.31,1448670376.72,1449082712.95,1456504765.08,2.0,34004233247100.0,1.69457067906e-13,0.00781261604011,0.25,72,0.125001856642,0.25
894.0,-350.0,-8790.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,471291.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1442230546.38,2531200.58873,1442230546.38,1444020375.48,1440440717.28,1440619700.19,1443841392.57,2.0,6406976420410.0,1.69457067906e-13,0.00781261604011,0.25,99,0.125001856642,0.25
894.0,-526.0,-8790.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,235646.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1426923848.18,3388722.31078,1426923848.18,1429320036.71,1424527659.66,1424767278.51,1429080417.85,2.0,11483438899600.0,1.69457067906e-13,0.0156253646975,0.25,88,0.25000583516,0.25
894.0,-879.0,-13224.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,235646.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1416344318.99,10489948.5029,1416344318.99,1423761832.71,1408926805.27,1409668556.64,1423020081.34,2.0,110039019594000.0,1.69457067906e-13,0.00779055010413,0.124645892351,61,0.25000583516,0.25
894.0,-879.0,-13224.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1402349547.11,455619.108211,1402349547.11,1402671718.47,1402027375.75,1402059592.88,1402639501.33,2.0,207588771767.0,1.69457067906e-13,0.00389494444811,0.124645892351,51,0.124992308198,0.25
894.0,-526.0,-8790.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,353469.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1377250251.33,1939375.18381,1377250251.33,1378621596.67,1375878905.98,1376016040.52,1378484462.14,2.0,3761176103580.0,1.69457067906e-13,0.0156252983889,0.25,93,0.250004774222,0.25
