smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,prefix,ProbabilityWeight-htse_capacity,ProbabilityWeight,ProbabilityWeight-meoh_capacity,ProbabilityWeight-h2_storage_capacity
1200.0,-947.0,-23798.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,1172360451.81,209112.074357,1172360451.81,1172508316.38,1172212587.25,1172227373.7,1172493529.92,2.0,43727859642.1,1.22471465969e-13,1,0.125,0.00195300573882,0.125,0.124992367284
1200.0,-947.0,-23798.0,-1e+200,-1e+200,-1e+200,-1e+200,126923.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,1118934662.17,168097.071465,1118934662.17,1119053524.75,1118815799.59,1118827685.85,1119041638.49,2.0,28256625435.1,1.22471465969e-13,26,0.125,0.00390618075157,0.125,0.249995568101
1200.0,-947.0,-23798.0,-1e+200,-1e+200,-1e+200,-1e+200,253847.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,1065552730.05,866826.069991,1065552730.05,1066165668.64,1064939791.45,1065001085.31,1066104374.78,2.0,751387435616.0,1.22471465969e-13,51,0.125,0.00390633463697,0.125,0.250005416766
1200.0,-947.0,-23798.0,-1e+200,-1e+200,-1e+200,-1e+200,380770.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,1011396614.83,293818.842004,1011396614.83,1011604376.13,1011188853.54,1011209629.66,1011583600.0,2.0,86329511916.6,1.22471465969e-13,76,0.125,0.00390631924843,0.125,0.250004431899
1200.0,-947.0,-23798.0,-1e+200,-1e+200,-1e+200,-1e+200,507693.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,958733065.582,433763.741293,958733065.582,959039782.865,958426348.299,958457020.028,959009111.137,2.0,188150983261.0,1.22471465969e-13,101,0.125,0.00195315962421,0.125,0.12500221595
1200.0,-747.0,-18772.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,702308072.433,1096760.10094,702308072.433,703083598.938,701532545.929,701610098.579,703006046.288,2.0,1202882719020.0,1.22471465969e-13,7,0.25,0.00781202295527,0.25,0.124992367284
1200.0,-747.0,-18772.0,-1e+200,-1e+200,-1e+200,-1e+200,126923.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,648758435.413,1178846.38183,648758435.413,649592005.684,647924865.142,648008222.169,649508648.656,2.0,1389678791950.0,1.22471465969e-13,32,0.25,0.0156247230063,0.25,0.249995568101
1200.0,-747.0,-18772.0,-1e+200,-1e+200,-1e+200,-1e+200,253847.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,595373237.355,1485430.88739,595373237.355,596423595.608,594322879.101,594427914.927,596318559.783,2.0,2206504921210.0,1.22471465969e-13,57,0.25,0.0156253385479,0.25,0.250005416766
1200.0,-747.0,-18772.0,-1e+200,-1e+200,-1e+200,-1e+200,380770.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,543855027.452,1621076.62618,543855027.452,545001301.728,542708753.177,542823380.605,544886674.3,2.0,2627889427950.0,1.22471465969e-13,82,0.25,0.0156252769937,0.25,0.250004431899
1200.0,-947.0,-18772.0,-1e+200,-1e+200,-1e+200,-1e+200,126923.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,501735134.023,2068450.28489,501735134.023,503197749.246,500272518.8,500418780.322,503051487.723,2.0,4278486581080.0,1.22471465969e-13,27,0.125,0.00781236150314,0.25,0.249995568101
1200.0,-747.0,-18772.0,-1e+200,-1e+200,-1e+200,-1e+200,507693.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,488727610.372,1392270.90565,488727610.372,489712094.571,487743126.173,487841574.593,489613646.151,2.0,1938418274710.0,1.22471465969e-13,107,0.25,0.00781263849686,0.25,0.12500221595
1200.0,-947.0,-18772.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,475695465.106,462155.791451,475695465.106,476022258.6,475368671.612,475401350.962,475989579.251,2.0,213587975572.0,1.22471465969e-13,2,0.125,0.00390601147763,0.25,0.124992367284
1200.0,-947.0,-18772.0,-1e+200,-1e+200,-1e+200,-1e+200,253847.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,448837791.549,889789.763497,448837791.549,449466967.925,448208615.173,448271532.811,449404050.287,2.0,791725823225.0,1.22471465969e-13,52,0.125,0.00781266927394,0.25,0.250005416766
1200.0,-947.0,-18772.0,-1e+200,-1e+200,-1e+200,-1e+200,380770.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,395908896.712,34897.14557,395908896.712,395933572.72,395884220.704,395886688.305,395931105.12,2.0,1217810768.93,1.22471465969e-13,77,0.125,0.00781263849686,0.25,0.250004431899
1200.0,-947.0,-18772.0,-1e+200,-1e+200,-1e+200,-1e+200,507693.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,342142212.83,1744350.59251,342142212.83,343375654.963,340908770.697,341032114.911,343252310.749,2.0,3042758989580.0,1.22471465969e-13,102,0.125,0.00390631924843,0.25,0.12500221595
1200.0,-547.0,-13746.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,241940242.749,254396.825651,241940242.749,242120128.469,241760357.028,241778345.6,242102139.897,2.0,64717744901.2,1.22471465969e-13,13,0.25,0.00781202295527,0.25,0.124992367284
1200.0,-547.0,-13746.0,-1e+200,-1e+200,-1e+200,-1e+200,126923.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,189280045.909,5164505.31429,189280045.909,192931902.638,185628189.18,185993374.853,192566716.965,2.0,26672115141300.0,1.22471465969e-13,38,0.25,0.0156247230063,0.25,0.249995568101
1200.0,-547.0,-13746.0,-1e+200,-1e+200,-1e+200,-1e+200,253847.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,138899719.986,2886287.00125,138899719.986,140940633.097,136858806.875,137062898.186,140736541.786,2.0,8330652653610.0,1.22471465969e-13,63,0.25,0.0156253385479,0.25,0.250005416766
1200.0,-547.0,-13746.0,-1e+200,-1e+200,-1e+200,-1e+200,380770.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,84346964.5301,259149.719618,84346964.5301,84530211.0542,84163718.006,84182042.6584,84511886.4018,2.0,67158577178.1,1.22471465969e-13,88,0.25,0.0156252769937,0.25,0.250004431899
1200.0,-747.0,-13746.0,-1e+200,-1e+200,-1e+200,-1e+200,126923.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,34770043.8454,2957511.91984,34770043.8454,36861320.5793,32678767.1114,32887894.7848,36652192.9059,2.0,8746876756010.0,1.22471465969e-13,33,0.25,0.0156247230063,0.25,0.249995568101
1200.0,-547.0,-13746.0,-1e+200,-1e+200,-1e+200,-1e+200,507693.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,30055580.6167,1793527.60336,30055580.6167,31323796.1473,28787365.0862,28914186.6392,31196974.5943,2.0,3216741264010.0,1.22471465969e-13,113,0.25,0.00781263849686,0.25,0.12500221595
1200.0,-747.0,-13746.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,14259632.9914,1711114.54359,14259632.9914,15469573.6886,13049692.2942,13170686.364,15348579.6188,2.0,2927912981290.0,1.22471465969e-13,8,0.25,0.00781202295527,0.25,0.124992367284
1200.0,-747.0,-13746.0,-1e+200,-1e+200,-1e+200,-1e+200,253847.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-18434008.5525,1208928.56282,-18434008.5525,-17579166.9677,-19288850.1372,-19203365.9787,-17664651.1262,2.0,1461508270000.0,1.22471465969e-13,58,0.25,0.0156253385479,0.25,0.250005416766
1200.0,-747.0,-13746.0,-1e+200,-1e+200,-1e+200,-1e+200,380770.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-72740569.8793,3977506.66432,-72740569.8793,-69928047.9448,-75553091.8139,-75271839.6204,-70209300.1382,2.0,15820559264700.0,1.22471465969e-13,83,0.25,0.0156252769937,0.25,0.250004431899
1200.0,-747.0,-13746.0,-1e+200,-1e+200,-1e+200,-1e+200,507693.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-125250542.337,1505389.67765,-125250542.337,-124186071.088,-126315013.587,-126208566.462,-124292518.213,2.0,2266198081590.0,1.22471465969e-13,108,0.25,0.00781263849686,0.25,0.12500221595
1200.0,-947.0,-13746.0,-1e+200,-1e+200,-1e+200,-1e+200,126923.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-145531961.221,1941762.73819,-145531961.221,-144158927.622,-146904994.821,-146767691.461,-144296230.982,2.0,3770442531410.0,1.22471465969e-13,28,0.125,0.00781236150314,0.25,0.249995568101
1200.0,-347.0,-8720.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-195299970.142,4386988.92893,-195299970.142,-192197900.522,-198402039.763,-198091832.801,-192508107.484,2.0,19245671862600.0,1.22471465969e-13,19,0.25,0.00781202295527,0.25,0.124992367284
1200.0,-947.0,-13746.0,-1e+200,-1e+200,-1e+200,-1e+200,253847.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-198912110.1,2031060.20438,-198912110.1,-197475933.657,-200348286.544,-200204668.899,-197619551.301,2.0,4125205553800.0,1.22471465969e-13,53,0.125,0.00781266927394,0.25,0.250005416766
1200.0,-947.0,-13746.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-213293073.633,3339145.01242,-213293073.633,-210931941.551,-215654205.715,-215418092.506,-211168054.759,2.0,11149889413900.0,1.22471465969e-13,3,0.125,0.00390601147763,0.25,0.124992367284
1200.0,-347.0,-8720.0,-1e+200,-1e+200,-1e+200,-1e+200,126923.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-250364176.629,2231223.65631,-250364176.629,-248786463.252,-251941890.007,-251784118.669,-248944234.589,2.0,4978359004490.0,1.22471465969e-13,44,0.25,0.0156247230063,0.25,0.249995568101
1200.0,-947.0,-13746.0,-1e+200,-1e+200,-1e+200,-1e+200,380770.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-253271715.583,3445829.55365,-253271715.583,-250835146.138,-255708285.027,-255464628.082,-251078803.083,2.0,11873741312800.0,1.22471465969e-13,78,0.125,0.00781263849686,0.25,0.250004431899
1200.0,-347.0,-8720.0,-1e+200,-1e+200,-1e+200,-1e+200,253847.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-304332494.702,2252995.62097,-304332494.702,-302739386.221,-305925603.184,-305766292.336,-302898697.069,2.0,5075989268110.0,1.22471465969e-13,69,0.25,0.0156253385479,0.25,0.250005416766
1200.0,-947.0,-13746.0,-1e+200,-1e+200,-1e+200,-1e+200,507693.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-310501512.756,1701310.54086,-310501512.756,-309298504.536,-311704520.977,-311584220.155,-309418805.358,2.0,2894457556440.0,1.22471465969e-13,103,0.125,0.00390631924843,0.25,0.12500221595
1200.0,-347.0,-8720.0,-1e+200,-1e+200,-1e+200,-1e+200,380770.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-356617047.442,3600548.21619,-356617047.442,-354071075.383,-359163019.502,-358908422.296,-354325672.589,2.0,12963947457100.0,1.22471465969e-13,94,0.25,0.0156252769937,0.25,0.250004431899
1200.0,-347.0,-8720.0,-1e+200,-1e+200,-1e+200,-1e+200,507693.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-409915615.294,1345866.59117,-409915615.294,-408963943.901,-410867286.688,-410772119.548,-409059111.041,2.0,1811356881230.0,1.22471465969e-13,119,0.25,0.00781263849686,0.25,0.12500221595
1200.0,-547.0,-8720.0,-1e+200,-1e+200,-1e+200,-1e+200,126923.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-422034585.826,5683016.2839,-422034585.826,-418016086.474,-426053085.178,-425651235.243,-418417936.409,2.0,32296674083100.0,1.22471465969e-13,39,0.25,0.0156247230063,0.25,0.249995568101
1200.0,-547.0,-8720.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-428808652.56,3157908.87558,-428808652.56,-426575673.78,-431041631.34,-430818333.462,-426798971.658,2.0,9972388466490.0,1.22471465969e-13,14,0.25,0.00781202295527,0.25,0.124992367284
