npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,prefix,ProbabilityWeight-ft_capacity,ProbabilityWeight-h2_storage_capacity,PointProbability,ProbabilityWeight
1280.0,-785.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,396089.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2019052618.67,30104286.7025,2019052618.67,2040339563.94,1997765673.4,1999894367.92,2038210869.41,2.0,906268077863000.0,0.25,67,0.25,0.250005207258,1.17734560967e-13,0.0156253254536
1280.0,-385.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2009764192.81,63410507.6813,2009764192.81,2054602192.79,1964926192.83,1969409992.83,2050118392.79,2.0,4020892484400000.0,0.25,124,0.125,0.125002603629,1.17734560967e-13,0.00390633136341
1280.0,-985.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,396089.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1995562260.62,83123903.1098,1995562260.62,2054339736.18,1936784785.05,1942662532.6,2048461988.63,2.0,6909583268210000.0,0.125,41,0.25,0.250005207258,1.17734560967e-13,0.00781266272682
1280.0,-585.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,132030.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1978853778.74,77559933.6511,1978853778.74,2033696933.77,1924010623.71,1929494939.21,2028212618.27,2.0,6015543307960000.0,0.25,108,0.125,0.249994792742,1.17734560967e-13,0.00781233727318
1280.0,-785.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1973632909.42,6132287.30037,1973632909.42,1977969091.36,1969296727.49,1969730345.68,1977535473.16,2.0,37604947534300.0,0.25,72,0.25,0.125002603629,1.17734560967e-13,0.00781266272682
1280.0,-985.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1972367250.76,42837217.843,1972367250.76,2002657737.98,1942076763.54,1945105812.26,1999628689.26,2.0,1835027232530000.0,0.125,46,0.25,0.125002603629,1.17734560967e-13,0.00390633136341
1280.0,-585.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1963344388.55,76579816.4374,1963344388.55,2017494496.05,1909194281.04,1914609291.79,2012079485.3,2.0,5864468285580000.0,0.25,113,0.125,0.250004260484,1.17734560967e-13,0.00781263314013
1280.0,-985.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,132030.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1956648189.33,8317658.80363,1956648189.33,1962529662.27,1950766716.39,1951354863.68,1961941514.98,2.0,69183447973600.0,0.125,56,0.25,0.249994792742,1.17734560967e-13,0.00781233727318
1280.0,-585.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1936123597.96,48549580.5289,1936123597.96,1970453335.58,1901793860.34,1905226834.11,1967020361.81,2.0,2357061769530000.0,0.25,103,0.125,0.124993135887,1.17734560967e-13,0.00390603549646
1280.0,-785.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1932253651.11,12277228.7228,1932253651.11,1940934962.8,1923572339.43,1924440470.6,1940066831.63,2.0,150730345112000.0,0.25,87,0.25,0.250004260484,1.17734560967e-13,0.0156252662803
