npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-htse_capacity,ProbabilityWeight-ft_capacity,PointProbability,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight
1193.0,-985.0,-24756.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,11002.0,ref,braidwood,illinois,covid,2441942771.13,689167.767002,2441916182.8,2442739737.64,2441198981.28,2441255137.12,2442667628.8,4.0,474952211074.0,10,0.0555555555556,0.0517269770697,4.61981158295e-13,0.111072395265,0.000319191069053
1193.0,-985.0,-24756.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,22005.0,ref,braidwood,illinois,covid,2440685325.86,1624433.10739,2441040933.76,2442212802.13,2438446633.8,2438775918.74,2442096881.92,4.0,2.6387829204e+12,19,0.0555555555556,0.0517269770697,4.61981158295e-13,0.111122894195,0.000319336188885
1193.0,-985.0,-24756.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,55012.0,ref,braidwood,illinois,covid,2441012384.56,2121182.58026,2440805246.71,2443800825.81,2438638219.01,2438961239.1,2443353523.01,4.0,4.4994155388e+12,46,0.0555555555556,0.0517269770697,4.61981158295e-13,0.111122894195,0.000319336188885
1193.0,-985.0,-24756.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,33007.0,ref,braidwood,illinois,covid,2440859864.31,3770150.6228,2439656036.47,2446092867.25,2438034517.04,2438055846.4,2445349241.19,4.0,1.42140357186e+13,28,0.0555555555556,0.0517269770697,4.61981158295e-13,0.111122894195,0.000319336188885
1193.0,-985.0,-24756.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,44010.0,ref,braidwood,illinois,covid,2439153566.14,1330649.70812,2439165907.54,2440624108.31,2437658341.19,2437783107.36,2440506746.98,4.0,1.77062864573e+12,37,0.0555555555556,0.0517269770697,4.61981158295e-13,0.111122894195,0.000319336188885
1193.0,-985.0,-24756.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,88020.0,ref,braidwood,illinois,covid,2441630661.76,807562.3192,2441653342.24,2442491731.24,2440724231.31,2440797157.51,2442432413.33,4.0,652156899392.0,73,0.0555555555556,0.0517269770697,4.61981158295e-13,0.111122894195,0.000319336188885
1193.0,-985.0,-24756.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,66015.0,ref,braidwood,illinois,covid,2442146017.72,1580632.2757,2441826407.73,2444214159.48,2440717095.93,2440778929.34,2443960560.07,4.0,2.49839839098e+12,55,0.0555555555556,0.0517269770697,4.61981158295e-13,0.111122894195,0.000319336188885
1193.0,-985.0,-24756.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,77017.0,ref,braidwood,illinois,covid,2439968873.95,3053774.243,2439755389.01,2443479239.2,2436885478.6,2437054959.37,2443181667.46,4.0,9.32553712723e+12,64,0.0555555555556,0.0517269770697,4.61981158295e-13,0.111122894195,0.000319336188885
1193.0,-985.0,-22243.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,ref,braidwood,illinois,covid,2263161907.72,3789127.0339,2262051305.94,2268594184.08,2259950834.92,2260171933.04,2267706724.9,4.0,1.4357483679e+13,91,0.0555555555556,0.103453954139,4.61981158295e-13,0.0555084232214,0.000319031437239
1193.0,-985.0,-24756.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,99022.0,ref,braidwood,illinois,covid,2439546861.24,1288864.20965,2439335785.62,2441300607.49,2438215266.24,2438360685.74,2441028542.62,4.0,1.6611709509e+12,82,0.0555555555556,0.0517269770697,4.61981158295e-13,0.0555589221509,0.000159660838451
