npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight-htse_capacity,ProbabilityWeight,ProbabilityWeight-ft_capacity,ProbabilityWeight-h2_storage_capacity,prefix
894.0,-879.0,-17658.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,10.0,ref,davis_besse,ohio,covid,2228928778.39,1858706.90808,2229062169.56,2230957994.97,2226632779.46,2226894382.88,2230776426.25,4.0,3454791370150.0,8.47275451554e-14,0.12464589235099999,0.00389506429344,0.25,0.124996154144,26
894.0,-526.0,-13224.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,471291.0,ref,davis_besse,ohio,covid,2166681550.76,2289161.9602,2167239233.51,2168581795.27,2163665940.74,2164037825.67,2168544520.0,4.0,5240262480050.0,8.47275451554e-14,0.25,0.015625149192700003,0.25,0.250002387083,63
894.0,-526.0,-13224.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,235646.0,ref,davis_besse,ohio,covid,2166359900.7,1737877.7449900003,2166354664.48,2168435484.81,2164294789.0,2164529685.92,2168197446.17,4.0,3020219056520.0,8.47275451554e-14,0.25,0.0156248176534,0.25,0.249997082454,58
894.0,-526.0,-13224.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,706937.0,ref,davis_besse,ohio,covid,2158127586.22,4073559.83432,2158207239.02,2162432833.74,2153663033.12,2153988093.0,2162155565.54,4.0,16593889723800.0,8.47275451554e-14,0.25,0.0156251823466,0.25,0.250002917546,68
894.0,-526.0,-13224.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,942583.0,ref,davis_besse,ohio,covid,2147314716.73,4223148.74988,2146811598.98,2152340886.8,2143294782.16,2143461423.86,2151872374.45,4.0,17834985363600.0,8.47275451554e-14,0.25,0.00781259117331,0.25,0.125001458773,73
894.0,-703.0,-13224.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,235646.0,ref,davis_besse,ohio,covid,2041185825.89,3447996.68085,2040807155.87,2045692734.5,2037436257.33,2037835414.73,2045066375.08,4.0,11888681111100.0,8.47275451554e-14,0.25,0.0156248176534,0.25,0.249997082454,57
894.0,-703.0,-13224.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,471291.0,ref,davis_besse,ohio,covid,2028143915.86,5862961.42162,2028863464.98,2034310886.46,2020537847.02,2021522509.98,2033757952.97,4.0,34374316631400.0,8.47275451554e-14,0.25,0.015625149192700003,0.25,0.250002387083,62
894.0,-703.0,-13224.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,706937.0,ref,davis_besse,ohio,covid,2013505233.66,4195948.16342,2013794356.3,2018297386.57,2008134835.48,2008886272.08,2017719423.55,4.0,17605980990100.0,8.47275451554e-14,0.25,0.0156251823466,0.25,0.250002917546,67
894.0,-703.0,-13224.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,942583.0,ref,davis_besse,ohio,covid,1992003525.63,5892885.60122,1992697134.22,1998386533.55,1984233300.53,1985349283.78,1997686715.45,4.0,34726100709000.0,8.47275451554e-14,0.25,0.00781259117331,0.25,0.125001458773,72
894.0,-703.0,-13224.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,10.0,ref,davis_besse,ohio,covid,1972654452.32,1571929.3917,1972938072.42,1974026694.91,1970714969.53,1970913962.58,1973997873.93,4.0,2470962012480.0,8.47275451554e-14,0.25,0.007812259634,0.25,0.124996154144,52
