npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-ft_capacity,ProbabilityWeight-h2_storage_capacity,prefix,PointProbability,ProbabilityWeight-htse_capacity,ProbabilityWeight
522.0,-132.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,65964689.9593,968842.313071,65964689.9593,66649764.9288,65279614.9899,65348122.4868,66581257.4319,2.0,938655427597.0,0.125026522385,0.124986205628,105,1.0406674226900002e-12,0.125333333333,0.00195853269302
522.0,-132.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,37137562.2568,1775461.76123,37137562.2568,38393003.3079,35882121.2057,36007665.3108,38267459.2028,2.0,3152264465610.0,0.125026522385,0.249990803752,110,1.0406674226900002e-12,0.125333333333,0.00391735359627
522.0,-132.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,6970376.27433,140443.016615,6970376.27433,7069684.48375,6871068.06491,6880998.88585,7059753.6628,2.0,19724240915.8,0.125026522385,0.250009196248,115,1.0406674226900002e-12,0.125333333333,0.00391764180651
522.0,-132.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,203895.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-20960609.4844,505245.690293,-20960609.4844,-20603346.8306,-21317872.1382,-21282145.8728,-20639073.096,2.0,255273207560.0,0.125026522385,0.250009196248,120,1.0406674226900002e-12,0.125333333333,0.00391764180651
522.0,-226.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-36869874.461,1183704.84953,-36869874.461,-36032868.735,-37706880.187,-37623179.6144,-36116569.3076,2.0,1401157170800.0,0.125026522385,0.124986205628,104,1.0406674226900002e-12,0.250666666667,0.00391706538603
522.0,-226.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-40596214.9401,991748.455891,-40596214.9401,-39894942.8817,-41297486.9985,-41227359.7926,-39965070.0875,2.0,983564999762.0,0.125026522385,0.249990803752,109,1.0406674226900002e-12,0.250666666667,0.00783470719255
522.0,-132.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,271860.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-51290316.2219,2864740.45933,-51290316.2219,-49264638.8168,-53315993.6271,-53113425.8866,-49467206.5573,2.0,8206737899320.0,0.125026522385,0.125004598124,125,1.0406674226900002e-12,0.125333333333,0.00195882090326
522.0,-226.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-70976746.2173,1906033.23038,-70976746.2173,-69628977.195,-72324515.2397,-72189738.3375,-69763754.0972,2.0,3632962675310.0,0.125026522385,0.250009196248,114,1.0406674226900002e-12,0.250666666667,0.00783528361303
522.0,-226.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,203895.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-100096267.638,3153100.40371,-100096267.638,-97866688.9611,-102325846.316,-102102888.448,-98089646.8288,2.0,9942042155850.0,0.125026522385,0.250009196248,119,1.0406674226900002e-12,0.250666666667,0.00783528361303
522.0,-226.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,271860.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-129899288.015,749268.049796,-129899288.015,-129369475.496,-130429100.534,-130376119.282,-129422456.748,2.0,561402610445.0,0.125026522385,0.125004598124,124,1.0406674226900002e-12,0.250666666667,0.00391764180651
