npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-meoh_capacity,ProbabilityWeight-h2_storage_capacity,PointProbability,ProbabilityWeight,ProbabilityWeight-htse_capacity
1280.0,-400.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1337514069.67,34477527.3719,1337514069.67,1361893363.07,1313134776.27,1315572705.61,1359455433.73,2.0,1188699893680000.0,69,0.25,0.250004767044,1.21200144652e-13,0.0156252979403,0.25
1280.0,-800.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,131111.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1324486083.74,63359265.4573,1324486083.74,1369287849.99,1279684317.48,1284164494.11,1364807673.37,2.0,4014396519280000.0,35,0.124987287705,0.249995232956,1.21200144652e-13,0.00781155652656,0.25
1280.0,-800.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1313959833.82,116992769.215,1313959833.82,1396686214.28,1231233453.36,1239506091.4,1388413576.24,2.0,1.36873080486e+16,60,0.124987287705,0.250004767044,1.21200144652e-13,0.00781185443652,0.25
1280.0,-600.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,524444.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1309264947.23,89566753.7844,1309264947.23,1372598206.2,1245931688.26,1252265014.15,1366264880.3,2.0,8022203383470000.0,115,0.124987287705,0.125002383522,1.21200144652e-13,0.00390592721826,0.25
1280.0,-600.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,131111.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1259797457.15,19376921.1126,1259797457.15,1273499009.47,1246095904.83,1247466060.06,1272128854.24,2.0,375465071802000.0,39,0.25,0.249995232956,1.21200144652e-13,0.0156247020597,0.25
1280.0,-400.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,393333.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1197040330.16,100307003.674,1197040330.16,1267968092.66,1126112567.66,1133205343.91,1260875316.41,2.0,1.0061494986e+16,94,0.25,0.250004767044,1.21200144652e-13,0.0156252979403,0.25
1280.0,-800.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1169996624.03,8879694.46424,1169996624.03,1176275516.2,1163717731.86,1164345621.08,1175647626.99,2.0,78848973778200.0,10,0.124987287705,0.124992849434,1.21200144652e-13,0.0039056293083,0.25
1280.0,-600.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1162260379.84,16482604.2044,1162260379.84,1173915341.05,1150605418.64,1151770914.76,1172749844.93,2.0,271676241358000.0,64,0.25,0.250004767044,1.21200144652e-13,0.0156252979403,0.25
1280.0,-600.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,393333.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1150568940.12,46062491.5077,1150568940.12,1183140040.23,1117997840.02,1121254950.03,1179882930.22,2.0,2121753123900000.0,89,0.25,0.250004767044,1.21200144652e-13,0.0156252979403,0.25
1280.0,-400.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,524444.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1143458663.26,34117830.9019,1143458663.26,1167583612.85,1119333713.67,1121746208.63,1165171117.89,2.0,1164026385450000.0,119,0.25,0.125002383522,1.21200144652e-13,0.00781264897013,0.25
