smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight,ProbabilityWeight-meoh_capacity,prefix,PointProbability
1200.0,-547.0,-8720.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-322231803.247,18838724.2048,-322231803.247,-308910813.613,-335552792.881,-334220693.918,-310242912.576,2.0,354897529663000.0,0.25,0.124998979977,0.00781243624855,0.25,14,1.7495628323699997e-14
1200.0,-747.0,-18772.0,-1e+200,-1e+200,-1e+200,-1e+200,2665388.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-329207588.62,23882667.9557,-329207588.62,-312319992.156,-346095185.084,-344406425.438,-314008751.802,2.0,570381828684000.0,0.25,0.250000633118,0.0156250395699,0.25,82,1.7495628323699997e-14
1200.0,-947.0,-13746.0,-1e+200,-1e+200,-1e+200,-1e+200,888463.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-361119849.354,10823074.438,-361119849.354,-353466780.026,-368772918.682,-368007611.749,-354232086.958,2.0,117138940290000.0,0.125,0.249999366882,0.00781248021507,0.25,28,1.7495628323699997e-14
1200.0,-547.0,-13746.0,-1e+200,-1e+200,-1e+200,-1e+200,1776926.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-410022822.524,31703823.9495,-410022822.524,-387604833.62,-432440811.428,-430199012.538,-389846632.51,2.0,1005132453020000.0,0.25,0.250000633118,0.0156250395699,0.25,63,1.7495628323699997e-14
1200.0,-947.0,-18772.0,-1e+200,-1e+200,-1e+200,-1e+200,2665388.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-489031096.699,6000161.72833,-489031096.699,-484788341.652,-493273851.745,-492849576.24,-485212617.157,2.0,36001940766100.0,0.125,0.250000633118,0.00781251978493,0.25,77,1.7495628323699997e-14
1200.0,-347.0,-8720.0,-1e+200,-1e+200,-1e+200,-1e+200,888463.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-514337385.009,51444147.3767,-514337385.009,-477960879.546,-550713890.471,-547076239.925,-481598530.093,2.0,2646500299320000.0,0.25,0.249999366882,0.0156249604301,0.25,44,1.7495628323699997e-14
1200.0,-147.0,-3694.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-529191367.868,62309526.5535,-529191367.868,-485131879.11,-573250856.627,-568844907.751,-489537827.986,2.0,3882477099320000.0,0.125,0.124998979977,0.00195310906214,0.125,25,1.7495628323699997e-14
1200.0,-747.0,-8720.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-564687155.026,42124265.8109,-564687155.026,-534900801.018,-594473509.033,-591494873.632,-537879436.419,2.0,1774453770110000.0,0.25,0.124998979977,0.00781243624855,0.25,9,1.7495628323699997e-14
1200.0,-747.0,-13746.0,-1e+200,-1e+200,-1e+200,-1e+200,1776926.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-577357257.515,25883213.0595,-577357257.515,-559055062.042,-595659452.989,-593829233.441,-560885281.59,2.0,669940718283000.0,0.25,0.250000633118,0.0156250395699,0.25,58,1.7495628323699997e-14
1200.0,-547.0,-8720.0,-1e+200,-1e+200,-1e+200,-1e+200,888463.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-628306307.22,3294378.91246,-628306307.22,-625976829.551,-630635784.888,-630402837.121,-626209777.318,2.0,10852932418800.0,0.25,0.249999366882,0.0156249604301,0.25,39,1.7495628323699997e-14
1200.0,-747.0,-18772.0,-1e+200,-1e+200,-1e+200,-1e+200,3553851.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-702378427.979,13619494.9265,-702378427.979,-692747990.76,-712008865.198,-711045821.476,-693711034.482,2.0,185490642052000.0,0.25,0.125000386905,0.00781252418158,0.25,107,1.7495628323699997e-14
1200.0,-347.0,-3694.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-718012833.444,22078933.7723,-718012833.444,-702400669.652,-733624997.236,-732063780.857,-703961886.031,2.0,487479316523000.0,0.25,0.124998979977,0.00390621812428,0.125,20,1.7495628323699997e-14
1200.0,-947.0,-13746.0,-1e+200,-1e+200,-1e+200,-1e+200,1776926.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-735378852.645,7231186.35995,-735378852.645,-730265631.734,-740492073.556,-739980751.465,-730776953.825,2.0,52290056172400.0,0.125,0.250000633118,0.00781251978493,0.25,53,1.7495628323699997e-14
1200.0,-947.0,-8720.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-807028854.865,37906575.7741,-807028854.865,-780224858.084,-833832851.647,-831152451.969,-782905257.762,2.0,1436908486910000.0,0.125,0.124998979977,0.00390621812428,0.25,4,1.7495628323699997e-14
1200.0,-547.0,-13746.0,-1e+200,-1e+200,-1e+200,-1e+200,2665388.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-808824165.695,21586784.9912,-808824165.695,-793560003.644,-824088327.747,-822561911.541,-795086419.849,2.0,465989286256000.0,0.25,0.250000633118,0.0156250395699,0.25,88,1.7495628323699997e-14
1200.0,-347.0,-8720.0,-1e+200,-1e+200,-1e+200,-1e+200,1776926.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-824550956.036,16918511.2,-824550956.036,-812587762.039,-836514150.033,-835317830.634,-813784081.439,2.0,286236021226000.0,0.25,0.250000633118,0.0156250395699,0.25,69,1.7495628323699997e-14
1200.0,-747.0,-8720.0,-1e+200,-1e+200,-1e+200,-1e+200,888463.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-855057269.535,28470722.336,-855057269.535,-834925428.706,-875189110.364,-873175926.281,-836938612.789,2.0,810582030332000.0,0.25,0.249999366882,0.0156249604301,0.25,34,1.7495628323699997e-14
1200.0,-947.0,-18772.0,-1e+200,-1e+200,-1e+200,-1e+200,3553851.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-868493167.864,8726265.65697,-868493167.864,-862322766.244,-874663569.484,-874046529.322,-862939806.406,2.0,76147712316000.0,0.125,0.125000386905,0.00390626209079,0.25,102,1.7495628323699997e-14
1200.0,-147.0,-3694.0,-1e+200,-1e+200,-1e+200,-1e+200,888463.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-887210193.336,71140733.5278,-887210193.336,-836906098.24,-937514288.432,-932483878.922,-841936507.749,2.0,5061003966880000.0,0.125,0.249999366882,0.00390624010753,0.125,50,1.7495628323699997e-14
1200.0,-747.0,-13746.0,-1e+200,-1e+200,-1e+200,-1e+200,2665388.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-932009495.393,8261286.06639,-932009495.393,-926167883.994,-937851106.792,-937266945.652,-926752045.134,2.0,68248847470700.0,0.25,0.250000633118,0.0156250395699,0.25,83,1.7495628323699997e-14
1200.0,-547.0,-3694.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-934809382.463,13617674.8523,-934809382.463,-925180232.231,-944438532.695,-943475617.672,-926143147.254,2.0,185441068382000.0,0.25,0.124998979977,0.00390621812428,0.125,15,1.7495628323699997e-14
1200.0,-947.0,-8720.0,-1e+200,-1e+200,-1e+200,-1e+200,888463.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1016238608.45,13642029.8621,-1016238608.45,-1006592236.62,-1025884980.27,-1024920343.09,-1007556873.81,2.0,186104978759000.0,0.125,0.249999366882,0.00781248021507,0.25,29,1.7495628323699997e-14
1200.0,-547.0,-8720.0,-1e+200,-1e+200,-1e+200,-1e+200,1776926.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1033319004.98,24208155.8521,-1033319004.98,-1016201253.81,-1050436756.14,-1048724981.02,-1017913028.93,2.0,586034809762000.0,0.25,0.250000633118,0.0156250395699,0.25,64,1.7495628323699997e-14
1200.0,-347.0,-3694.0,-1e+200,-1e+200,-1e+200,-1e+200,888463.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1046956232.69,4996027.14722,-1046956232.69,-1043423508.02,-1050488957.37,-1050135684.9,-1043776780.48,2.0,24960287255800.0,0.25,0.249999366882,0.00781248021507,0.125,45,1.7495628323699997e-14
1200.0,-947.0,-13746.0,-1e+200,-1e+200,-1e+200,-1e+200,2665388.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1108784564.51,5951982.97335,-1108784564.51,-1104575876.99,-1112993252.03,-1112572383.28,-1104996745.74,2.0,35426101315100.0,0.125,0.250000633118,0.00781251978493,0.25,78,1.7495628323699997e-14
1200.0,-547.0,-13746.0,-1e+200,-1e+200,-1e+200,-1e+200,3553851.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1164097863.15,28978027.9448,-1164097863.15,-1143607303.08,-1184588423.21,-1182539367.21,-1145656359.09,2.0,839726103572000.0,0.25,0.125000386905,0.00781252418158,0.25,113,1.7495628323699997e-14
1200.0,-747.0,-3694.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1190673790.67,7121366.38346,-1190673790.67,-1185638224.21,-1195709357.13,-1195205800.48,-1186141780.85,2.0,50713859167500.0,0.25,0.124998979977,0.00390621812428,0.125,10,1.7495628323699997e-14
1200.0,-747.0,-8720.0,-1e+200,-1e+200,-1e+200,-1e+200,1776926.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1205081733.78,44236322.4779,-1205081733.78,-1173801930.18,-1236361537.38,-1233233557.02,-1176929910.54,2.0,1956852226370000.0,0.25,0.250000633118,0.0156250395699,0.25,59,1.7495628323699997e-14
