npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-ft_capacity,ProbabilityWeight,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,PointProbability,prefix
769.0,-308.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,707487.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1021920336.37,28617401.0553,1024180520.16,1051147281.83,988173023.32,991315278.853,1049361136.57,4.0,818955643159000.0,0.25,0.0156512051981,0.250420168067,0.249999116588,3.9741070500699994e-14,84
769.0,-457.0,-11479.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1414973.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1004411032.96,5307534.96426,1005568142.23,1009235716.35,997272131.037,998224311.926,1008977801.02,4.0,28169927396800.0,0.25,0.0155987946163,0.249579831933,0.250000883412,3.9741070500699994e-14,63
769.0,-605.0,-15215.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2122460.0,1e+200,-1e+200,ref,cooper,nebraska,covid,971338959.21,4947063.03306,969948320.005,978220113.262,967239083.57,967399147.253,977225666.055,4.0,24473432653000.0,0.25,0.0155987946163,0.249579831933,0.250000883412,3.9741070500699994e-14,42
769.0,-754.0,-18951.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2829946.0,1e+200,-1e+200,ref,cooper,nebraska,covid,947339734.639,931230.568487,947218148.081,948475019.178,946447623.218,946489162.795,948360527.666,4.0,867190371685.0,0.125,0.00195641309363,0.125210084034,0.125000353365,3.9741070500699994e-14,21
769.0,-457.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,707487.0,1e+200,-1e+200,ref,cooper,nebraska,covid,946953347.752,8260293.39452,950264953.099,952537197.42,934746287.39,936903978.346,952366469.672,4.0,68232446963500.0,0.25,0.0155986843753,0.249579831933,0.249999116588,3.9741070500699994e-14,83
769.0,-308.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,933841593.38,24076837.1367,945257755.323,947072432.466,897778430.407,904722279.525,946978280.515,4.0,579694086508000.0,0.125,0.00391277641181,0.250420168067,0.124998763223,3.9741070500699994e-14,104
769.0,-605.0,-11479.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1414973.0,1e+200,-1e+200,ref,cooper,nebraska,covid,905996990.576,20709217.5495,914115323.778,919949808.487,875807506.259,880813384.317,919814930.351,4.0,428871691513000.0,0.25,0.0155987946163,0.249579831933,0.250000883412,3.9741070500699994e-14,62
769.0,-754.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,880870891.986,12991287.2605,884139874.402,892749496.278,862454322.86,865477776.121,891687432.467,4.0,168773544686000.0,0.25,0.00391277641181,0.125210084034,0.124998763223,3.9741070500699994e-14,76
769.0,-754.0,-15215.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2122460.0,1e+200,-1e+200,ref,cooper,nebraska,covid,877022949.776,5985651.20627,876861834.081,883804377.76,870563753.184,871037418.047,883234043.48,4.0,35828020363100.0,0.25,0.00782565790513,0.125210084034,0.250000883412,3.9741070500699994e-14,41
769.0,-605.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,707487.0,1e+200,-1e+200,ref,cooper,nebraska,covid,827152332.287,11879445.0209,831857310.347,835349616.792,809545091.663,812746509.183,834971186.108,4.0,141121214005000.0,0.25,0.0155986843753,0.249579831933,0.249999116588,3.9741070500699994e-14,82
