smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight-h2_storage_capacity,prefix,ProbabilityWeight-meoh_capacity,ProbabilityWeight,ProbabilityWeight-htse_capacity
720.0,-667.0,-16761.7,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,655324724.614,60226.8707613,655324724.614,655367311.443,655282137.785,655286396.468,655363052.76,2.0,3627275961.7,2.57338880493e-13,0.0999898078658,1,0.0999993581762,0.000999891661075,0.1
720.0,-667.0,-16761.7,-1e+200,-1e+200,-1e+200,-1e+200,80456.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,619672725.412,11082.5465538,619672725.412,619680561.955,619664888.868,619665672.522,619679778.301,2.0,122822838.118,2.57338880493e-13,0.199992045164,37,0.0999993581762,0.00199990761567,0.1
720.0,-667.0,-16761.7,-1e+200,-1e+200,-1e+200,-1e+200,160912.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,584056496.725,111413.198933,584056496.725,584135277.754,583977715.697,583985593.8,584127399.651,2.0,12412900896.6,2.57338880493e-13,0.200005717539,73,0.0999993581762,0.00200004433854,0.1
720.0,-667.0,-16761.7,-1e+200,-1e+200,-1e+200,-1e+200,241369.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,548469686.991,13089.0146176,548469686.991,548478942.322,548460431.66,548461357.193,548478016.789,2.0,171322303.659,2.57338880493e-13,0.200005717539,109,0.0999993581762,0.00200004433854,0.1
720.0,-543.0,-13645.6,-1e+200,-1e+200,-1e+200,-1e+200,80456.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,215222545.762,94090.6209551,215222545.762,215289077.878,215156013.646,215162666.857,215282424.666,2.0,8853044951.72,2.57338880493e-13,0.199992045164,44,0.199998716352,0.00799963046268,0.2
720.0,-543.0,-13645.6,-1e+200,-1e+200,-1e+200,-1e+200,160912.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,179876842.117,113898.543892,179876842.117,179957380.55,179796303.685,179804357.528,179949326.707,2.0,12972878300.6,2.57338880493e-13,0.200005717539,80,0.199998716352,0.00800017735417,0.2
720.0,-543.0,-13645.6,-1e+200,-1e+200,-1e+200,-1e+200,241369.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,144115320.161,28235.1940958,144115320.161,144135285.458,144095354.864,144097351.393,144133288.928,2.0,797226185.626,2.57338880493e-13,0.200005717539,116,0.199998716352,0.00800017735417,0.2
720.0,-667.0,-13645.6,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,108451199.372,46729.4180268,108451199.372,108484242.06,108418156.683,108421460.952,108480937.791,2.0,2183638509.12,2.57338880493e-13,0.0999898078658,2,0.199998716352,0.00199978332215,0.1
720.0,-667.0,-13645.6,-1e+200,-1e+200,-1e+200,-1e+200,80456.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,96247565.4724,239464.103938,96247565.4724,96416892.1641,96078238.7807,96095171.4498,96399959.495,2.0,57343057074.9,2.57338880493e-13,0.199992045164,38,0.199998716352,0.00399981523134,0.1
720.0,-667.0,-13645.6,-1e+200,-1e+200,-1e+200,-1e+200,160912.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,60282490.6464,52758.4379535,60282490.6464,60319796.4957,60245184.7972,60248915.3821,60316065.9108,2.0,2783452775.29,2.57338880493e-13,0.200005717539,74,0.199998716352,0.00400008867709,0.1
