npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,PointProbability,ProbabilityWeight-meoh_capacity
522.0,-522.0,-10527.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,613545434.346,905752.056931,613545434.346,614185897.768,612904970.925,612969017.267,614121851.426,2.0,820386788635.0,77,0.0078336194825,0.25000913242,0.125333333333,1.0563053673200001e-12,0.25
522.0,-334.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,601295641.403,121230.309188,601295641.403,601381364.177,601209918.629,601218490.907,601372791.899,2.0,14696787865.9,63,0.0155839025875,0.25000913242,0.249333333333,1.0563053673200001e-12,0.25
522.0,-522.0,-10527.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,586033482.297,53348.8844935,586033482.297,586071205.655,585995758.939,585999531.274,586067433.319,2.0,2846103476.7,102,0.00391680974125,0.12500456621,0.125333333333,1.0563053673200001e-12,0.25
522.0,-334.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,573777422.824,593382.28809,573777422.824,574197007.464,573357838.185,573399796.649,574155049.0,2.0,352102539818.0,88,0.0155839025875,0.25000913242,0.249333333333,1.0563053673200001e-12,0.25
522.0,-428.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,559568684.094,1818885.86431,559568684.094,560854830.623,558282537.565,558411152.218,560726215.97,2.0,3308345787380.0,33,0.0156660943683,0.24999086758,0.250666666667,1.0563053673200001e-12,0.25
522.0,-241.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,553526194.361,2101843.87775,553526194.361,555012422.42,552039966.302,552188589.108,554863799.614,2.0,4417747686440.0,19,0.00779081278539,0.12498630137,0.249333333333,1.0563053673200001e-12,0.25
522.0,-428.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,553348594.889,39280.6033802,553348594.889,553376370.47,553320819.308,553323596.866,553373592.912,2.0,1542965801.91,8,0.00783247488584,0.12498630137,0.250666666667,1.0563053673200001e-12,0.25
522.0,-334.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,546900847.605,165314.576322,546900847.605,547017742.663,546783952.547,546795642.052,547006053.157,2.0,27328909144.5,113,0.00779195129376,0.12500456621,0.249333333333,1.0563053673200001e-12,0.25
522.0,-428.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,533096637.161,259366.57007,533096637.161,533280037.021,532913237.3,532931577.286,533261697.035,2.0,67271017669.7,58,0.015667238965,0.25000913242,0.250666666667,1.0563053673200001e-12,0.25
522.0,-241.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,528624274.034,977964.394446,528624274.034,529315799.289,527932748.779,528001901.305,529246646.764,2.0,956414356803.0,44,0.0155827640791,0.24999086758,0.249333333333,1.0563053673200001e-12,0.25
522.0,-428.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,504555887.972,400213.292885,504555887.972,504838881.505,504272894.438,504301193.792,504810582.152,2.0,160170679802.0,83,0.015667238965,0.25000913242,0.250666666667,1.0563053673200001e-12,0.25
522.0,-241.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,500879248.035,103842.706533,500879248.035,500952675.917,500805820.153,500813162.941,500945333.129,2.0,10783307700.2,69,0.0155839025875,0.25000913242,0.249333333333,1.0563053673200001e-12,0.25
522.0,-522.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,482026868.942,1513942.18409,482026868.942,483097387.727,480956350.157,481063402.036,482990335.848,2.0,2292020936770.0,28,0.00783304718417,0.24999086758,0.125333333333,1.0563053673200001e-12,0.25
522.0,-428.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,477631708.582,278214.384722,477631708.582,477828435.86,477434981.304,477454654.032,477808763.132,2.0,77403243866.3,108,0.0078336194825,0.12500456621,0.250666666667,1.0563053673200001e-12,0.25
522.0,-241.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,473725800.801,533481.357019,473725800.801,474103029.087,473348572.516,473386295.345,474065306.258,2.0,284602358286.0,94,0.0155839025875,0.25000913242,0.249333333333,1.0563053673200001e-12,0.25
522.0,-147.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,467949553.391,532992.698578,467949553.391,468326436.142,467572670.639,467610358.914,468288747.867,2.0,284081216738.0,25,0.00195769405898,0.12498630137,0.125333333333,1.0563053673200001e-12,0.124972890913
522.0,-334.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,457653512.149,272102.495059,457653512.149,457845917.668,457461106.63,457480347.182,457826677.117,2.0,74039767817.2,39,0.0155827640791,0.24999086758,0.249333333333,1.0563053673200001e-12,0.25
522.0,-522.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,454484224.169,158789.892581,454484224.169,454596505.578,454371942.759,454383170.9,454585277.437,2.0,25214229985.9,3,0.00391623744292,0.12498630137,0.125333333333,1.0563053673200001e-12,0.25
522.0,-522.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,453443192.244,1045278.46982,453443192.244,454182315.739,452704068.75,452777981.1,454108403.389,2.0,1092607079470.0,53,0.0078336194825,0.25000913242,0.125333333333,1.0563053673200001e-12,0.25
522.0,-334.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,452489545.558,101761.43755,452489545.558,452561501.76,452417589.355,452424784.975,452554306.14,2.0,10355390172.3,14,0.00779081278539,0.12498630137,0.249333333333,1.0563053673200001e-12,0.25
