npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight,ProbabilityWeight-htse_capacity,ProbabilityWeight-meoh_capacity,ProbabilityWeight-h2_storage_capacity,prefix
522.0,-522.0,-12833.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,1076753723.07,19303.6148363,1076752192.77,1076775300.43,1076735206.31,1076735902.67,1076773685.89,4.0,372629545.748,7.41636388913e-13,0.000171862562555,0.0556872037915,0.0555662650602,0.0555411241355,1
522.0,-522.0,-12833.0,-1e+200,-1e+200,-1e+200,-1e+200,34220.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,1064401211.48,48796.2816654,1064382190.25,1064473037.45,1064367427.96,1064368483.7,1064460568.97,4.0,2381077104.37,7.41636388913e-13,0.000343775362632,0.0556872037915,0.0555662650602,0.111098483619,101
522.0,-522.0,-12833.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,1049612315.83,69722.3134085,1049626280.21,1049679266.28,1049517436.6,1049530938.59,1049674142.92,4.0,4861200987.04,7.41636388913e-13,0.000343825600154,0.0556872037915,0.0555662650602,0.111114718966,201
522.0,-522.0,-12833.0,-1e+200,-1e+200,-1e+200,-1e+200,102660.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,1034716900.84,47983.9922368,1034696611.89,1034788408.23,1034685971.34,1034687168.2,1034775038.01,4.0,2302463510.98,7.41636388913e-13,0.000343825600154,0.0556872037915,0.0555662650602,0.111114718966,301
522.0,-522.0,-12833.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,1019835645.38,53639.9320883,1019835888.0,1019884965.16,1019785840.36,1019786879.54,1019884071.55,4.0,2877242314.44,7.41636388913e-13,0.000343825600154,0.0556872037915,0.0555662650602,0.111114718966,401
522.0,-522.0,-12833.0,-1e+200,-1e+200,-1e+200,-1e+200,171100.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,1004966112.79,25817.480597,1004963197.67,1004996572.29,1004941483.5,1004942495.01,1004993811.72,4.0,666542304.376,7.41636388913e-13,0.000343825600154,0.0556872037915,0.0555662650602,0.111114718966,501
522.0,-475.0,-11680.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,1002129768.58,156291.367218,1002172481.76,1002256212.09,1001917898.71,1001946161.57,1002253577.14,4.0,24426991466.8,7.41636388913e-13,0.00068745025022,0.111374407583,0.11113253012,0.0555411241355,12
522.0,-475.0,-11680.0,-1e+200,-1e+200,-1e+200,-1e+200,34220.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,991641035.473,263484.192623,991575227.853,992014865.631,991398820.558,991421617.502,991952584.114,4.0,69423919762.0,7.41636388913e-13,0.00137510145053,0.111374407583,0.11113253012,0.111098483619,112
522.0,-522.0,-12833.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,990121004.905,17709.8887454,990121096.938,990141193.542,990100632.203,990102548.397,990139332.568,4.0,313640159.374,7.41636388913e-13,0.000343825600154,0.0556872037915,0.0555662650602,0.111114718966,601
522.0,-475.0,-11680.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,976342770.265,44262.815105,976344185.077,976381992.621,976300718.285,976301864.592,976381695.201,4.0,1959196801.02,7.41636388913e-13,0.00137530240062,0.111374407583,0.11113253012,0.111114718966,212
