smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,prefix,PointProbability,ProbabilityWeight,ProbabilityWeight-ft_capacity
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,926415134.798,17117.8762728,926415018.332,926430742.733,926399759.796,926399929.804,926430502.845,4.0,293021688.092,0.125226860254,0.249992724848,6,3.46688419418e-13,0.00391294293863,0.124990974078
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,885799985.379,22056.1463874,885793954.503,885830764.881,885781267.63,885782170.34,885826243.645,4.0,486473593.461,0.125226860254,0.250007275152,11,3.46688419418e-13,0.00391317068328,0.124990974078
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,845253260.846,48586.7990638,845244330.45,845318624.012,845205758.471,845209439.697,845309584.548,4.0,2360677043.27,0.125226860254,0.250007275152,16,3.46688419418e-13,0.00391317068328,0.124990974078
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,804617305.834,15842.5023875,804616700.155,804637194.46,804598628.568,804601042.639,804634416.982,4.0,250984881.899,0.125226860254,0.125002976198,21,3.46688419418e-13,0.00195657498961,0.124990974078
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,550801949.694,297634.126019,550778492.415,551157912.61,550492901.338,550513890.079,551122849.501,4.0,88586072971.3,0.249546279492,0.249992724848,32,3.46688419418e-13,0.0155973147564,0.250018051845
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,510260391.354,653073.002645,510281901.468,511015538.643,509462223.838,509556859.857,510933808.692,4.0,426504346783.0,0.249546279492,0.250007275152,37,3.46688419418e-13,0.0155982225654,0.250018051845
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,469255273.637,226012.452667,469276734.924,469474498.554,468993126.143,469015671.037,469464830.433,4.0,51081628760.6,0.249546279492,0.250007275152,42,3.46688419418e-13,0.0155982225654,0.250018051845
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,435515028.986,946310.539496,435643585.135,436512772.513,434260173.16,434437072.045,436413007.318,4.0,895503637160.0,0.125226860254,0.249992724848,31,3.46688419418e-13,0.0078270161323,0.250018051845
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,432611955.091,70609.1645637,432596880.596,432709233.313,432544825.857,432550185.126,432694829.348,4.0,4985654120.38,0.125226860254,0.12498974865,26,3.46688419418e-13,0.00391330099566,0.250018051845
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,429055152.855,200189.380439,428989383.119,429340473.831,428901371.35,428906009.155,429296374.185,4.0,40075788040.4,0.249546279492,0.125002976198,47,3.46688419418e-13,0.00779907001867,0.250018051845
