npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-ft_capacity,ProbabilityWeight,PointProbability,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity
1193.0,-985.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1862395701.01,1524649.06499,1862395701.01,1863473790.71,1861317611.32,1861425420.29,1863365981.74,2.0,2324554771380.0,0.25,0.00390633136341,1.17734560967e-13,71,0.125002603629,0.125
1193.0,-585.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,396089.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1862171470.44,2099777.04053,1862171470.44,1863656237.02,1860686703.86,1860835180.51,1863507760.37,2.0,4409063619920.0,0.25,0.0156253254536,1.17734560967e-13,93,0.250005207258,0.25
1193.0,-585.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1802759706.47,14585744.2427,1802759706.47,1813073385.13,1792446027.81,1793477395.67,1812042017.27,2.0,212743935113000.0,0.25,0.00781266272682,1.17734560967e-13,98,0.125002603629,0.25
1193.0,-785.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,132030.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1800503699.53,128497.9013,1800503699.53,1800594561.27,1800412837.79,1800421923.96,1800585475.09,2.0,16511710638.5,0.25,0.0156246745464,1.17734560967e-13,82,0.249994792742,0.25
1193.0,-785.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1764139332.79,722171.146406,1764139332.79,1764649984.9,1763628680.67,1763679745.88,1764598919.69,2.0,521531164701.0,0.25,0.00781207099292,1.17734560967e-13,77,0.124993135887,0.25
1193.0,-385.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,132030.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1751277694.57,26055131.2843,1751277694.57,1769701454.59,1732853934.56,1734696310.56,1767859078.59,2.0,678869866244000.0,0.125,0.00781233727318,1.17734560967e-13,109,0.249994792742,0.25
1193.0,-385.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1750472482.08,14573004.2373,1750472482.08,1760777152.2,1740167811.97,1741198278.98,1759746685.19,2.0,212372452500000.0,0.125,0.00390603549646,1.17734560967e-13,104,0.124993135887,0.25
1193.0,-785.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1730937837.41,987894.928468,1730937837.41,1731636384.61,1730239290.21,1730309144.93,1731566529.89,2.0,975936389693.0,0.25,0.0156252662803,1.17734560967e-13,87,0.250004260484,0.25
1193.0,-385.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1688976537.58,12505229.6523,1688976537.58,1697819070.27,1680134004.9,1681018258.16,1696934817.0,2.0,156380768658000.0,0.125,0.00781263314013,1.17734560967e-13,114,0.250004260484,0.25
1193.0,-785.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,396089.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1677378135.45,12128951.2193,1677378135.45,1685954599.11,1668801671.8,1669659318.16,1685096952.74,2.0,147111457681000.0,0.25,0.0156253254536,1.17734560967e-13,92,0.250005207258,0.25
1193.0,-385.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,396089.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1640979482.26,1430593.29675,1640979482.26,1641991064.48,1639967900.04,1640069058.26,1641889906.26,2.0,2046597180690.0,0.125,0.00781266272682,1.17734560967e-13,119,0.250005207258,0.25
1193.0,-985.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,132030.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1622739649.48,8835705.1231,1622739649.48,1628987436.49,1616491862.47,1617116641.17,1628362657.79,2.0,78069685022300.0,0.25,0.00781233727318,1.17734560967e-13,81,0.249994792742,0.125
