npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,PointProbability,ProbabilityWeight-htse_capacity,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-ft_capacity
769.0,-754.0,-17083.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,25267.0,ref,cooper,nebraska,covid,1934825265.23,3032606.39385,1935319102.57,1937847568.9,1930815286.86,1931345115.55,1937614042.61,4.0,9.19670154001e+12,131,1.17308946207e-12,0.0553064275037,0.000682889993741,0.111126504117,0.111111111111
769.0,-680.0,-17083.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,25267.0,ref,cooper,nebraska,covid,1967642782.62,2345995.21222,1967888635.84,1970176545.11,1964617313.7,1965012154.01,1969929216.72,4.0,5.50369353574e+12,132,1.17308946207e-12,0.111360239163,0.00137500823064,0.111126504117,0.111111111111
769.0,-754.0,-17083.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,33690.0,ref,cooper,nebraska,covid,1937292273.13,1885229.14378,1938005706.3,1938652215.21,1934505464.69,1935012579.46,1938573160.35,4.0,3.55408892457e+12,141,1.17308946207e-12,0.0553064275037,0.000682889993741,0.111126504117,0.111111111111
769.0,-680.0,-17083.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,33690.0,ref,cooper,nebraska,covid,1970199569.85,1504270.8724,1969934796.48,1972054309.94,1968874376.5,1968905627.33,1971864195.09,4.0,2.26283085756e+12,142,1.17308946207e-12,0.111360239163,0.00137500823064,0.111126504117,0.111111111111
769.0,-754.0,-17083.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,42112.0,ref,cooper,nebraska,covid,1933664009.85,4203666.1636,1931962589.96,1939916160.29,1930814699.18,1930973974.1,1938736033.44,4.0,1.7670809215e+13,151,1.17308946207e-12,0.0553064275037,0.000682889993741,0.111126504117,0.111111111111
769.0,-680.0,-17083.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,42112.0,ref,cooper,nebraska,covid,1966171303.63,3351877.25241,1966670783.69,1969048333.77,1962295313.37,1962617809.27,1969025525.91,4.0,1.12350811152e+13,152,1.17308946207e-12,0.111360239163,0.00137500823064,0.111126504117,0.111111111111
769.0,-754.0,-17083.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,50535.0,ref,cooper,nebraska,covid,1935271107.89,5005089.42777,1935740301.22,1940180658.55,1929423170.56,1929941069.13,1939944275.98,4.0,2.505092018e+13,161,1.17308946207e-12,0.0553064275037,0.000682889993741,0.111126504117,0.111111111111
769.0,-680.0,-17083.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,50535.0,ref,cooper,nebraska,covid,1969812647.51,2628975.04077,1968677484.39,1973709845.12,1968185776.15,1968199300.42,1973015222.97,4.0,6.91150976501e+12,162,1.17308946207e-12,0.111360239163,0.00137500823064,0.111126504117,0.111111111111
769.0,-754.0,-17083.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,58957.0,ref,cooper,nebraska,covid,1936813329.62,2448003.54432,1937896807.17,1938306819.17,1933152885.0,1933861202.4,1938248588.29,4.0,5.99272135299e+12,171,1.17308946207e-12,0.0553064275037,0.000682889993741,0.111126504117,0.111111111111
769.0,-680.0,-17083.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,58957.0,ref,cooper,nebraska,covid,1969445518.63,5149513.31654,1971787869.58,1972469895.89,1961736439.48,1963238864.31,1972372881.62,4.0,2.65174873972e+13,172,1.17308946207e-12,0.111360239163,0.00137500823064,0.111126504117,0.111111111111
769.0,-680.0,-17083.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67380.0,ref,cooper,nebraska,covid,1967994231.72,4115782.36751,1968050330.48,1972608930.41,1963267335.49,1963700699.88,1972209225.28,4.0,1.69396644967e+13,182,1.17308946207e-12,0.111360239163,0.00137500823064,0.111126504117,0.111111111111
769.0,-754.0,-17083.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67380.0,ref,cooper,nebraska,covid,1939041366.9,2449899.37636,1939071095.96,1941191908.21,1936831367.49,1936858178.83,1941182934.3,4.0,6.00200695427e+12,181,1.17308946207e-12,0.0553064275037,0.000682889993741,0.111126504117,0.111111111111
769.0,-754.0,-17083.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,75802.0,ref,cooper,nebraska,covid,1938352837.23,2670860.90476,1938544551.49,1941305918.21,1935016327.74,1935416788.14,1941020486.36,4.0,7.13349797258e+12,191,1.17308946207e-12,0.0553064275037,0.000341424727057,0.0555599535571,0.111111111111
769.0,-680.0,-17083.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,75802.0,ref,cooper,nebraska,covid,1972761704.54,1153121.00074,1972846936.88,1974083380.28,1971269564.1,1971502457.44,1973901626.35,4.0,1.32968804234e+12,192,1.17308946207e-12,0.111360239163,0.000687463301778,0.0555599535571,0.111111111111
769.0,-680.0,-15215.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,ref,cooper,nebraska,covid,1768062756.63,5188310.76754,1769844260.1,1772063736.79,1760498769.53,1761785061.29,1771846347.11,4.0,2.69185686206e+13,202,1.17308946207e-12,0.111360239163,0.000686647030937,0.0554939835339,0.111111111111
769.0,-754.0,-15215.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,ref,cooper,nebraska,covid,1701161058.97,2758335.53159,1700582506.8,1704966731.93,1698512490.34,1698736972.22,1704395118.75,4.0,7.60841490483e+12,201,1.17308946207e-12,0.0553064275037,0.000341019330801,0.0554939835339,0.111111111111
769.0,-754.0,-15215.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,8422.0,ref,cooper,nebraska,covid,1733097319.94,6058921.92539,1732065992.16,1741389348.33,1726867947.11,1727577177.0,1740061321.76,4.0,3.6710534898e+13,211,1.17308946207e-12,0.0553064275037,0.000682484597484,0.111060534093,0.111111111111
769.0,-680.0,-15215.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,8422.0,ref,cooper,nebraska,covid,1795930648.74,2697337.47148,1796865976.34,1797859869.12,1792130773.17,1792694227.2,1797857611.65,4.0,7.27562943505e+12,212,1.17308946207e-12,0.111360239163,0.0013741919598,0.111060534093,0.111111111111
769.0,-605.0,-15215.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,8422.0,ref,cooper,nebraska,covid,1828325731.87,11297053.0439,1829815444.35,1837896388.91,1815775649.86,1816675402.16,1837890464.1,4.0,1.27623407477e+14,213,1.17308946207e-12,0.111360239163,0.0013741919598,0.111060534093,0.111111111111
769.0,-754.0,-15215.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,16845.0,ref,cooper,nebraska,covid,1749715297.3,3490276.47007,1750204577.4,1753394264.72,1745057769.69,1745732583.51,1753013018.96,4.0,1.21820298375e+13,221,1.17308946207e-12,0.0553064275037,0.000682889993741,0.111126504117,0.111111111111
769.0,-680.0,-15215.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,16845.0,ref,cooper,nebraska,covid,1796912291.94,11641000.0701,1801569969.06,1804896960.63,1779612269.0,1782871553.44,1804432282.46,4.0,1.35512882631e+14,222,1.17308946207e-12,0.111360239163,0.00137500823064,0.111126504117,0.111111111111
769.0,-605.0,-15215.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,16845.0,ref,cooper,nebraska,covid,1828878315.42,9456876.18514,1828665703.83,1838802918.68,1819378935.34,1819826408.25,1838227878.81,4.0,8.94325071812e+13,223,1.17308946207e-12,0.111360239163,0.00137500823064,0.111126504117,0.111111111111
769.0,-754.0,-15215.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,25267.0,ref,cooper,nebraska,covid,1758647096.39,3770415.73589,1758783562.37,1763097806.92,1753923453.91,1754578281.87,1762524858.55,4.0,1.42160348215e+13,231,1.17308946207e-12,0.0553064275037,0.000682889993741,0.111126504117,0.111111111111
769.0,-680.0,-15215.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,25267.0,ref,cooper,nebraska,covid,1803812781.23,4893378.71358,1805462941.59,1807484582.98,1796840658.73,1797914140.17,1807401197.76,4.0,2.39451552345e+13,232,1.17308946207e-12,0.111360239163,0.00137500823064,0.111126504117,0.111111111111
769.0,-605.0,-15215.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,25267.0,ref,cooper,nebraska,covid,1835207114.74,5717572.5935,1836387937.64,1839939515.45,1828113068.23,1828850489.4,1839910588.02,4.0,3.26906363619e+13,233,1.17308946207e-12,0.111360239163,0.00137500823064,0.111126504117,0.111111111111
769.0,-754.0,-15215.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,33690.0,ref,cooper,nebraska,covid,1766522767.24,2557795.20765,1766272516.93,1769359698.08,1764186337.03,1764239572.99,1769156311.93,4.0,6.54231632426e+12,241,1.17308946207e-12,0.0553064275037,0.000682889993741,0.111126504117,0.111111111111
769.0,-605.0,-15215.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,33690.0,ref,cooper,nebraska,covid,1832637106.68,6432183.85926,1832795721.77,1839192616.72,1825764366.43,1826201884.17,1838850268.04,4.0,4.13729891993e+13,243,1.17308946207e-12,0.111360239163,0.00137500823064,0.111126504117,0.111111111111
769.0,-680.0,-15215.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,33690.0,ref,cooper,nebraska,covid,1799040861.0,4409020.25417,1797982330.58,1805034822.83,1795163960.01,1795346728.11,1804216936.47,4.0,1.94394596017e+13,242,1.17308946207e-12,0.111360239163,0.00137500823064,0.111126504117,0.111111111111
769.0,-754.0,-15215.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,42112.0,ref,cooper,nebraska,covid,1764695187.98,1858348.6828,1763988148.35,1767423800.22,1763380655.01,1763425881.99,1766954349.47,4.0,3.45345982685e+12,251,1.17308946207e-12,0.0553064275037,0.000682889993741,0.111126504117,0.111111111111
769.0,-680.0,-15215.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,42112.0,ref,cooper,nebraska,covid,1801009818.87,5988351.72254,1801662626.46,1807620342.53,1793093680.02,1794314987.95,1806790719.15,4.0,3.58603563529e+13,252,1.17308946207e-12,0.111360239163,0.00137500823064,0.111126504117,0.111111111111
769.0,-605.0,-15215.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,42112.0,ref,cooper,nebraska,covid,1836995677.12,5062448.93708,1837744266.97,1841851344.44,1830642830.09,1831343261.42,1841600067.02,4.0,2.56283892406e+13,253,1.17308946207e-12,0.111360239163,0.00137500823064,0.111126504117,0.111111111111
769.0,-754.0,-15215.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,50535.0,ref,cooper,nebraska,covid,1762660392.36,3987284.48913,1764060239.35,1765724121.06,1756796969.67,1757875848.0,1765485150.93,4.0,1.58984375973e+13,261,1.17308946207e-12,0.0553064275037,0.000682889993741,0.111126504117,0.111111111111
769.0,-680.0,-15215.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,50535.0,ref,cooper,nebraska,covid,1801089371.71,5175882.03914,1802373135.58,1805678914.44,1793932301.26,1794966396.1,1805415077.91,4.0,2.67897548831e+13,262,1.17308946207e-12,0.111360239163,0.00137500823064,0.111126504117,0.111111111111
769.0,-605.0,-15215.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,50535.0,ref,cooper,nebraska,covid,1829228940.24,10626658.7261,1830533861.14,1839290881.27,1816557157.39,1817743994.56,1838886996.65,4.0,1.12925875682e+14,263,1.17308946207e-12,0.111360239163,0.00137500823064,0.111126504117,0.111111111111
769.0,-680.0,-15215.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,58957.0,ref,cooper,nebraska,covid,1807546938.1,2561186.86027,1808470208.17,1809375088.81,1803872247.23,1804449256.96,1809352041.12,4.0,6.55967813324e+12,272,1.17308946207e-12,0.111360239163,0.00137500823064,0.111126504117,0.111111111111
