smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,PointProbability,ProbabilityWeight-ft_capacity,prefix,ProbabilityWeight
720.0,-601.8,-15122.4,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,833669572.116,5268026.61161,833669572.116,837394629.456,829944514.775,830317020.509,837022123.722,2.0,27752104380600.0,0.083332619483,0.166693548387,1.73877090418e-14,0.166668806079,51,0.00231519805827
720.0,-705.1,-15122.4,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,709947389.024,6637984.95084,709947389.024,714641153.197,705253624.852,705723001.269,714171776.779,2.0,44062844207600.0,0.083332619483,0.0833064516129,1.73877090418e-14,0.166668806079,50,0.0011570389909
720.0,-705.1,-17719.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,992273.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,573659063.459,1974820.40153,573659063.459,575055472.356,572262654.561,572402295.451,574915831.466,2.0,3899915618290.0,0.16666607879,0.0833064516129,1.73877090418e-14,0.0833344030397,8,0.00115704482121
720.0,-601.8,-12525.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,558849630.991,3677256.05389,558849630.991,561449843.683,556249418.299,556509439.568,561189822.414,2.0,13522212085900.0,0.083332619483,0.166693548387,1.73877090418e-14,0.16666559696,100,0.00231515348037
720.0,-601.8,-15122.4,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,992273.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,432717625.376,927781.6402,432717625.376,433373666.065,432061584.687,432127188.755,433308061.996,2.0,860778771893.0,0.16666607879,0.166693548387,1.73877090418e-14,0.166668806079,58,0.00463041944905
720.0,-291.8,-7332.1,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,428783844.079,25468211.8541,428783844.079,446792589.386,410775098.773,412575973.303,444991714.855,2.0,648629815044000.0,0.083332619483,0.166693548387,1.73877090418e-14,0.166668806079,201,0.00231519805827
720.0,-705.1,-12525.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,424027550.746,22432260.6707,424027550.746,439889554.384,408165547.108,409751747.472,438303354.02,2.0,503206318800000.0,0.083332619483,0.0833064516129,1.73877090418e-14,0.16666559696,99,0.00115701671273
720.0,-498.4,-9928.9,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,423699218.207,74715825.9676,423699218.207,476531285.411,370867151.003,376150357.724,471248078.69,2.0,5582454650020000.0,0.083332619483,0.166693548387,1.73877090418e-14,0.16666559696,150,0.00231515348037
720.0,-705.1,-15122.4,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,992273.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,391958442.99,15271412.6597,391958442.99,402756962.44,381159923.54,382239775.485,401677110.495,2.0,233216044623000.0,0.16666607879,0.0833064516129,1.73877090418e-14,0.166668806079,57,0.00231408964241
720.0,-601.8,-9928.9,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,306665063.34,5023610.01099,306665063.34,310217292.045,303112834.635,303468057.506,309862069.174,2.0,25236657542500.0,0.083332619483,0.166693548387,1.73877090418e-14,0.16666559696,149,0.00231515348037
720.0,-395.1,-7332.1,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,297828765.327,18308213.9471,297828765.327,310774627.56,284882903.093,286177489.317,309480041.337,2.0,335190697934000.0,0.083332619483,0.166612903226,1.73877090418e-14,0.166668806079,200,0.0023140779818
720.0,-498.4,-12525.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,992273.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,296157596.225,4440553.11184,296157596.225,299297541.443,293017651.008,293331645.529,298983546.921,2.0,19718511939100.0,0.16666607879,0.166693548387,1.73877090418e-14,0.16666559696,108,0.00463033029279
720.0,-601.8,-12525.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,992273.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,220483730.697,5244269.99603,220483730.697,224191989.573,216775471.82,217146297.708,223821163.686,2.0,27502367791200.0,0.16666607879,0.166693548387,1.73877090418e-14,0.16666559696,107,0.00463033029279
720.0,-705.1,-9928.9,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,182111112.955,2820015.70728,182111112.955,184105165.185,180117060.726,180316465.949,183905759.962,2.0,7952488589280.0,0.083332619483,0.0833064516129,1.73877090418e-14,0.16666559696,148,0.00115701671273
720.0,-705.1,-17719.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,167131335.507,5249393.11197,167131335.507,170843216.973,163419454.04,163790642.187,170472028.827,2.0,27556128044000.0,0.166666918614,0.0833064516129,1.73877090418e-14,0.0833344030397,15,0.00115705065151
720.0,-705.1,-12525.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,992273.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,148732245.606,8608423.83512,148732245.606,154819320.476,142645170.737,143253878.224,154210612.989,2.0,74104960925100.0,0.16666607879,0.0833064516129,1.73877090418e-14,0.16666559696,106,0.00231404508585
720.0,-498.4,-7332.1,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,145482484.194,50127761.1119,145482484.194,180928164.002,110036804.386,113581372.367,177383596.021,2.0,2512792434090000.0,0.083332619483,0.166693548387,1.73877090418e-14,0.166668806079,199,0.00231519805827
720.0,-395.1,-9928.9,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,992273.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,141873524.492,52454595.8312,141873524.492,178964524.908,104782524.075,108491624.117,175255424.867,2.0,2751484623810000.0,0.16666607879,0.166612903226,1.73877090418e-14,0.16666559696,158,0.0046280901717
720.0,-498.4,-9928.9,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,992273.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,96925293.5763,16162454.3361,96925293.5763,108353874.638,85496712.5146,86639570.6208,107211016.532,2.0,261224930167000.0,0.16666607879,0.166693548387,1.73877090418e-14,0.16666559696,157,0.00463033029279
720.0,-291.8,-4735.3,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,96777597.9684,2312633.50395,96777597.9684,98412876.8014,95142319.1353,95305847.0186,98249348.9181,2.0,5348273723590.0,0.083332619483,0.166693548387,1.73877090418e-14,0.16666559696,250,0.00231515348037
720.0,-601.8,-7332.1,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,44366078.4367,82244254.3637,44366078.4367,102521548.411,-13789391.5375,-7973844.54009,96706001.4135,2.0,6764117375850000.0,0.083332619483,0.166693548387,1.73877090418e-14,0.166668806079,198,0.00231519805827
720.0,-188.4,-2138.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,38628730.7158,36546729.5997,38628730.7158,64471171.0459,12786290.3857,15370534.4187,61886927.0129,2.0,1335663444430000.0,0.083332619483,0.166693548387,0.0,0.0833311939206,300,0.00115755445123
720.0,-291.8,-7332.1,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,992273.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,37516315.1218,10793047.4379,37516315.1218,45148152.1548,29884478.0887,30647661.792,44384968.4515,2.0,116489872997000.0,0.16666607879,0.166693548387,1.73877090418e-14,0.166668806079,208,0.00463041944905
720.0,-395.1,-4735.3,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,32922406.3298,12624645.1189,32922406.3298,41849378.5034,23995434.1561,24888131.3735,40956681.286,2.0,159381664377000.0,0.083332619483,0.166612903226,1.73877090418e-14,0.16666559696,249,0.00231403342547
720.0,-601.8,-15122.4,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,12997797.6004,3066462.02154,12997797.6004,15166113.69,10829481.5107,11046313.1196,14949282.0811,2.0,9403189329560.0,0.166666918614,0.166693548387,1.73877090418e-14,0.166668806079,65,0.00463044278155
720.0,-601.8,-9928.9,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,992273.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,10064464.9344,337654.894169,10064464.9344,10303222.9997,9825706.869,9849582.67554,10279347.1932,2.0,114010827556.0,0.16666607879,0.166693548387,1.73877090418e-14,0.16666559696,156,0.00463033029279
720.0,-705.1,-15122.4,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-26348299.9112,8638589.44026,-26348299.9112,-20239894.7381,-32456705.0843,-31845864.567,-20850735.2554,2.0,74625227517400.0,0.166666918614,0.0833064516129,1.73877090418e-14,0.166668806079,64,0.00231410130302
720.0,-395.1,-7332.1,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,992273.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-34436904.8808,21756308.0785,-34436904.8808,-19052871.9049,-49820937.8567,-48282534.5591,-20591275.2025,2.0,473336941207000.0,0.16666607879,0.166612903226,1.73877090418e-14,0.166668806079,207,0.00462817928483
720.0,-705.1,-7332.1,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-58625126.4012,18925741.3911,-58625126.4012,-45242606.3246,-72007646.4778,-70669394.4702,-46580858.3322,2.0,358183687202000.0,0.083332619483,0.0833064516129,1.73877090418e-14,0.166668806079,197,0.0011570389909
720.0,-498.4,-4735.3,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-99500743.0604,61407012.6492,-99500743.0604,-56079428.0037,-142922058.117,-138579926.611,-60421559.5094,2.0,3770821202500000.0,0.083332619483,0.166693548387,1.73877090418e-14,0.16666559696,248,0.00231515348037
720.0,-705.1,-9928.9,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,992273.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-113525409.642,5015236.63756,-113525409.642,-109979101.806,-117071717.478,-116717086.694,-110333732.59,2.0,25152598530700.0,0.16666607879,0.0833064516129,1.73877090418e-14,0.16666559696,155,0.00231404508585
720.0,-291.8,-2138.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-117995889.765,80713108.2871,-117995889.765,-60923103.5641,-175068675.965,-169361397.345,-66630382.1841,2.0,6514605849370000.0,0.083332619483,0.166693548387,0.0,0.0833311939206,299,0.00115755445123
720.0,-498.4,-12525.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-131848211.606,30375764.2834,-131848211.606,-110369302.698,-153327120.515,-151179229.624,-112517193.588,2.0,922687055803000.0,0.166666918614,0.166693548387,1.73877090418e-14,0.16666559696,115,0.00463035362484
720.0,-188.4,-4735.3,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,992273.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-138710467.172,62506862.9324,-138710467.172,-94511440.5221,-182909493.823,-178489591.157,-98931343.1871,2.0,3907107913660000.0,0.16666607879,0.166693548387,1.73877090418e-14,0.16666559696,258,0.00463033029279
720.0,-498.4,-7332.1,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,992273.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-140409661.615,23239910.8837,-140409661.615,-123976563.035,-156842760.195,-155199450.337,-125619872.893,2.0,540093457882000.0,0.16666607879,0.166693548387,1.73877090418e-14,0.166668806079,206,0.00463041944905
720.0,-601.8,-12525.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-174994560.835,497503.697439,-174994560.835,-174642772.596,-175346349.073,-175311170.249,-174677951.42,2.0,247509928965.0,0.166666918614,0.166693548387,1.73877090418e-14,0.16666559696,114,0.00463035362484
720.0,-291.8,-4735.3,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,992273.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-181242750.075,3850302.22968,-181242750.075,-178520175.259,-183965324.892,-183693067.41,-178792432.741,2.0,14824827259900.0,0.16666607879,0.166693548387,1.73877090418e-14,0.16666559696,257,0.00463033029279
720.0,-395.1,-2138.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-230697982.287,46699910.0709,-230697982.287,-197676159.195,-263719805.379,-260417623.07,-200978341.505,2.0,2180881600630000.0,0.083332619483,0.166612903226,0.0,0.0833311939206,298,0.00115699443456
720.0,-601.8,-4735.3,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-237113583.179,32034257.5046,-237113583.179,-214461942.467,-259765223.891,-257500059.82,-216727106.538,2.0,1026193653870000.0,0.083332619483,0.166693548387,1.73877090418e-14,0.16666559696,247,0.00231515348037
720.0,-705.1,-17719.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2976819.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-243746433.566,2031219.32002,-243746433.566,-242310144.61,-245182722.521,-245039093.625,-242453773.506,2.0,4125851926010.0,0.166667002596,0.0833064516129,1.73877090418e-14,0.0833344030397,22,0.00115705123454
720.0,-601.8,-7332.1,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,992273.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-252013686.592,7677499.20659,-252013686.592,-246584874.84,-257442498.343,-256899617.168,-247127756.015,2.0,58943994067200.0,0.16666607879,0.166693548387,1.73877090418e-14,0.166668806079,205,0.00463041944905
720.0,-85.1,-2138.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,992273.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-263829879.747,46564593.1252,-263829879.747,-230903740.185,-296756019.309,-293463405.353,-234196354.142,2.0,2168261332910000.0,0.16666607879,0.0833064516129,0.0,0.0833311939206,308,0.00115700026464
720.0,-395.1,-9928.9,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-266214623.666,112019.782076,-266214623.666,-266135413.719,-266293833.614,-266285912.619,-266143334.713,2.0,12548431576.3,0.166666918614,0.166612903226,1.73877090418e-14,0.16666559696,165,0.00462811349247
720.0,-705.1,-12525.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-279522420.121,26609625.4205,-279522420.121,-260706573.542,-298338266.701,-296456682.043,-262588158.2,2.0,708072165017000.0,0.166666918614,0.0833064516129,1.73877090418e-14,0.16666559696,113,0.00231405674623
720.0,-395.1,-4735.3,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,992273.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-296383327.641,79924551.0152,-296383327.641,-239868135.634,-352898519.647,-347247000.446,-245519654.835,2.0,6387933854980000.0,0.16666607879,0.166612903226,1.73877090418e-14,0.16666559696,256,0.0046280901717
