smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,co2_location_label,fuel_region_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,PointProbability,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight,ProbabilityWeight-htse_capacity,ProbabilityWeight-meoh_capacity
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-5337213.99296,3087858.93825,-5337213.99296,-3153767.99838,-7520659.98754,-7302315.38808,-3372112.59783,2.0,9534872822530.0,33,1.83230531396e-13,0.249996504259,0.0156508782704,0.250453720508,0.249963898917
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-12401045.3035,2675700.74576,-12401045.3035,-10509039.1618,-14293051.4453,-14103850.8311,-10698239.776,2.0,7159374480840.0,102,1.83230531396e-13,0.125001398296,0.003913383159,0.125226860254,0.25
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-27412852.8316,786039.285268,-27412852.8316,-26857039.1227,-27968666.5405,-27913085.1696,-26912620.4936,2.0,617857757984.0,19,1.83230531396e-13,0.124995105963,0.00779801591193,0.249546279492,0.25
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-47150294.674,457279.682973,-47150294.674,-46826949.1093,-47473640.2387,-47441305.6823,-46859283.6658,2.0,209104708460.0,88,1.83230531396e-13,0.250003495741,0.0155946083013,0.249546279492,0.249963898917
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-78934742.6695,3928779.73251,-78934742.6695,-76156675.8788,-81712809.4601,-81435002.781,-76434482.5579,2.0,15435310186600.0,58,1.83230531396e-13,0.250003495741,0.0156513159678,0.250453720508,0.249963898917
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-100207291.361,4166060.56778,-100207291.361,-97261441.6832,-103153141.04,-102858556.072,-97556026.651,2.0,17356060654400.0,44,1.83230531396e-13,0.249996504259,0.015596424381,0.249546279492,0.25
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-124598291.378,29557.9796879,-124598291.378,-124577390.73,-124619192.026,-124617101.961,-124579480.795,2.0,873674163.233,113,1.83230531396e-13,0.125001398296,0.00779728234506,0.249546279492,0.249963898917
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-128146134.682,2118303.6809,-128146134.682,-126648267.785,-129644001.58,-129494214.89,-126798054.475,2.0,4487210484520.0,28,1.83230531396e-13,0.249996504259,0.0078254391352,0.125226860254,0.249963898917
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-149574448.27,1132245.60862,-149574448.27,-148773829.723,-150375066.818,-150295004.963,-148853891.577,2.0,1281980118230.0,3,1.83230531396e-13,0.124995105963,0.00391262108568,0.125226860254,0.249963898917
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-152930909.051,1435037.59124,-152930909.051,-151916184.239,-153945633.863,-153844161.381,-152017656.72,2.0,2059332888270.0,83,1.83230531396e-13,0.250003495741,0.0156513159678,0.250453720508,0.249963898917
