smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,co2_location_label,fuel_region_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,prefix,ProbabilityWeight-meoh_capacity,ProbabilityWeight-htse_capacity,PointProbability,ProbabilityWeight
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,86086553.0496,359855.435308,86086553.0496,86341009.2681,85832096.831,85857542.4529,86315563.6463,2.0,129495934321.0,0.249996504259,44,0.25,0.249546279492,1.83230531396e-13,0.015596424381
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,75856677.5441,1824825.90372,75856677.5441,77147024.3151,74566330.7731,74695365.4502,77017989.638,2.0,3329989578880.0,0.250003495741,77,0.25,0.125226860254,1.83230531396e-13,0.00782678820604
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,45517752.9809,173433.983106,45517752.9809,45640389.3265,45395116.6354,45407380.2699,45628125.6919,2.0,30079346496.1,0.250003495741,88,0.249963898917,0.249546279492,1.83230531396e-13,0.0155946083013
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,30293521.9928,9112489.70665,30293521.9928,36737025.2579,23850018.7278,24494369.0543,36092674.9314,2.0,83037468653900.0,0.249996504259,50,0.125018050542,0.125226860254,1.83230531396e-13,0.00391384975812
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,26184583.265,2778247.64782,26184583.265,28149101.0166,24220065.5134,24416517.2886,27952649.2414,2.0,7718659992620.0,0.250003495741,69,0.25,0.249546279492,1.83230531396e-13,0.0155968605555
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,25803390.8534,2307966.37384,25803390.8534,27435369.5271,24171412.1797,24334610.0471,27272171.6598,2.0,5326708782790.0,0.250003495741,58,0.249963898917,0.250453720508,1.83230531396e-13,0.0156513159678
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,2967189.8725,2266751.39656,2967189.8725,4570025.15627,1364354.58873,1524638.11711,4409741.62789,2.0,5138161893790.0,0.125001398296,102,0.25,0.125226860254,1.83230531396e-13,0.003913383159
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-2848233.01085,1165311.22955,-2848233.01085,-2024233.53824,-3672232.48345,-3589832.53619,-2106633.4855,2.0,1357950261710.0,0.249996504259,39,0.25,0.249546279492,1.83230531396e-13,0.015596424381
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-3132091.173,915976.235882,-3132091.173,-2484398.1652,-3779784.1808,-3715014.88002,-2549167.46598,2.0,839012464701.0,0.124995105963,14,0.25,0.249546279492,1.83230531396e-13,0.00779801591193
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-16185823.0097,719222.116701,-16185823.0097,-15677256.1738,-16694389.8456,-16643533.162,-15728112.8574,2.0,517280453152.0,0.249996504259,28,0.249963898917,0.125226860254,1.83230531396e-13,0.0078254391352
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-22785974.0981,6808273.05555,-22785974.0981,-17971798.0524,-27600150.1439,-27118732.5393,-18453215.6569,2.0,46352581999000.0,0.125001398296,113,0.249963898917,0.249546279492,1.83230531396e-13,0.00779728234506
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-43652516.3885,6423692.86171,-43652516.3885,-39110279.6057,-48194753.1712,-47740529.493,-39564503.284,2.0,41263829981600.0,0.250003495741,75,0.125018050542,0.125226860254,1.83230531396e-13,0.00391395921408
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-43941934.5916,261469.391104,-43941934.5916,-43757047.812,-44126821.3711,-44108332.6931,-43775536.49,2.0,68366242484.2,0.250003495741,83,0.249963898917,0.250453720508,1.83230531396e-13,0.0156513159678
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-49503231.0693,2046379.26558,-49503231.0693,-48056222.4137,-50950239.7249,-50805538.8593,-48200923.2793,2.0,4187668098600.0,0.250003495741,94,0.25,0.249546279492,1.83230531396e-13,0.0155968605555
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-63375731.1873,3538696.37233,-63375731.1873,-60873494.9859,-65877967.3888,-65627743.7686,-61123718.606,2.0,12522372015600.0,0.124995105963,3,0.249963898917,0.125226860254,1.83230531396e-13,0.00391262108568
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-74266789.8646,3194567.47287,-74266789.8646,-72007889.5416,-76525690.1876,-76299800.1553,-72233779.5739,2.0,10205261338700.0,0.124995105963,20,0.125018050542,0.249546279492,1.83230531396e-13,0.00389957098961
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-75495814.2174,4930617.0697,-75495814.2174,-72009341.4519,-78982286.9828,-78633639.7062,-72357988.7285,2.0,24310984688000.0,0.250003495741,64,0.25,0.249546279492,1.83230531396e-13,0.0155968605555
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-88998408.3293,2169782.45623,-88998408.3293,-87464140.4408,-90532676.2178,-90379249.4289,-87617567.2296,2.0,4707955907360.0,0.250003495741,53,0.249963898917,0.125226860254,1.83230531396e-13,0.00782565798392
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-105147323.907,3092627.08958,-105147323.907,-102960506.32,-107334141.493,-107115459.735,-103179188.079,2.0,9564342315170.0,0.249996504259,45,0.125018050542,0.249546279492,1.83230531396e-13,0.0077993382861
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-117351751.069,2108926.94602,-117351751.069,-115860514.525,-118842987.614,-118693863.959,-116009638.179,2.0,4447572863670.0,0.125001398296,108,0.249963898917,0.250453720508,1.83230531396e-13,0.00782563609905
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-120940752.269,7922954.0336,-120940752.269,-115338377.745,-126543126.793,-125982889.341,-115898615.197,2.0,62773200618600.0,0.250003495741,100,0.125018050542,0.125226860254,1.83230531396e-13,0.00391395921408
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-123457114.107,8011441.87589,-123457114.107,-117792169.229,-129122058.984,-128555564.497,-118358663.717,2.0,64183200930700.0,0.125001398296,119,0.25,0.249546279492,1.83230531396e-13,0.00779840846903
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-136500890.202,1202202.78558,-136500890.202,-135650804.46,-137350975.945,-137265967.37,-135735813.035,2.0,1445291537660.0,0.249996504259,34,0.25,0.250453720508,1.83230531396e-13,0.0156531386514
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-152136062.287,867566.15173,-152136062.287,-151522600.378,-152749524.196,-152688178.005,-151583946.569,2.0,752671027627.0,0.250003495741,89,0.25,0.249546279492,1.83230531396e-13,0.0155968605555
