smr_capacity,electricity_market_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight,prefix,ProbabilityWeight-smr_capacity
240.0,-1e+200,ref,prairie_island,minnesota,covid,-784705764.721,865105.794788,-785020395.867,-783027806.863,-785657013.439,-785540816.557,-783250232.579,10.0,748408036176.0,0.00104166666667,0.125,1,0.125
480.0,-1e+200,ref,prairie_island,minnesota,covid,-1569426600.8,1614841.22299,-1569349587.67,-1567339483.5,-1572032567.46,-1571733179.17,-1567342792.47,10.0,2607712175460.0,0.00104166666667,0.25,2,0.25
720.0,-1e+200,ref,prairie_island,minnesota,covid,-2354573044.74,2415896.20415,-2353897842.18,-2350711549.07,-2359076302.29,-2358102312.84,-2351758524.04,10.0,5836554469240.0,0.00104166666667,0.25,3,0.25
960.0,-1e+200,ref,prairie_island,minnesota,covid,-3138920477.97,3393427.12251,-3139070519.88,-3131349415.39,-3143145254.12,-3142954215.34,-3133770570.34,10.0,11515347635800.0,0.00104166666667,0.25,4,0.25
1200.0,-1e+200,ref,prairie_island,minnesota,covid,-3923616638.82,2900435.19417,-3923730513.2,-3918389132.19,-3928713333.25,-3927996817.63,-3919550256.69,10.0,8412524315590.0,0.00104166666667,0.125,5,0.125
