cfYears,smr_smrCAPEX_CashFlow,smr_smrCAPEX_depreciation,smr_smrCAPEX_depreciation_tax_credit,smr_smrVOM_CashFlow,htse_htseCAPEX_CashFlow,htse_htseCAPEX_depreciation,htse_htseCAPEX_depreciation_tax_credit,htse_htseFOM_CashFlow,htse_htseVOM_CashFlow,htse_htseELEC_CAP_MARKET_CashFlow,ft_ftCAPEX_CashFlow,ft_ftCAPEX_depreciation,ft_ftCAPEX_depreciation_tax_credit,ft_ftFOM_CashFlow,ft_ftVOM_CashFlow,ft_co2_shipping_CashFlow,ft_h2_ptc_CashFlow,ft_elec_consumption_ftELEC_CAP_MARKET_CashFlow,electricity_market_e_sales_CashFlow,naphtha_market_naphtha_sales_CashFlow,jet_fuel_market_jet_fuel_sales_CashFlow,diesel_market_diesel_sales_CashFlow,h2_storage_storageCAPEX_CashFlow,h2_storage_storageCAPEX_depreciation,h2_storage_storageCAPEX_depreciation_tax_credit,h2_import_h2IMPORTS_CashFlow,h2_export_h2EXPORTS_CashFlow
0,-2806776000.0,0.0,0.0,0.0,-478606201.134,0.0,0.0,0.0,0.0,0.0,-204189391.731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5000.0,0.0,0.0,0.0,0.0
1,0.0,-108502301.82,137344685.849,115598361.6,0.0,-18501609.8501,23419759.3039,-21375600.0,-13948366.5057,-19693082.25,0.0,-7893404.74982,9991651.58205,-21732221.0,-6035605.53,-9827216.39361,420164640.0,-416208.405,14963741.0854,21744137.1099,48170650.8564,13883660.8002,0.0,-193.286357408,244.666275201,0.0,0.0
2,0.0,-201756090.682,255387456.559,115598361.6,0.0,-34403071.7509,43548192.0898,-21375600.0,-13948387.7135,-19693082.25,0.0,-14677499.5348,18579113.3352,-21732221.0,-6035605.53,-9827216.39361,420164640.0,-416208.405,15292940.0601,21744137.1099,48170650.8564,13883660.8002,0.0,-359.408963668,454.948055276,0.0,0.0
3,0.0,-177706480.342,224944911.825,115598361.6,0.0,-30302177.1147,38357186.2212,-21375600.0,-13948415.5356,-19693082.25,0.0,-12927920.9056,16364456.8425,-21732221.0,-6035605.53,-9827216.39361,420164640.0,-416208.405,18418742.314,19895851.8755,51420801.9293,12757831.8905,0.0,-316.566908692,400.717605939,0.0,0.0
4,0.0,-156625322.202,198259901.522,115598361.6,0.0,-26707457.4033,33806908.1054,-21375600.0,-13948373.015,-19693082.25,0.0,-11394293.4064,14423156.2107,-21732221.0,-6035605.53,-9827216.39361,420164640.0,-416208.405,6919006.21125,15561169.8011,47294222.9425,29447985.092,0.0,-279.01286423,353.180840797,0.0,0.0
5,0.0,-137955363.067,174627041.857,115598361.6,0.0,-23523890.8426,29777077.0159,-21375600.0,-13948401.992,-19693082.25,0.0,-10036077.5747,12703895.6641,-21732221.0,-6035605.53,-9827216.39361,420164640.0,-416208.405,11030053.4166,15086379.8076,52590784.4105,30545245.9327,0.0,-245.754137607,311.081186844,0.0,0.0
6,0.0,-121374513.514,153638624.702,115598361.6,0.0,-20696555.3459,26198171.3239,-21375600.0,-13948380.1542,-19693082.25,0.0,-8829841.81356,11177014.9539,-21732221.0,-6035605.53,-9827216.39361,420164640.0,-416208.405,12824132.7744,14641478.8752,53124125.8994,30128760.8013,0.0,-216.216957666,273.692351476,0.0,0.0
7,0.0,-112493018.133,142396225.485,115598361.6,0.0,-19182099.342,24281138.4076,-21375600.0,-13948381.5191,-19693082.25,0.0,-8183724.29669,10359144.6793,-21732221.0,-6035605.53,-9827216.39361,420164640.0,-416208.405,15937987.9191,14949183.4714,54141314.2118,29745565.0815,0.0,-200.395432577,253.665104527,0.0,0.0
8,0.0,-110092990.931,139358216.368,115598361.6,0.0,-18772851.1862,23763102.7673,-21375600.0,-13948402.5169,-19693082.25,0.0,-8009125.36376,10138133.3718,-21732221.0,-6035605.53,-9827216.39361,420164640.0,-416208.405,15968974.8232,15323542.2194,55513275.5915,29509178.8112,0.0,-196.120016223,248.253185092,0.0,0.0
9,0.0,-107926785.301,136616183.925,115598361.6,0.0,-18403473.8481,23295536.5166,-21375600.0,-13948342.1482,-19693082.25,0.0,-7851536.65346,9938653.99173,-21732221.0,-6035605.53,-9827216.39361,420164640.0,-416208.405,11178827.9016,15689865.8011,56718194.025,29834417.5278,0.0,-192.261130388,243.368519478,0.0,0.0
10,0.0,-105445457.102,133475262.155,115598361.6,0.0,-17980362.3982,22759952.4027,-21375600.0,-13983282.9571,-19693082.25,0.0,-7671023.17622,9710155.91926,-21732221.0,-6035605.53,-9827216.39361,420164640.0,-416208.405,59983950.6026,15950780.6676,57380034.8561,30050314.6087,0.0,-187.840884171,237.773271103,0.0,0.0
11,0.0,-103370697.021,130848983.571,115598361.6,0.0,-17626578.1843,22312124.2839,-21375600.0,-13948362.831,-19693082.25,0.0,-7520087.01352,9519097.48547,-21732221.0,-6035605.53,-9827216.39361,0.0,-416208.405,10457523.8056,16834858.0636,57116515.1246,29986665.0843,0.0,-184.144899737,233.094809794,0.0,0.0
12,0.0,-100994117.15,127840654.62,115598361.6,0.0,-17221328.2236,21799149.6501,-21375600.0,-13948384.7738,-19693082.25,0.0,-7347193.84421,9300245.37242,-21732221.0,-6035605.53,-9827216.39361,0.0,-416208.405,15080451.2008,17281390.8787,58896727.9437,30459921.7187,0.0,-179.911252537,227.735762705,0.0,0.0
13,0.0,-99006942.2782,125325243.39,115598361.6,0.0,-16882478.876,21370226.4253,-21375600.0,-13948382.884,-19693082.25,0.0,-7202629.39433,9117252.39789,-21732221.0,-6035605.53,-9827216.39361,0.0,-416208.405,17726086.5526,17672994.2483,59658103.5924,30640531.1753,0.0,-176.371292683,223.254800864,0.0,0.0
14,0.0,-96730688.8248,122443909.905,115598361.6,0.0,-16494336.3886,20878906.821,-21375600.0,-13948361.1512,-19693082.25,0.0,-7037034.84455,8907639.04373,-21732221.0,-6035605.53,-9827216.39361,0.0,-416208.405,14260505.1949,17877669.0113,60073062.0405,30795988.9463,0.0,-172.316367293,218.121983915,0.0,0.0
15,0.0,-94827401.7859,120034685.805,115598361.6,0.0,-16169791.4376,20468090.4274,-21375600.0,-13948404.0918,-19693082.25,0.0,-6898573.12806,8732371.04817,-21732221.0,-6035605.53,-9827216.39361,0.0,-416208.405,10959959.3139,18191799.6193,60798852.9381,30856345.2182,0.0,-168.9258455,213.830184177,0.0,0.0
16,0.0,-46323619.7541,58637493.3596,115598361.6,0.0,-7899017.11903,9998755.84687,-21375600.0,-13948391.808,-19693082.25,0.0,-3369984.54467,4265803.2211,-21732221.0,-6035605.53,-9827216.39361,0.0,-416208.405,12846566.2297,18339317.5759,61258376.0077,31026703.8965,0.0,-82.5210486232,104.457023574,0.0,0.0
17,0.0,0.0,0.0,115598361.6,0.0,0.0,0.0,-21375600.0,-13948385.0887,-19693082.25,0.0,0.0,0.0,-21732221.0,-6035605.53,-9827216.39361,0.0,-416208.405,13356935.463,18635723.2403,62060836.7332,31342654.7224,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,115598361.6,0.0,0.0,0.0,-21375600.0,-13948400.3121,-19693082.25,0.0,0.0,0.0,-21732221.0,-6035605.53,-9827216.39361,0.0,-416208.405,15331116.7898,18879084.3822,63101113.1892,31752811.2967,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,115598361.6,0.0,0.0,0.0,-21375600.0,-13948382.779,-19693082.25,0.0,0.0,0.0,-21732221.0,-6035605.53,-9827216.39361,0.0,-416208.405,6065599.09453,19287195.9805,63836020.3289,31985164.0394,0.0,0.0,0.0,0.0,0.0
