npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-meoh_capacity,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,PointProbability,ProbabilityWeight
769.0,-769.0,-18584.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1722860103.09,851400.137456,1723211181.18,1723422753.87,1721595296.13,1721826146.24,1723402550.61,4.0,724882194059.0,0.0555452464898,1,0.0555540608495,0.0553064275037,2.96137538059e-14,0.000170662583147
769.0,-695.0,-16788.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1612125032.66,2346066.95118,1613075489.92,1613697940.35,1608651210.43,1609271915.54,1613647509.6,4.0,5504030139410.0,0.111121420177,12,0.0555540608495,0.111360239163,2.96137538059e-14,0.00068745416636
769.0,-769.0,-18584.0,-1e+200,-1e+200,-1e+200,-1e+200,346904.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1594670083.95,1425346.84037,1594987426.97,1595979470.58,1592726011.27,1592998182.2,1595897705.46,4.0,2031613615350.0,0.0555452464898,101,0.111109883317,0.0553064275037,2.96137538059e-14,0.000341330578001
769.0,-769.0,-16788.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1530377259.7,6132836.47469,1530334025.21,1536773362.18,1524067626.2,1524406558.41,1536408489.28,4.0,37611683225200.0,0.111121420177,2,0.0555540608495,0.0553064275037,2.96137538059e-14,0.000341420190004
769.0,-620.0,-14991.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1489621346.97,10372473.0468,1493136258.59,1497323692.93,1474889177.78,1477132235.89,1497189581.8,4.0,107588197107000.0,0.111121420177,23,0.0555540608495,0.111360239163,2.96137538059e-14,0.00068745416636
769.0,-695.0,-16788.0,-1e+200,-1e+200,-1e+200,-1e+200,346904.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1487266459.39,504461.087821,1487383873.72,1487726918.42,1486571171.69,1486671751.86,1487696786.84,4.0,254480989126.0,0.111121420177,112,0.111109883317,0.111360239163,2.96137538059e-14,0.00137493013187
769.0,-769.0,-18584.0,-1e+200,-1e+200,-1e+200,-1e+200,693809.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1456331413.24,879478.800756,1456292592.02,1457390222.15,1455350246.76,1455440326.77,1457276849.41,4.0,773482960980.0,0.0555452464898,201,0.111111484788,0.0553064275037,2.96137538059e-14,0.000341335497734
769.0,-769.0,-16788.0,-1e+200,-1e+200,-1e+200,-1e+200,346904.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1434729041.74,6245442.15497,1435801126.34,1440495472.88,1426818441.4,1427704870.61,1440252294.43,4.0,39005547711000.0,0.111121420177,102,0.111109883317,0.0553064275037,2.96137538059e-14,0.000682851206435
769.0,-695.0,-14991.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1417919759.87,6667654.32796,1418070674.04,1425903692.09,1409633999.32,1410797198.16,1424831041.74,4.0,44457614237100.0,0.111121420177,13,0.0555540608495,0.111360239163,2.96137538059e-14,0.00068745416636
769.0,-546.0,-13195.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1391235410.04,11734314.4356,1396045950.13,1398790976.16,1374058763.75,1376950509.78,1398785554.18,4.0,137694135274000.0,0.11109049298,34,0.0555540608495,0.110612855007,2.96137538059e-14,0.000682650332589
769.0,-620.0,-14991.0,-1e+200,-1e+200,-1e+200,-1e+200,346904.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1369939419.73,8361195.99053,1366641530.35,1382295944.59,1364178673.64,1364394151.26,1380101733.33,4.0,69909598392100.0,0.111121420177,123,0.111109883317,0.111360239163,2.96137538059e-14,0.00137493013187
769.0,-695.0,-16788.0,-1e+200,-1e+200,-1e+200,-1e+200,693809.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1346232468.63,5901602.7687,1348384510.92,1350547867.31,1337612985.39,1339067646.88,1350384431.18,4.0,34828915239500.0,0.111121420177,212,0.111111484788,0.111360239163,2.96137538059e-14,0.00137494994929
769.0,-769.0,-14991.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1345967601.84,4956317.85789,1347780730.25,1349483273.33,1338825673.52,1339963445.59,1349433378.31,4.0,24565086708400.0,0.111121420177,3,0.0555540608495,0.0553064275037,2.96137538059e-14,0.000341420190004
769.0,-695.0,-14991.0,-1e+200,-1e+200,-1e+200,-1e+200,346904.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1328016587.66,6262276.7519,1329608448.02,1333017161.49,1319832293.1,1320817407.08,1332987163.72,4.0,39216110117400.0,0.111121420177,113,0.111109883317,0.111360239163,2.96137538059e-14,0.00137493013187
769.0,-769.0,-18584.0,-1e+200,-1e+200,-1e+200,-1e+200,1040713.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1318457467.92,511850.639998,1318332356.22,1319173712.16,1317991447.08,1318025986.19,1319064106.02,4.0,261991077666.0,0.0555452464898,301,0.111111484788,0.0553064275037,2.96137538059e-14,0.000341335497734
769.0,-620.0,-13195.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1313253892.85,10911264.3392,1313516018.42,1323436484.35,1302547050.22,1302943209.72,1323197600.2,4.0,119055689479000.0,0.11109049298,24,0.0555540608495,0.111360239163,2.96137538059e-14,0.000687262834836
769.0,-769.0,-16788.0,-1e+200,-1e+200,-1e+200,-1e+200,693809.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1294861700.03,9794572.06071,1297953586.16,1302274470.48,1281265157.31,1283198557.18,1302196202.28,4.0,95933641852500.0,0.111121420177,202,0.111111484788,0.0553064275037,2.96137538059e-14,0.00068286104864
769.0,-472.0,-11399.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1290531752.69,3565025.6249,1291630231.93,1293466492.11,1285400054.78,1286241636.35,1293283998.09,4.0,12709407706200.0,0.111121420177,45,0.0555540608495,0.111360239163,2.96137538059e-14,0.00068745416636
