npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight,ProbabilityWeight-ft_capacity,ProbabilityWeight-htse_capacity,PointProbability,ProbabilityWeight-h2_storage_capacity
1280.0,-985.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1848415.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1733703344.68,2178936.6883,1733703344.68,1735244085.59,1732162603.77,1732316677.86,1735090011.5,2.0,4747765091600.0,56,0.00781249049015,0.25,0.125,8.40946932138e-15,0.249999695685
1280.0,-585.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1848415.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1732387396.53,23329593.3548,1732387396.53,1748883910.19,1715890882.86,1717540534.23,1747234258.82,2.0,544269926103000.0,83,0.0156249809803,0.25,0.25,8.40946932138e-15,0.249999695685
1280.0,-985.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1681242567.91,127346354.761,1681242567.91,1771290038.93,1591195096.9,1600199844.0,1762285291.82,2.0,1.6217094071e+16,101,0.00195311681096,0.125,0.125,8.40946932138e-15,0.124999475902
1280.0,-785.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1848415.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1616611021.87,13558824.4506,1616611021.87,1626198558.58,1607023485.16,1607982238.83,1625239804.91,2.0,183841720483000.0,82,0.0156249809803,0.25,0.25,8.40946932138e-15,0.249999695685
1280.0,-385.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1848415.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1570589885.46,71544525.1956,1570589885.46,1621179504.39,1520000266.54,1525059228.43,1616120542.49,2.0,5118619085460000.0,109,0.00781249049015,0.125,0.25,8.40946932138e-15,0.249999695685
1280.0,-985.0,-24756.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3696831.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1544680605.68,13020141.5828,1544680605.68,1553887236.09,1535473975.28,1536394638.32,1552966573.05,2.0,169524086837000.0,11,0.00390625581157,0.125,0.125,8.40946932138e-15,0.250000371941
1280.0,-985.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1848415.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1484874579.49,4706493.91559,1484874579.49,1488202573.26,1481546585.73,1481879385.1,1487869773.88,2.0,22151084977400.0,81,0.00781249049015,0.25,0.125,8.40946932138e-15,0.249999695685
1280.0,-785.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3696831.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1407567023.1,44631249.9984,1407567023.1,1439126082.62,1376007963.57,1379163869.52,1435970176.67,2.0,1991948476420000.0,37,0.0156250232463,0.25,0.25,8.40946932138e-15,0.250000371941
1280.0,-585.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1848415.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1386520496.87,36764791.1427,1386520496.87,1412517130.0,1360523863.75,1363123527.06,1409917466.69,2.0,1351649867770000.0,108,0.00781249049015,0.125,0.25,8.40946932138e-15,0.249999695685
1280.0,-985.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3696831.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1316463886.68,20506489.9487,1316463886.68,1330964164.78,1301963608.58,1303413636.39,1329514136.97,2.0,420516130015000.0,36,0.00781251162315,0.25,0.125,8.40946932138e-15,0.250000371941
