smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,PointProbability,ProbabilityWeight-htse_capacity,ProbabilityWeight-ft_capacity
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,603650264.013,3442698.54844,603770886.614,607535037.56,599524245.264,599965322.745,607166333.64,4.0,11852173295400.0,57,0.0155975623434,0.249996693157,1.7334191682000001e-13,0.249546279492,0.250018051845
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,594336621.647,2623366.6181,594305392.055,597011680.472,591724022.008,591837449.98,596879514.744,4.0,6882052412970.0,46,0.00391368407525,0.125001984106,1.7334191682000001e-13,0.125226860254,0.250018051845
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,572760787.764,4236311.35936,572450973.995,578224071.812,567917131.257,568535492.947,577419821.86,4.0,17946333933500.0,79,0.00782578236135,0.124994709051,1.7334191682000001e-13,0.250453720508,0.249981948155
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,552440003.637,3298622.16074,551407287.956,557184154.276,549761284.36,549911716.188,556414093.04,4.0,10880908159300.0,68,0.0155979749784,0.250003306843,1.7334191682000001e-13,0.249546279492,0.250018051845
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,521588712.761,2311409.60654,521977283.358,523745168.932,518655115.399,518986759.198,523646667.49,4.0,5342614369200.0,62,0.0155979749784,0.250003306843,1.7334191682000001e-13,0.249546279492,0.250018051845
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,490987200.911,2724331.98816,490334618.052,494558481.566,488721085.974,488763979.751,494124038.074,4.0,7421984781710.0,84,0.015652020206,0.249996693157,1.7334191682000001e-13,0.250453720508,0.249981948155
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,472979568.248,1462508.20286,472886358.525,474675817.851,471469738.091,471563998.952,474525631.156,4.0,2138930243430.0,73,0.00779900812097,0.125001984106,1.7334191682000001e-13,0.249546279492,0.250018051845
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,469395689.5,1271245.00879,469642556.186,470666098.481,467631547.146,467931823.438,470513942.2,4.0,1616063872360.0,56,0.00782714037597,0.249996693157,1.7334191682000001e-13,0.125226860254,0.250018051845
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,443010131.778,2597329.18712,443091409.747,445422492.153,440435215.465,440537884.546,445368589.854,4.0,6746118906280.0,51,0.00391345630072,0.124994709051,1.7334191682000001e-13,0.125226860254,0.250018051845
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,441879598.217,4262557.48442,441770244.326,446615187.622,437362716.594,437661723.171,446250568.71,4.0,18169396308000.0,67,0.0155979749784,0.250003306843,1.7334191682000001e-13,0.249546279492,0.250018051845
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,409245041.7,1444621.50014,409643758.047,410523278.479,407169372.226,407538039.561,410393840.953,4.0,2086931278670.0,89,0.0156524342817,0.250003306843,1.7334191682000001e-13,0.250453720508,0.249981948155
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,396184024.128,3672116.38117,395547311.162,400950988.875,392690485.311,392888727.603,400370718.804,4.0,13484438716800.0,78,0.00779742807743,0.124994709051,1.7334191682000001e-13,0.249546279492,0.249981948155
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,387266700.473,1927605.77727,387424015.262,389386284.934,384832486.433,385133786.219,389179374.022,4.0,3715664032580.0,61,0.00782734744372,0.250003306843,1.7334191682000001e-13,0.125226860254,0.250018051845
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,374252830.376,5617284.0651,376380279.062,378279195.047,365971568.333,367436907.087,378090325.504,4.0,31553880268000.0,83,0.0155953099878,0.249996693157,1.7334191682000001e-13,0.249546279492,0.249981948155
