npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,ProbabilityWeight-meoh_capacity,ProbabilityWeight,PointProbability,ProbabilityWeight-h2_storage_capacity,prefix
769.0,-769.0,-18905.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,2192183575.36,22503.8845199,2192183575.36,2192199488.01,2192167662.71,2192169253.97,2192197896.74,2.0,506424818.485,0.125210084034,0.125008550516,0.00195638614221,2.85069050095e-13,0.12499008153,1
769.0,-769.0,-18905.0,-1e+200,-1e+200,-1e+200,-1e+200,100824.0,1e+200,-1e+200,ref,cooper,nebraska,covid,2152216464.51,159750.629858,2152216464.51,2152329425.26,2152103503.76,2152114799.83,2152318129.19,2.0,25520263740.0,0.125210084034,0.125008550516,0.00391298574928,2.85069050095e-13,0.249993800956,26
769.0,-769.0,-18905.0,-1e+200,-1e+200,-1e+200,-1e+200,201649.0,1e+200,-1e+200,ref,cooper,nebraska,covid,2108078603.3,51351.2156013,2108078603.3,2108114914.09,2108042292.51,2108045923.59,2108111283.01,2.0,2636947343.73,0.125210084034,0.125008550516,0.00391317980826,2.85069050095e-13,0.250006199044,51
769.0,-769.0,-18905.0,-1e+200,-1e+200,-1e+200,-1e+200,302473.0,1e+200,-1e+200,ref,cooper,nebraska,covid,2063985946.96,43401.4439342,2063985946.96,2064016636.42,2063955257.51,2063958326.45,2064013567.47,2.0,1883685335.57,0.125210084034,0.125008550516,0.00391317980826,2.85069050095e-13,0.250006199044,76
769.0,-769.0,-18905.0,-1e+200,-1e+200,-1e+200,-1e+200,403298.0,1e+200,-1e+200,ref,cooper,nebraska,covid,2019771400.93,83125.6502352,2019771400.93,2019830179.64,2019712622.22,2019718500.09,2019824301.77,2.0,6909873727.02,0.125210084034,0.125008550516,0.00195659960708,2.85069050095e-13,0.125003719426,101
769.0,-620.0,-15250.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1880628629.84,2743268.75437,1880628629.84,1882568413.78,1878688845.9,1878882824.3,1882374435.39,2.0,7525523458720.0,0.249579831933,0.250017101033,0.00779928435215,2.85069050095e-13,0.12499008153,7
769.0,-620.0,-15250.0,-1e+200,-1e+200,-1e+200,-1e+200,100824.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1840537133.03,365496.122077,1840537133.03,1840795577.82,1840278688.25,1840304532.72,1840769733.34,2.0,133587415254.0,0.249579831933,0.250017101033,0.0155994196985,2.85069050095e-13,0.249993800956,32
769.0,-620.0,-15250.0,-1e+200,-1e+200,-1e+200,-1e+200,201649.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1790590003.46,4059964.95743,1790590003.46,1793460832.21,1787719174.7,1788006257.58,1793173749.33,2.0,16483315455600.0,0.249579831933,0.250017101033,0.0156001933296,2.85069050095e-13,0.250006199044,57
769.0,-620.0,-15250.0,-1e+200,-1e+200,-1e+200,-1e+200,302473.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1755252078.04,3012582.65288,1755252078.04,1757382295.66,1753121860.41,1753334882.18,1757169273.9,2.0,9075654240420.0,0.249579831933,0.250017101033,0.0156001933296,2.85069050095e-13,0.250006199044,82
769.0,-769.0,-15250.0,-1e+200,-1e+200,-1e+200,-1e+200,100824.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1751299947.53,2003446.73299,1751299947.53,1752716598.3,1749883296.76,1750024961.83,1752574933.22,2.0,4013798811940.0,0.125210084034,0.250017101033,0.00782597149857,2.85069050095e-13,0.249993800956,27
769.0,-769.0,-15250.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1723619007.1,8485084.71054,1723619007.1,1729618868.04,1717619146.16,1718219132.26,1729018881.95,2.0,71996662545100.0,0.125210084034,0.250017101033,0.00391277228441,2.85069050095e-13,0.12499008153,2
769.0,-620.0,-15250.0,-1e+200,-1e+200,-1e+200,-1e+200,403298.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1712904400.54,293323.731874,1712904400.54,1713111811.74,1712696989.34,1712717730.46,1713091070.62,2.0,86038811680.5,0.249579831933,0.250017101033,0.00780013534634,2.85069050095e-13,0.125003719426,107
769.0,-769.0,-15250.0,-1e+200,-1e+200,-1e+200,-1e+200,201649.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1706402704.82,1500467.787,1706402704.82,1707463695.76,1705341713.87,1705447812.96,1707357596.67,2.0,2251403579820.0,0.125210084034,0.250017101033,0.00782635961652,2.85069050095e-13,0.250006199044,52
769.0,-769.0,-15250.0,-1e+200,-1e+200,-1e+200,-1e+200,302473.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1656846744.74,7450863.04106,1656846744.74,1662115300.52,1651578188.96,1652105044.53,1661588444.94,2.0,55515360056600.0,0.125210084034,0.250017101033,0.00782635961652,2.85069050095e-13,0.250006199044,77
769.0,-769.0,-15250.0,-1e+200,-1e+200,-1e+200,-1e+200,403298.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1614225990.19,1530522.89526,1614225990.19,1615308233.31,1613143747.08,1613251971.39,1615200009.0,2.0,2342500332910.0,0.125210084034,0.250017101033,0.00391319921416,2.85069050095e-13,0.125003719426,102
769.0,-472.0,-11595.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1567637849.92,14585661.0419,1567637849.92,1577951469.75,1557324230.09,1558355592.07,1576920107.77,2.0,212741508029000.0,0.249579831933,0.250017101033,0.00779928435215,2.85069050095e-13,0.12499008153,13
769.0,-472.0,-11595.0,-1e+200,-1e+200,-1e+200,-1e+200,100824.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1540800278.26,5029631.01251,1540800278.26,1544356764.46,1537243792.06,1537599440.68,1544001115.84,2.0,25297188122000.0,0.249579831933,0.250017101033,0.0155994196985,2.85069050095e-13,0.249993800956,38
769.0,-472.0,-11595.0,-1e+200,-1e+200,-1e+200,-1e+200,201649.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1495428329.63,698915.317762,1495428329.63,1495922537.39,1494934121.87,1494983542.64,1495873116.61,2.0,488482621402.0,0.249579831933,0.250017101033,0.0156001933296,2.85069050095e-13,0.250006199044,63
769.0,-472.0,-11595.0,-1e+200,-1e+200,-1e+200,-1e+200,302473.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1447593686.39,7003061.17583,1447593686.39,1452545598.44,1442641774.34,1443136965.55,1452050407.23,2.0,49042865832400.0,0.249579831933,0.250017101033,0.0156001933296,2.85069050095e-13,0.250006199044,88
769.0,-620.0,-11595.0,-1e+200,-1e+200,-1e+200,-1e+200,100824.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1427403355.68,20295008.5658,1427403355.68,1441754093.86,1413052617.5,1414487691.32,1440319020.05,2.0,411887372687000.0,0.249579831933,0.250017101033,0.0155994196985,2.85069050095e-13,0.249993800956,33
769.0,-620.0,-11595.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1418567177.24,6057821.29168,1418567177.24,1422850703.76,1414283650.73,1414712003.38,1422422351.11,2.0,36697198801900.0,0.249579831933,0.250017101033,0.00779928435215,2.85069050095e-13,0.12499008153,8
769.0,-472.0,-11595.0,-1e+200,-1e+200,-1e+200,-1e+200,403298.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1408407261.99,4613718.75421,1408407261.99,1411669653.81,1405144870.17,1405471109.35,1411343414.62,2.0,21286400743000.0,0.249579831933,0.250017101033,0.00780013534634,2.85069050095e-13,0.125003719426,113
769.0,-620.0,-11595.0,-1e+200,-1e+200,-1e+200,-1e+200,201649.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1385603950.8,907018.750318,1385603950.8,1386245309.9,1384962591.69,1385026727.6,1386181173.99,2.0,822683013429.0,0.249579831933,0.250017101033,0.0156001933296,2.85069050095e-13,0.250006199044,58
