smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,prefix,ProbabilityWeight-meoh_capacity,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,517037453.0,71813415.6969,517037453.0,567817206.219,466257699.781,471335675.102,562739230.897,2.0,5157166674050000.0,2.6175466018599997e-14,25,0.125018050542,0.00195694051577,0.124999250922,0.125226860254
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,494031405.962,11657023.596,494031405.962,502274166.395,485788645.528,486612921.572,501449890.351,2.0,135886199117000.0,2.6175466018599997e-14,2,0.25,0.00391331593177,0.124999250922,0.125226860254
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,491810071.177,33651319.6702,491810071.177,515605147.512,468014994.842,470394502.476,513225639.878,2.0,1132411315550000.0,2.6175466018599997e-14,19,0.25,0.00779827450171,0.124999250922,0.249546279492
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,408207697.597,36846009.1425,408207697.597,434261760.521,382153634.673,384759040.965,431656354.229,2.0,1357628389730000.0,2.6175466018599997e-14,8,0.249963898917,0.00782550166399,0.124999250922,0.250453720508
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,329350261.337,729699.97894,329350261.337,329866237.141,328834285.534,328885883.114,329814639.56,2.0,532462059266.0,2.6175466018599997e-14,14,0.25,0.00779827450171,0.124999250922,0.249546279492
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,317150077.701,59706076.9121,317150077.701,359368649.563,274931505.838,279153363.024,355146792.377,2.0,3564815620240000.0,2.6175466018599997e-14,20,0.125018050542,0.00389970030317,0.124999250922,0.249546279492
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,251924247.055,15558817.969,251924247.055,262925992.749,240922501.362,242022675.932,261825818.179,2.0,242076816594000.0,2.6175466018599997e-14,3,0.249963898917,0.00391275083199,0.124999250922,0.125226860254
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,237106141.778,3743425.09992,237106141.778,239753143.051,234459140.505,234723840.632,239488442.924,2.0,14013231478700.0,2.6175466018599997e-14,26,0.125018050542,0.00391389666791,0.249999500615,0.125226860254
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,168705468.705,33037191.2574,168705468.705,192066290.674,145344646.735,147680728.932,189730208.477,2.0,1091456006180000.0,2.6175466018599997e-14,9,0.25,0.00782663186354,0.124999250922,0.250453720508
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,162067899.798,16240904.6292,162067899.798,173551953.594,150583846.002,151732251.382,172403548.215,2.0,263766983176000.0,2.6175466018599997e-14,32,0.25,0.0156533262635,0.249999500615,0.250453720508
