smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,prefix,ProbabilityWeight-htse_capacity,PointProbability,ProbabilityWeight,ProbabilityWeight-meoh_capacity
720.0,-667.0,-12310.1,-1e+200,-1e+200,-1e+200,-1e+200,804562.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,117401327.211,9307270.65477,117401327.211,123982561.406,110820093.017,111478216.437,123324437.986,2.0,86625287041100.0,0.142856483352,67,0.0714516129032,1.83809210519e-14,0.00145818944988,0.142857142857
720.0,-47.0,-1181.1,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,83406301.8977,27112931.9565,83406301.8977,102578039.942,64234563.8534,66151737.6578,100660866.137,2.0,735111079276000.0,0.0714277977778,64,0.0714516129032,0.0,0.000364545096954,0.0714285714286
720.0,-401.3,-10084.3,-1e+200,-1e+200,-1e+200,-1e+200,804562.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,73869032.4105,18925063.3547,73869032.4105,87251073.043,60486991.778,61825195.8413,85912868.9798,2.0,358158022981000.0,0.142856483352,92,0.142903225806,1.83809210519e-14,0.00291637889976,0.142857142857
720.0,-667.0,-16761.7,-1e+200,-1e+200,-1e+200,-1e+200,1609124.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,62737201.7084,2480692.71657,62737201.7084,64491316.3504,60983087.0665,61158498.5307,64315904.8862,2.0,6153836354030.0,0.142857371148,129,0.0714516129032,1.83809210519e-14,0.000729099255972,0.0714285714286
720.0,-489.9,-10084.3,-1e+200,-1e+200,-1e+200,-1e+200,804562.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,46810517.3894,25595004.7663,46810517.3894,64908918.8241,28712115.9546,30521956.0981,63099078.6806,2.0,655104268985000.0,0.142856483352,84,0.142822580645,1.83809210519e-14,0.00291473308774,0.142857142857
720.0,-224.1,-3406.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,39178501.6474,19665915.0393,39178501.6474,53084403.5299,25272599.7649,26663189.9532,51693813.3417,2.0,386748214331000.0,0.0714277977778,47,0.142822580645,1.83809210519e-14,0.00145735748692,0.142857142857
720.0,-578.4,-7858.5,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,28314838.6203,27664515.7066,28314838.6203,47876605.2747,8753071.96593,10709248.6314,45920428.6093,2.0,765325429282000.0,0.0714277977778,13,0.142822580645,1.83809210519e-14,0.00145735748692,0.142857142857
720.0,-401.3,-5632.7,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1652260.18529,23218619.3156,-1652260.18529,14765782.9826,-18070303.3531,-16428499.0364,13123978.6658,2.0,539104282923000.0,0.0714277977778,30,0.142903225806,1.83809210519e-14,0.00145818038782,0.142857142857
720.0,-578.4,-10084.3,-1e+200,-1e+200,-1e+200,-1e+200,804562.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-17680056.5642,9322059.76427,-17680056.5642,-11088364.8903,-24271748.2382,-23612579.0708,-11747534.0577,2.0,86900798248700.0,0.142856483352,76,0.142822580645,1.83809210519e-14,0.00291473308774,0.142857142857
720.0,-135.6,-1181.1,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-38693205.526,25558800.0127,-38693205.526,-20620404.718,-56766006.334,-54958726.2532,-22427684.7988,2.0,653252258089000.0,0.0714277977778,56,0.142822580645,0.0,0.000728678743459,0.0714285714286
720.0,-401.3,-7858.5,-1e+200,-1e+200,-1e+200,-1e+200,804562.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-70528459.3293,20675747.3165,-70528459.3293,-55908498.1957,-85148420.4629,-83686424.3495,-57370494.3091,2.0,427486527094000.0,0.142856483352,93,0.142903225806,1.83809210519e-14,0.00291637889976,0.142857142857
720.0,-667.0,-7858.5,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-72701161.5528,5799990.95911,-72701161.5528,-68599948.6148,-76802374.4908,-76392253.197,-69010069.9086,2.0,33639895125700.0,0.0714277977778,5,0.0714516129032,1.83809210519e-14,0.000729090193908,0.142857142857
