smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,co2_location_label,fuel_region_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,PointProbability,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,prefix,ProbabilityWeight-ft_capacity
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,797628754.471,28942.8505347,797628754.471,797649220.156,797608288.785,797610335.353,797647173.588,2.0,837688597.073,0.000343451661238,1.21719856843e-13,0.11110627741,0.0556451612903,11,0.0555519897304
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,759124487.436,23356.9272511,759124487.436,759141003.277,759107971.594,759109623.178,759139351.693,2.0,545546050.612,0.000343471651123,1.21719856843e-13,0.111112744118,0.0556451612903,21,0.0555519897304
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,720503130.665,56650.181051,720503130.665,720543188.392,720463072.938,720467078.711,720539182.62,2.0,3209243013.11,0.000343471651123,1.21719856843e-13,0.111112744118,0.0556451612903,31,0.0555519897304
720.0,-636.0,-15988.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,683385108.682,447914.210822,683385108.682,683701831.858,683068385.506,683100057.824,683670159.54,2.0,200627140256.0,0.00137380664495,1.21719856843e-13,0.11110627741,0.111290322581,112,0.111103979461
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,682102175.493,57790.2554069,682102175.493,682143039.375,682061311.612,682065398.0,682138952.986,2.0,3339713620.0,0.00034346983386,1.21719856843e-13,0.111112156236,0.0556451612903,41,0.0555519897304
720.0,-636.0,-15988.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,645394108.394,616571.152661,645394108.394,645830090.037,644958126.751,645001724.915,645786491.873,2.0,380159986293.0,0.00137388660449,1.21719856843e-13,0.111112744118,0.111290322581,122,0.111103979461
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,472511.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,643389612.563,51412.2815934,643389612.563,643425966.536,643353258.59,643356893.987,643422331.139,2.0,2643222698.64,0.00034346983386,1.21719856843e-13,0.111112156236,0.0556451612903,51,0.0555519897304
720.0,-705.0,-15988.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,642771388.301,529458.115014,642771388.301,643145771.724,642397004.877,642434443.219,643108333.382,2.0,280325895554.0,0.000343433488615,1.21719856843e-13,0.0555501992922,0.0556451612903,101,0.111103979461
720.0,-705.0,-15988.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,640181059.27,442948.628211,640181059.27,640494271.248,639867847.291,639899168.489,640462950.051,2.0,196203487234.0,0.000686903322476,1.21719856843e-13,0.11110627741,0.0556451612903,111,0.111103979461
720.0,-636.0,-15988.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,606515425.468,100737.154316,606515425.468,606586657.393,606444193.543,606451316.736,606579534.2,2.0,10147974259.7,0.00137388660449,1.21719856843e-13,0.111112744118,0.111290322581,132,0.111103979461
