smr_capacity,electricity_market_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,prefix,ProbabilityWeight-smr_capacity,PointProbability
1200.0,-1e+200,ref,south_texas_project,west_south_central,covid,660391622.651,65498779.0924,672017668.142,782092094.827,580328070.998,580519771.682,755584830.598,10.0,4290090062590000.0,0.125,5,0.125,0.00104166666667
960.0,-1e+200,ref,south_texas_project,west_south_central,covid,606103907.771,62437591.6628,608686185.865,689970251.821,476956756.237,517920051.465,676229211.846,10.0,3898452852650000.0,0.25,4,0.25,0.00104166666667
720.0,-1e+200,ref,south_texas_project,west_south_central,covid,405241817.245,47691027.8002,390656819.005,491599283.014,335321187.577,350913437.714,483393941.102,10.0,2274434132640000.0,0.25,3,0.25,0.00104166666667
480.0,-1e+200,ref,south_texas_project,west_south_central,covid,288598141.526,35223022.9667,279466753.483,343895430.788,239315913.971,241612462.76,341647462.468,10.0,1240661346910000.0,0.25,2,0.25,0.00104166666667
240.0,-1e+200,ref,south_texas_project,west_south_central,covid,136229885.397,15702222.4556,133886363.236,162226119.777,110570008.108,116942399.548,157708874.104,10.0,246559790045000.0,0.125,1,0.125,0.00104166666667
