smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-meoh_capacity,ProbabilityWeight,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,prefix,PointProbability
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,206721940.722,104251.742028,206721940.722,206795657.836,206648223.608,206655595.32,206788286.124,2.0,10868425715.9,0.249963898917,0.0155946083013,0.249546279492,0.250003495741,88,1.83230531396e-13
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,181878175.287,1647639.12399,181878175.287,183043232.085,180713118.49,180829624.17,182926726.405,2.0,2714714682890.0,0.249963898917,0.0156513159678,0.250453720508,0.250003495741,58,1.83230531396e-13
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,172147044.201,4629250.06782,172147044.201,175420418.316,168873670.086,169201007.498,175093080.904,2.0,21429956190400.0,0.25,0.00779801591193,0.249546279492,0.124995105963,19,1.83230531396e-13
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,151282779.712,686409.006105,151282779.712,151768144.175,150797415.249,150845951.696,151719607.729,2.0,471157323663.0,0.249963898917,0.00779728234506,0.249546279492,0.125001398296,113,1.83230531396e-13
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,134184059.651,2858618.96045,134184059.651,136205408.503,132162710.799,132364845.684,136003273.617,2.0,8171702361050.0,0.249963898917,0.0078254391352,0.125226860254,0.249996504259,28,1.83230531396e-13
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,124408221.191,2009664.12249,124408221.191,125829268.32,122987174.062,123129278.775,125687163.607,2.0,4038749885230.0,0.249963898917,0.0156513159678,0.250453720508,0.250003495741,83,1.83230531396e-13
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,121190946.538,5408053.01908,121190946.538,125015017.5,117366875.575,117749282.671,124632610.404,2.0,29247037457200.0,0.25,0.015596424381,0.249546279492,0.249996504259,44,1.83230531396e-13
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,83175857.8993,2686018.81687,83175857.8993,85075160.0191,81276555.7795,81466485.9914,84885229.8071,2.0,7214697084590.0,0.249963898917,0.00391262108568,0.125226860254,0.124995105963,3,1.83230531396e-13
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,76733591.1637,3122399.88161,76733591.1637,78941461.2935,74525721.0338,74746508.0468,78720674.2805,2.0,9749381020660.0,0.249963898917,0.00782565798392,0.125226860254,0.250003495741,53,1.83230531396e-13
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,70514404.1302,1223107.89677,70514404.1302,71379272.0181,69649536.2422,69736023.031,71292785.2293,2.0,1495992927150.0,0.249963898917,0.00782563609905,0.250453720508,0.125001398296,108,1.83230531396e-13
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,61196822.4182,5195157.55492,61196822.4182,64870353.5547,57523291.2818,57890644.3955,64503000.441,2.0,26989662020500.0,0.25,0.0155968605555,0.249546279492,0.250003495741,69,1.83230531396e-13
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,28973571.9531,3102550.53988,28973571.9531,31167406.4788,26779737.4274,26999120.88,30948023.0263,2.0,9625819852490.0,0.25,0.015596424381,0.249546279492,0.249996504259,39,1.83230531396e-13
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,26755446.5259,639184.963558,26755446.5259,27207418.5481,26303474.5038,26348671.706,27162221.3459,2.0,408557417639.0,0.25,0.00779801591193,0.249546279492,0.124995105963,14,1.83230531396e-13
