smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight,ProbabilityWeight-meoh_capacity,PointProbability
720.0,-578.4,-10084.3,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2182616473.72,20544142.6233,-2182616473.72,-2168089571.15,-2197143376.28,-2195690686.02,-2169542261.41,2.0,422061796125000.0,12,0.142822580645,0.0714270494897,0.00145734221943,0.142857142857,3.6761913905299995e-14
720.0,-578.4,-12310.1,-1e+200,-1e+200,-1e+200,-1e+200,804562.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2214169510.14,1409346.4793,-2214169510.14,-2213172951.69,-2215166068.59,-2215066412.75,-2213272607.53,2.0,1986257498720.0,139,0.142822580645,0.14285765017,0.0029147568946,0.142857142857,3.6761913905299995e-14
720.0,-489.9,-10084.3,-1e+200,-1e+200,-1e+200,-1e+200,402281.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2218010938.27,5727523.60111,-2218010938.27,-2213960967.5,-2222060909.05,-2221655911.97,-2214365964.57,2.0,32804526601300.0,84,0.142822580645,0.142855874575,0.00291472066673,0.142857142857,3.6761913905299995e-14
720.0,-578.4,-10084.3,-1e+200,-1e+200,-1e+200,-1e+200,402281.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2274148442.88,106521.09049,-2274148442.88,-2274073121.1,-2274223764.67,-2274216232.49,-2274080653.28,2.0,11346742719.3,76,0.142822580645,0.142855874575,0.00291472066673,0.142857142857,3.6761913905299995e-14
720.0,-667.0,-12310.1,-1e+200,-1e+200,-1e+200,-1e+200,804562.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2276787920.97,8955123.37497,-2276787920.97,-2270455692.5,-2283120149.43,-2282486926.59,-2271088915.35,2.0,80194234660800.0,131,0.0714516129032,0.14285765017,0.00145820136003,0.142857142857,3.6761913905299995e-14
720.0,-401.3,-7858.5,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2277608880.6,49552978.8599,-2277608880.6,-2242569633.22,-2312648127.98,-2309144203.24,-2246073557.96,2.0,2455497713890000.0,29,0.142903225806,0.0714270494897,0.0014581651117,0.142857142857,3.6761913905299995e-14
720.0,-667.0,-10084.3,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2284347102.8,6938149.72862,-2284347102.8,-2279441090.07,-2289253115.52,-2288762514.25,-2279931691.35,2.0,48137921656700.0,4,0.0714516129032,0.0714270494897,0.000729082555852,0.142857142857,3.6761913905299995e-14
720.0,-401.3,-10084.3,-1e+200,-1e+200,-1e+200,-1e+200,804562.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2340539061.8,11478827.8796,-2340539061.8,-2332422304.76,-2348655818.83,-2347844143.13,-2333233980.47,2.0,131763489490000.0,156,0.142903225806,0.14285765017,0.00291640272006,0.142857142857,3.6761913905299995e-14
720.0,-489.9,-7858.5,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2367353402.07,13764237.6131,-2367353402.07,-2357620616.32,-2377086187.82,-2376112909.25,-2358593894.89,2.0,189454237069000.0,21,0.142822580645,0.0714270494897,0.00145734221943,0.142857142857,3.6761913905299995e-14
720.0,-667.0,-10084.3,-1e+200,-1e+200,-1e+200,-1e+200,402281.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2384539707.06,17440774.3681,-2384539707.06,-2372207217.23,-2396872196.88,-2395638947.9,-2373440466.22,2.0,304180610560000.0,68,0.0714516129032,0.142855874575,0.00145818323587,0.142857142857,3.6761913905299995e-14
