npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight,ProbabilityWeight-htse_capacity,ProbabilityWeight-ft_capacity,PointProbability,prefix
894.0,-703.0,-4356.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,471291.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,214338318.315,2388906.41419,213585455.25,217751955.038,212430407.723,212515306.227,217215338.695,4.0,5706873855760.0,0.250002387083,0.00781257459634,0.25,0.125,8.47275451554e-14,112
894.0,-526.0,-4356.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,942583.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,191933542.788,1714296.06046,191724876.256,194022106.7,190262311.94,190348617.007,193810601.713,4.0,2938810982920.0,0.125001458773,0.00390629558665,0.25,0.125,8.47275451554e-14,123
894.0,-526.0,-8790.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,175365890.049,4274099.23056,175182216.776,180345506.07,170753620.574,171105659.584,179883263.096,4.0,18267924232700.0,0.124996154144,0.007812259634,0.25,0.25,8.47275451554e-14,78
894.0,-350.0,-8790.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,471291.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,175068490.747,3424163.41801,175355319.943,178883652.333,170679670.766,171265170.713,178470249.904,4.0,11724895113300.0,0.250002387083,0.0156251491927,0.25,0.25,8.47275451554e-14,89
894.0,-879.0,-4356.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,151819812.25,4142550.43652,151279472.953,157273706.276,147446596.816,147870471.982,156525627.533,4.0,17160724119100.0,0.124996154144,0.00194753214672,0.124645892351,0.125,8.47275451554e-14,101
894.0,-526.0,-8790.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,235646.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,142894774.778,2173990.87995,142244608.8,145900312.841,141189568.673,141222671.711,145477110.215,4.0,4726236346100.0,0.249997082454,0.0156248176534,0.25,0.25,8.47275451554e-14,83
894.0,-879.0,-4356.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,235646.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,133503323.523,3680463.85799,132565044.884,138734281.611,130148922.712,130457072.777,137863164.363,4.0,13545814209900.0,0.249997082454,0.00389513867846,0.124645892351,0.125,8.47275451554e-14,106
894.0,-703.0,-4356.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,706937.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,111777316.741,5608882.94672,111451234.444,118436382.198,105770415.877,106229377.908,117781770.789,4.0,31459567910000.0,0.250002917546,0.00781259117331,0.25,0.125,8.47275451554e-14,117
894.0,-350.0,-8790.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,706937.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,82064096.1706,1230833.30269,82063059.3576,83471108.2758,80659157.6912,80788181.38,83341462.4993,4.0,1514950619000.0,0.250002917546,0.0156251823466,0.25,0.25,8.47275451554e-14,94
894.0,-526.0,-8790.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,471291.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,46915522.2141,3211289.25315,47409922.5209,50289011.5538,42553232.261,43260986.7507,49877897.2481,4.0,10312378667400.0,0.250002387083,0.0156251491927,0.25,0.25,8.47275451554e-14,88
