Plant Location,Cumulative amount of CO2 transported (MMT/year),Cumulative average logistics cost of CO2 ($/MT),co2 (kg/year),cost ($/kg)
IA,1.6,18.24236635,1600000,0.018242366
NE,2.37,24.95391821,2370000,0.024953918
