Plant Location,Cumulative amount of CO2 transported (MMT/year),Cumulative average logistics cost of CO2 ($/MT),co2 (kg/year),cost ($/kg)
OH,2.193252,13.13360602,2193252,0.013133606
OH,3.233252,15.9554646,3233252,0.015955465
