smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,PointProbability,ProbabilityWeight,ProbabilityWeight-htse_capacity,prefix,ProbabilityWeight-ft_capacity
720.0,-550.1,-13824.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,579286820.685,11203072.9994,579286820.685,587208589.573,571365051.797,572157228.686,586416412.684,2.0,125508844629000.0,0.124991181658,2.43433201164e-13,0.00781194885362,0.25,27,0.25
720.0,-550.1,-13824.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,106315.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,535256624.477,6663092.35912,535256624.477,539968142.267,530545106.686,531016258.465,539496990.488,2.0,44396799786100.0,0.249994121105,2.43433201164e-13,0.0156246325691,0.25,32,0.25
720.0,-550.1,-13824.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,212630.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,474077613.758,66418.3160728,474077613.758,474124578.599,474030648.916,474035345.4,474119882.115,2.0,4411392709.94,0.250005878895,2.43433201164e-13,0.0156253674309,0.25,37,0.25
720.0,-550.1,-13824.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,318945.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,435204053.883,3535764.49499,435204053.883,437704216.934,432703890.832,432953907.137,437454200.629,2.0,12501630564000.0,0.250005878895,2.43433201164e-13,0.0156253674309,0.25,42,0.25
720.0,-705.1,-13824.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,106315.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,429883290.839,358638.146079,429883290.839,430136886.304,429629695.374,429655054.92,430111526.758,2.0,128621319823.0,0.249994121105,2.43433201164e-13,0.00781231628454,0.125,31,0.25
720.0,-705.1,-13824.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,405868857.114,105562.430903,405868857.114,405943501.024,405794213.203,405801677.594,405936036.633,2.0,11143426818.2,0.124991181658,2.43433201164e-13,0.00390597442681,0.125,26,0.25
720.0,-550.1,-13824.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,425260.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,384072856.406,277823.738015,384072856.406,384269307.455,383876405.356,383896050.461,384249662.35,2.0,77186029404.4,0.125002939447,2.43433201164e-13,0.00781268371546,0.25,47,0.25
720.0,-705.1,-13824.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,212630.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,375034700.849,3966034.91183,375034700.849,377839111.029,372230290.668,372510731.686,377558670.011,2.0,15729432921900.0,0.250005878895,2.43433201164e-13,0.00781268371546,0.125,36,0.25
720.0,-705.1,-13824.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,318945.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,327646769.884,7341960.07488,327646769.884,332838319.64,322455220.128,322974375.104,332319164.665,2.0,53904377741100.0,0.250005878895,2.43433201164e-13,0.00781268371546,0.125,41,0.25
720.0,-705.1,-13824.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,425260.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,274980564.268,3628135.16218,274980564.268,277546043.244,272415085.291,272671633.189,277289495.346,2.0,13163364755000.0,0.125002939447,2.43433201164e-13,0.00390634185773,0.125,46,0.25
720.0,-550.1,-9928.9,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,106315.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,85089363.1542,22574742.3385,85089363.1542,101052116.545,69126609.7631,70722885.1022,99455841.2062,2.0,509618991651000.0,0.249994121105,2.43433201164e-13,0.0156246325691,0.25,57,0.25
