npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-meoh_capacity,ProbabilityWeight-htse_capacity,prefix,PointProbability
1193.0,-1000.0,-24583.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2850201861.78,407894.450009,2850201861.78,2850490286.71,2849913436.85,2849942279.34,2850461444.22,2.0,166377882348.0,0.00195281465415,0.124992849434,0.124987287705,0.125,1,1.21200144652e-13
1193.0,-1000.0,-24583.0,-1e+200,-1e+200,-1e+200,-1e+200,131111.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2800847844.19,294575.593109,2800847844.19,2801056140.59,2800639547.79,2800660377.43,2801035310.95,2.0,86774780055.7,0.00390577826328,0.249995232956,0.124987287705,0.125,26,1.21200144652e-13
1193.0,-1000.0,-24583.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2744746849.46,1023647.50445,2744746849.46,2745470677.55,2744023021.37,2744095404.18,2745398294.74,2.0,1047854213370.0,0.00390592721826,0.250004767044,0.124987287705,0.125,51,1.21200144652e-13
1193.0,-1000.0,-24583.0,-1e+200,-1e+200,-1e+200,-1e+200,393333.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2689109877.98,2912304.0995,2689109877.98,2691169187.96,2687050568.0,2687256499.0,2690963256.96,2.0,8481515167970.0,0.00390592721826,0.250004767044,0.124987287705,0.125,76,1.21200144652e-13
1193.0,-1000.0,-24583.0,-1e+200,-1e+200,-1e+200,-1e+200,524444.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2630219370.71,94313.2906086,2630219370.71,2630286060.28,2630152681.15,2630159350.1,2630279391.32,2.0,8894996785.43,0.00195296360913,0.125002383522,0.124987287705,0.125,101,1.21200144652e-13
1193.0,-800.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2487408427.82,2195819.96514,2487408427.82,2488961107.0,2485855748.63,2486011016.55,2488805839.09,2.0,4821625319300.0,0.00781205308962,0.124992849434,0.25,0.25,7,1.21200144652e-13
1193.0,-800.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,131111.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2437148866.91,2373615.98044,2437148866.91,2438827266.86,2435470466.95,2435638306.95,2438659426.87,2.0,5634052822610.0,0.0156247020597,0.249995232956,0.25,0.25,32,1.21200144652e-13
1193.0,-800.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2380773318.86,4107754.60835,2380773318.86,2383677939.99,2377868697.72,2378159159.83,2383387477.88,2.0,16873647922400.0,0.0156252979403,0.250004767044,0.25,0.25,57,1.21200144652e-13
1193.0,-800.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,393333.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2321066492.69,935505.543821,2321066492.69,2321727995.01,2320404990.38,2320471140.61,2321661844.77,2.0,875170622520.0,0.0156252979403,0.250004767044,0.25,0.25,82,1.21200144652e-13
1193.0,-1000.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,131111.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2293602878.93,2402307.62977,2293602878.93,2295301566.95,2291904190.91,2292074059.72,2295131698.14,2.0,5771081948050.0,0.00781235102987,0.249995232956,0.25,0.125,27,1.21200144652e-13
