smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-ft_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight,ProbabilityWeight-htse_capacity,PointProbability
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1229522669.29,338059.836118,-1229616591.62,-1229066468.5,-1229791025.43,-1229787379.44,-1229126467.88,4.0,114284452796.0,68,0.250018051845,0.250007275152,0.0155982225654,0.249546279492,3.46688419418e-13
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1239933848.05,317091.475952,-1239949118.61,-1239620164.68,-1240216990.3,-1240213948.99,-1239632368.33,4.0,100547004122.0,105,0.124990974078,0.12498974865,0.00195636794902,0.125226860254,3.46688419418e-13
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1240691241.78,431317.822704,-1240577755.82,-1240336930.91,-1241272524.59,-1241196154.62,-1240345209.3,4.0,186035064182.0,36,0.250018051845,0.250007275152,0.00782747168739,0.125226860254,3.46688419418e-13
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1260859915.03,233096.480118,-1260802237.53,-1260671239.5,-1261163945.56,-1261127537.3,-1260673041.25,4.0,54333969043.5,89,0.249981948155,0.250007275152,0.0156526827331,0.250453720508,3.46688419418e-13
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1263221703.62,236311.209234,-1263262617.48,-1262920660.33,-1263440919.21,-1263431110.85,-1262955017.0,4.0,55842987609.8,52,0.250018051845,0.12498974865,0.00779824473773,0.249546279492,3.46688419418e-13
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1271651554.26,229083.537922,-1271587709.88,-1271455170.38,-1271975626.9,-1271925444.27,-1271467046.39,4.0,52479267347.0,73,0.250018051845,0.125002976198,0.00779907001867,0.249546279492,3.46688419418e-13
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1281124182.77,530683.131201,-1281015676.5,-1280677099.87,-1281788278.2,-1281717440.5,-1280682833.81,4.0,281624585741.0,57,0.250018051845,0.249992724848,0.0155973147564,0.249546279492,3.46688419418e-13
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1281728409.65,437607.810758,-1281907906.61,-1281081466.36,-1282016359.02,-1282009934.76,-1281195588.8,4.0,191500596036.0,110,0.124990974078,0.249992724848,0.00391294293863,0.125226860254,3.46688419418e-13
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1282991681.66,288008.22705,-1283102989.24,-1282564709.19,-1283196038.98,-1283182107.37,-1282645425.35,4.0,82948738848.7,41,0.250018051845,0.250007275152,0.00782747168739,0.125226860254,3.46688419418e-13
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1302441618.54,366561.609799,-1302380977.55,-1302071656.05,-1302932863.0,-1302864133.12,-1302104001.34,4.0,134367413779.0,94,0.249981948155,0.250007275152,0.0156526827331,0.250453720508,3.46688419418e-13
