smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,prefix,ProbabilityWeight-htse_capacity,ProbabilityWeight-ft_capacity,PointProbability
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-101572612.878,2383005.00173,-101551515.268,-99184060.2393,-104003360.737,-103882549.918,-99292212.4916,4.0,5678712838290.0,0.00782547179608,0.12498974865,79,0.250453720508,0.249981948155,3.46688419418e-13
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-118541020.341,1886824.36258,-118454254.067,-116684270.303,-120571302.927,-120440364.337,-116763149.128,4.0,3560106175210.0,0.0078270161323,0.249992724848,56,0.125226860254,0.250018051845,3.46688419418e-13
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-125711373.038,1070374.45335,-126221863.423,-124106766.448,-126294998.856,-126286452.194,-124421607.341,4.0,1145701470390.0,0.00779907001867,0.125002976198,72,0.249546279492,0.250018051845,3.46688419418e-13
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-145915028.541,1681290.46681,-145723241.584,-144081598.807,-148132032.19,-147808967.813,-144289591.01,4.0,2826737633790.0,0.0156517717545,0.249992724848,84,0.250453720508,0.249981948155,3.46688419418e-13
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-165240360.748,834072.187183,-165267317.201,-164259854.848,-166166953.742,-166086671.844,-164356310.617,4.0,695676413432.0,0.00782747168739,0.250007275152,61,0.125226860254,0.250018051845,3.46688419418e-13
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-165892677.135,1084168.74038,-165967232.435,-164600187.557,-167036056.112,-166953480.021,-164727496.828,4.0,1175421857610.0,0.00391330099566,0.12498974865,51,0.125226860254,0.250018051845,3.46688419418e-13
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-191952440.791,990872.060811,-191826493.359,-191021610.215,-193135166.233,-193024277.874,-191056930.114,4.0,981827440896.0,0.0156526827331,0.250007275152,89,0.250453720508,0.249981948155,3.46688419418e-13
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-207454364.241,1797599.92833,-208009713.39,-204913669.877,-208884360.306,-208833749.333,-205297490.34,4.0,3231365502340.0,0.00782747168739,0.250007275152,66,0.125226860254,0.250018051845,3.46688419418e-13
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-233049323.808,2492602.46859,-234136802.87,-229327776.846,-234595912.647,-234546058.629,-230030118.301,4.0,6213067066420.0,0.0156526827331,0.250007275152,94,0.250453720508,0.249981948155,3.46688419418e-13
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-249864948.471,2524122.04565,-250195322.866,-246679565.756,-252389582.395,-252223896.75,-247043476.038,4.0,6371192101340.0,0.00391371513664,0.125002976198,71,0.125226860254,0.250018051845,3.46688419418e-13
