npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,PointProbability,ProbabilityWeight,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-meoh_capacity
1193.0,-1000.0,-24583.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2657362885.95,1528113.5406,2657362885.95,2658443425.4,2656282346.5,2656390400.45,2658335371.45,2.0,2335130992960.0,1,1.21200144652e-13,0.00195281465415,0.125,0.124992849434,0.124987287705
1193.0,-1000.0,-24583.0,-1e+200,-1e+200,-1e+200,-1e+200,131111.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2595152373.68,384492.837309,2595152373.68,2595424251.18,2594880496.19,2594907683.94,2595397063.43,2.0,147834741942.0,26,1.21200144652e-13,0.00390577826328,0.125,0.249995232956,0.124987287705
1193.0,-1000.0,-24583.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2525650564.01,1309848.13578,2525650564.01,2526576766.51,2524724361.51,2524816981.76,2526484146.26,2.0,1715702138820.0,51,1.21200144652e-13,0.00390592721826,0.125,0.250004767044,0.124987287705
1193.0,-1000.0,-24583.0,-1e+200,-1e+200,-1e+200,-1e+200,393333.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2455428185.82,503132.215052,2455428185.82,2455783954.02,2455072417.62,2455107994.44,2455748377.2,2.0,253142025823.0,76,1.21200144652e-13,0.00390592721826,0.125,0.250004767044,0.124987287705
1193.0,-800.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2428400941.88,2013258.52488,2428400941.88,2429824530.64,2426977353.13,2427119712.0,2429682171.76,2.0,4053209887980.0,7,1.21200144652e-13,0.00781205308962,0.25,0.124992849434,0.25
1193.0,-1000.0,-24583.0,-1e+200,-1e+200,-1e+200,-1e+200,524444.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2385070711.82,365581.15732,2385070711.82,2385329216.74,2384812206.9,2384838057.4,2385303366.24,2.0,133649582587.0,101,1.21200144652e-13,0.00195296360913,0.125,0.125002383522,0.124987287705
1193.0,-800.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,131111.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2362662377.77,4225702.14652,2362662377.77,2365650400.41,2359674355.13,2359973157.39,2365351598.15,2.0,17856558631100.0,32,1.21200144652e-13,0.0156247020597,0.25,0.249995232956,0.25
1193.0,-800.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2290581479.16,2595648.58638,2290581479.16,2292416879.87,2288746078.44,2288929618.51,2292233339.8,2.0,6737391584000.0,57,1.21200144652e-13,0.0156252979403,0.25,0.250004767044,0.25
1193.0,-800.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,393333.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2220963980.67,1546763.20488,2220963980.67,2222057707.42,2219870253.92,2219979626.59,2221948334.74,2.0,2392476411980.0,82,1.21200144652e-13,0.0156252979403,0.25,0.250004767044,0.25
1193.0,-1000.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,131111.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2207665668.68,2629423.98993,2207665668.68,2209524952.21,2205806385.15,2205992313.5,2209339023.86,2.0,6913870518830.0,27,1.21200144652e-13,0.00781235102987,0.125,0.249995232956,0.25
1193.0,-600.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2198452981.34,2528002.94745,2198452981.34,2200240549.37,2196665413.31,2196844170.12,2200061792.57,2.0,6390798902290.0,13,1.21200144652e-13,0.00781284756262,0.25,0.124992849434,0.250025424591
1193.0,-1000.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2194192899.09,3770552.46616,2194192899.09,2196859082.3,2191526715.87,2191793334.19,2196592463.98,2.0,14217065900100.0,2,1.21200144652e-13,0.00390602654481,0.125,0.124992849434,0.25
1193.0,-800.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,524444.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2148338168.7,996774.51658,2148338168.7,2149042994.72,2147633342.68,2147703825.28,2148972512.12,2.0,993559436903.0,107,1.21200144652e-13,0.00781264897013,0.25,0.125002383522,0.25
1193.0,-600.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,131111.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2141423327.31,4994299.92558,2141423327.31,2144954830.66,2137891823.97,2138244974.3,2144601680.32,2.0,24943031746700.0,38,1.21200144652e-13,0.0156262910664,0.25,0.249995232956,0.250025424591
1193.0,-1000.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2140408489.11,1146638.09943,2140408489.11,2141219284.69,2139597693.53,2139678773.09,2141138205.13,2.0,1314778931070.0,52,1.21200144652e-13,0.00781264897013,0.125,0.250004767044,0.25
1193.0,-600.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2070986154.36,659165.896773,2070986154.36,2071452255.04,2070520053.69,2070566663.75,2071405644.97,2.0,434499679469.0,63,1.21200144652e-13,0.0156268870075,0.25,0.250004767044,0.250025424591
1193.0,-1000.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,393333.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2063844150.21,861989.439399,2063844150.21,2064453668.78,2063234631.63,2063295583.49,2064392716.93,2.0,743025793635.0,77,1.21200144652e-13,0.00781264897013,0.125,0.250004767044,0.25
1193.0,-400.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2004822751.41,16125691.3341,2004822751.41,2016225337.11,1993420165.72,1994560424.29,2015085078.54,2.0,260037921004000.0,19,1.21200144652e-13,0.00781205308962,0.25,0.124992849434,0.25
1193.0,-600.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,393333.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1998808666.36,1652836.1313,1998808666.36,1999977397.99,1997639934.72,1997756807.88,1999860524.83,2.0,2731867276930.0,88,1.21200144652e-13,0.0156268870075,0.25,0.250004767044,0.250025424591
1193.0,-1000.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,524444.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1997713551.21,3850325.54202,1997713551.21,2000436142.51,1994990959.91,1995263219.04,2000163883.38,2.0,14825006779500.0,102,1.21200144652e-13,0.00390632448506,0.125,0.125002383522,0.25
1193.0,-800.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,131111.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1977398039.01,1517078.06977,1977398039.01,1978470775.2,1976325302.82,1976432576.44,1978363501.58,2.0,2301525869780.0,33,1.21200144652e-13,0.0156262910664,0.25,0.249995232956,0.250025424591
1193.0,-800.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1975545134.51,2104286.67246,1975545134.51,1977033089.89,1974057179.14,1974205974.67,1976884294.35,2.0,4428022399900.0,8,1.21200144652e-13,0.00781284756262,0.25,0.124992849434,0.250025424591
1193.0,-400.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,131111.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1942224312.74,22682.3243148,1942224312.74,1942240351.57,1942208273.92,1942209877.8,1942238747.69,2.0,514487836.324,44,1.21200144652e-13,0.0156247020597,0.25,0.249995232956,0.25
1193.0,-600.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,524444.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1929379487.63,6014689.6681,1929379487.63,1933632515.48,1925126459.78,1925551762.56,1933207212.69,2.0,36176491803500.0,113,1.21200144652e-13,0.00781344350374,0.25,0.125002383522,0.250025424591
1193.0,-800.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1905211308.26,10089193.6022,1905211308.26,1912345445.48,1898077171.05,1898790584.77,1911632031.76,2.0,101791827543000.0,58,1.21200144652e-13,0.0156268870075,0.25,0.250004767044,0.250025424591
1193.0,-400.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1866532267.62,5890089.85477,1866532267.62,1870697190.1,1862367345.14,1862783837.39,1870280697.85,2.0,34693158497300.0,69,1.21200144652e-13,0.0156252979403,0.25,0.250004767044,0.25
1193.0,-800.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,393333.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1840110324.45,2565216.46227,1840110324.45,1841924206.41,1838296442.5,1838477830.69,1841742818.21,2.0,6580335498310.0,83,1.21200144652e-13,0.0156268870075,0.25,0.250004767044,0.250025424591
1193.0,-200.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1832463255.82,11040543.6569,1832463255.82,1840270099.11,1824656412.53,1825437096.86,1839489414.78,2.0,121893604241000.0,25,1.21200144652e-13,0.00195281465415,0.125,0.124992849434,0.124987287705
1193.0,-400.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,393333.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1794954300.19,8136236.53505,1794954300.19,1800707488.21,1789201112.16,1789776430.96,1800132169.41,2.0,66198344954300.0,94,1.21200144652e-13,0.0156252979403,0.25,0.250004767044,0.25
1193.0,-1000.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,131111.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1790338159.23,2136530.29563,1790338159.23,1791848914.29,1788827404.17,1788978479.68,1791697838.79,2.0,4564761704160.0,28,1.21200144652e-13,0.00781314553318,0.125,0.249995232956,0.250025424591
1193.0,-800.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,524444.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1769862650.19,6006326.44208,1769862650.19,1774109764.35,1765615536.04,1766040247.45,1773685052.93,2.0,36075957328900.0,108,1.21200144652e-13,0.00781344350374,0.25,0.125002383522,0.250025424591
1193.0,-600.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1763150725.26,5177660.82954,1763150725.26,1766811884.34,1759489566.17,1759855682.08,1766445768.43,2.0,26808171665800.0,14,1.21200144652e-13,0.00781205308962,0.25,0.124992849434,0.25
1193.0,-200.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,131111.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1762433451.93,10562348.4452,1762433451.93,1769902160.14,1754964743.72,1755711614.54,1769155289.32,2.0,111563204677000.0,50,1.21200144652e-13,0.00390577826328,0.125,0.249995232956,0.124987287705
1193.0,-600.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,131111.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1762349955.45,3649567.67666,1762349955.45,1764930589.5,1759769321.4,1760027384.8,1764672526.1,2.0,13319344226500.0,39,1.21200144652e-13,0.0156247020597,0.25,0.249995232956,0.25
1193.0,-1000.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1744951728.6,4805508.78455,1744951728.6,1748349736.45,1741553720.75,1741893521.53,1748009935.66,2.0,23092914678400.0,3,1.21200144652e-13,0.00390642378131,0.125,0.124992849434,0.250025424591
1193.0,-1000.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1719205087.59,396107.596468,1719205087.59,1719485177.96,1718924997.22,1718953006.26,1719457168.92,2.0,156901227979.0,53,1.21200144652e-13,0.00781344350374,0.125,0.250004767044,0.250025424591
1193.0,-400.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,524444.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1716938510.54,2454872.60042,1716938510.54,1718674367.6,1715202653.47,1715376239.18,1718500781.89,2.0,6026399484290.0,119,1.21200144652e-13,0.00781264897013,0.25,0.125002383522,0.25
1193.0,-600.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1693294218.94,10863726.5756,1693294218.94,1700976033.68,1685612404.21,1686380585.69,1700207852.2,2.0,118020555109000.0,64,1.21200144652e-13,0.0156252979403,0.25,0.250004767044,0.25
1193.0,-200.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1688544877.4,1582779.73518,1688544877.4,1689664071.68,1687425683.12,1687537602.54,1689552152.25,2.0,2505191690080.0,75,1.21200144652e-13,0.00390592721826,0.125,0.250004767044,0.124987287705
1193.0,-1000.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,393333.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1651451916.38,4708420.25253,1651451916.38,1654781272.27,1648122560.49,1648455496.08,1654448336.68,2.0,22169221274400.0,78,1.21200144652e-13,0.00781344350374,0.125,0.250004767044,0.250025424591
1193.0,-200.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,393333.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1628381123.72,14470190.164,1628381123.72,1638613093.31,1618149154.13,1619172351.09,1637589896.35,2.0,209386403384000.0,100,1.21200144652e-13,0.00390592721826,0.125,0.250004767044,0.124987287705
1193.0,-600.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,393333.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1618705284.09,3644787.16456,1618705284.09,1621282537.81,1616128030.37,1616385755.74,1621024812.44,2.0,13284473474900.0,89,1.21200144652e-13,0.0156252979403,0.25,0.250004767044,0.25
1193.0,-400.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1589422077.6,10799712.0145,1589422077.6,1597058627.2,1581785528.0,1582549182.96,1596294972.24,2.0,116633779596000.0,20,1.21200144652e-13,0.0039056293083,0.25,0.124992849434,0.124987287705
1193.0,-1000.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,524444.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1579690574.42,1603621.89026,1579690574.42,1580824506.34,1578556642.51,1578670035.7,1580711113.14,2.0,2571603166930.0,103,1.21200144652e-13,0.00390672175187,0.125,0.125002383522,0.250025424591
1193.0,-400.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,131111.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1572789302.98,6251285.32283,1572789302.98,1577209629.22,1568368976.74,1568811009.36,1576767596.6,2.0,39078568187500.0,45,1.21200144652e-13,0.00781155652656,0.25,0.249995232956,0.124987287705
1193.0,-800.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,131111.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1559360574.27,11331589.2449,1559360574.27,1567373217.86,1551347930.67,1552149195.03,1566571953.5,2.0,128404914814000.0,34,1.21200144652e-13,0.0156247020597,0.25,0.249995232956,0.25
1193.0,-600.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,524444.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1551518513.28,10829138.354,1551518513.28,1559175870.45,1543861156.12,1544626891.84,1558410134.73,2.0,117270237489000.0,114,1.21200144652e-13,0.00781264897013,0.25,0.125002383522,0.25
1193.0,-200.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,524444.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1540419717.02,3892711.61906,1540419717.02,1543172279.81,1537667154.24,1537942410.52,1542897023.53,2.0,15153203749200.0,125,1.21200144652e-13,0.00195296360913,0.125,0.125002383522,0.124987287705
1193.0,-800.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1526005250.82,4669929.36186,1526005250.82,1529307389.54,1522703112.1,1523033325.97,1528977175.67,2.0,21808240244800.0,9,1.21200144652e-13,0.00781205308962,0.25,0.124992849434,0.25
1193.0,-400.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1495163014.79,9597822.21031,1495163014.79,1501949699.96,1488376329.62,1489054998.14,1501271031.44,2.0,92118191180700.0,70,1.21200144652e-13,0.00781185443652,0.25,0.250004767044,0.124987287705
1193.0,-800.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1488726890.53,10899412.7413,1488726890.53,1496433939.19,1481019841.87,1481790546.74,1495663234.32,2.0,118797198106000.0,59,1.21200144652e-13,0.0156252979403,0.25,0.250004767044,0.25
1193.0,-800.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,393333.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1423759436.26,6243421.5854,1423759436.26,1428174202.0,1419344670.52,1419786147.09,1427732725.43,2.0,38980313093000.0,84,1.21200144652e-13,0.0156252979403,0.25,0.250004767044,0.25
1193.0,-400.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,393333.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1417389028.48,10353256.9204,1417389028.48,1424709886.65,1410068170.3,1410800256.12,1423977800.83,2.0,107189928860000.0,95,1.21200144652e-13,0.00781185443652,0.25,0.250004767044,0.124987287705
1193.0,-600.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1359396452.12,13272892.9216,1359396452.12,1368781804.71,1350011099.53,1350949634.79,1367843269.45,2.0,176169686508000.0,15,1.21200144652e-13,0.0039056293083,0.25,0.124992849434,0.124987287705
1193.0,-400.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,524444.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1355106415.85,1462684.02187,1355106415.85,1356140689.64,1354072142.06,1354175569.44,1356037262.26,2.0,2139444547840.0,120,1.21200144652e-13,0.00390592721826,0.25,0.125002383522,0.124987287705
1193.0,-600.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,131111.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1347916765.49,2174391.29956,1347916765.49,1349454292.33,1346379238.66,1346532991.34,1349300539.64,2.0,4727977523600.0,40,1.21200144652e-13,0.00781155652656,0.25,0.249995232956,0.124987287705
