npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-meoh_capacity,ProbabilityWeight,prefix,ProbabilityWeight-h2_storage_capacity,PointProbability,ProbabilityWeight-htse_capacity
522.0,-334.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,852691311.774,631398.90866,852691311.774,853137778.224,852244845.324,852289491.969,853093131.579,2.0,398664581857.0,0.25,0.0155839025875,63,0.25000913242,1.0563053673200001e-12,0.249333333333
522.0,-334.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,822532365.117,330461.652153,822532365.117,822766036.793,822298693.442,822322060.61,822742669.625,2.0,109204903544.0,0.25,0.0155839025875,88,0.25000913242,1.0563053673200001e-12,0.249333333333
522.0,-428.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,814374290.517,149671.249954,814374290.517,814480124.072,814268456.961,814279040.316,814469540.717,2.0,22401483062.8,0.25,0.0156660943683,33,0.24999086758,1.0563053673200001e-12,0.250666666667
522.0,-428.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,809340153.451,215645.193129,809340153.451,809492637.63,809187669.273,809202917.691,809477389.212,2.0,46502849319.8,0.25,0.00783247488584,8,0.12498630137,1.0563053673200001e-12,0.250666666667
522.0,-334.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,793264359.16,174872.43048,793264359.16,793388012.642,793140705.679,793153071.027,793375647.294,2.0,30580366942.1,0.25,0.00779195129376,113,0.12500456621,1.0563053673200001e-12,0.249333333333
522.0,-428.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,784937565.556,185413.509221,784937565.556,785068672.705,784806458.406,784819569.121,785055561.99,2.0,34378169401.8,0.25,0.015667238965,58,0.25000913242,1.0563053673200001e-12,0.250666666667
522.0,-428.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,755916285.107,454915.424031,755916285.107,756237958.888,755594611.326,755626778.704,756205791.51,2.0,206948043021.0,0.25,0.015667238965,83,0.25000913242,1.0563053673200001e-12,0.250666666667
522.0,-241.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,737406072.466,124592.164795,737406072.466,737494172.431,737317972.501,737326782.498,737485362.434,2.0,15523207528.2,0.25,0.00779081278539,19,0.12498630137,1.0563053673200001e-12,0.249333333333
522.0,-522.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,735369478.686,392417.738578,735369478.686,735646959.93,735091997.442,735119745.566,735619211.805,2.0,153991681551.0,0.25,0.00783304718417,28,0.24999086758,1.0563053673200001e-12,0.125333333333
522.0,-428.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,726185603.013,703741.44772,726185603.013,726683223.363,725687982.663,725737744.698,726633461.328,2.0,495252025239.0,0.25,0.0078336194825,108,0.12500456621,1.0563053673200001e-12,0.250666666667
522.0,-522.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,710492635.923,937727.27285,710492635.923,711155709.237,709829562.61,709895869.941,711089401.905,2.0,879332438248.0,0.25,0.00391623744292,3,0.12498630137,1.0563053673200001e-12,0.125333333333
522.0,-241.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,709936162.02,704147.425693,709936162.02,710434069.439,709438254.6,709488045.342,710384278.697,2.0,495823597110.0,0.25,0.0155827640791,44,0.24999086758,1.0563053673200001e-12,0.249333333333
522.0,-522.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,706467026.172,958554.581242,706467026.172,707144826.617,705789225.728,705857005.772,707077046.573,2.0,918826885221.0,0.25,0.0078336194825,53,0.25000913242,1.0563053673200001e-12,0.125333333333
522.0,-241.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,680274468.059,155200.888824,680274468.059,680384211.66,680164724.458,680175698.818,680373237.299,2.0,24087315891.7,0.25,0.0155839025875,69,0.25000913242,1.0563053673200001e-12,0.249333333333
522.0,-522.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,676260013.094,83341.0800712,676260013.094,676318944.137,676201082.051,676206975.155,676313051.033,2.0,6945735627.43,0.25,0.0078336194825,78,0.25000913242,1.0563053673200001e-12,0.125333333333
522.0,-241.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,651601353.127,134138.940147,651601353.127,651696203.682,651506502.573,651515987.629,651686718.626,2.0,17993255263.7,0.25,0.0155839025875,94,0.25000913242,1.0563053673200001e-12,0.249333333333
522.0,-522.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,646952463.916,618214.799265,646952463.916,647389607.793,646515320.04,646559034.427,647345893.406,2.0,382189538030.0,0.25,0.00391680974125,103,0.12500456621,1.0563053673200001e-12,0.125333333333
522.0,-334.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,640556170.969,95858.4642467,640556170.969,640623953.139,640488388.799,640495167.016,640617174.922,2.0,9188845167.73,0.25,0.0155827640791,39,0.24999086758,1.0563053673200001e-12,0.249333333333
522.0,-334.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,638793525.108,454202.288175,638793525.108,639114694.626,638472355.59,638504472.542,639082577.674,2.0,206299718584.0,0.25,0.00779081278539,14,0.12498630137,1.0563053673200001e-12,0.249333333333
522.0,-241.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,621812128.982,1319233.64455,621812128.982,622744968.038,620879289.926,620972573.832,622651684.133,2.0,1740377408920.0,0.25,0.00779195129376,119,0.12500456621,1.0563053673200001e-12,0.249333333333
522.0,-334.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,610217363.364,751819.444433,610217363.364,610748979.991,609685746.736,609738908.399,610695818.328,2.0,565232477027.0,0.25,0.0155839025875,64,0.25000913242,1.0563053673200001e-12,0.249333333333
522.0,-334.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,580168812.749,559243.064357,580168812.749,580564257.312,579773368.186,579812912.642,580524712.856,2.0,312752805031.0,0.25,0.0155839025875,89,0.25000913242,1.0563053673200001e-12,0.249333333333
522.0,-147.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,580017292.68,1315048.81879,580017292.68,580947172.617,579087412.743,579180400.737,580854184.624,2.0,1729353395800.0,0.124972890913,0.00195769405898,25,0.12498630137,1.0563053673200001e-12,0.125333333333
522.0,-428.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,556998127.957,256143.215258,556998127.957,557179248.562,556817007.353,556835119.413,557161136.501,2.0,65609346722.6,0.25,0.0156660943683,34,0.24999086758,1.0563053673200001e-12,0.250666666667
522.0,-147.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,550640458.482,606293.755877,550640458.482,551069172.909,550211744.056,550254615.499,551026301.466,2.0,367592118416.0,0.124972890913,0.00391567420506,50,0.24999086758,1.0563053673200001e-12,0.125333333333
522.0,-334.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,549081729.268,398218.327999,549081729.268,549363312.148,548800146.388,548828304.676,549335153.86,2.0,158577836754.0,0.25,0.00779195129376,114,0.12500456621,1.0563053673200001e-12,0.249333333333
522.0,-428.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,538796439.212,427203.170364,538796439.212,539098517.471,538494360.954,538524568.779,539068309.645,2.0,182502548769.0,0.25,0.00783247488584,9,0.12498630137,1.0563053673200001e-12,0.250666666667
522.0,-428.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,526593904.638,1543069.33046,526593904.638,527685019.425,525502789.85,525611901.329,527575907.946,2.0,2381062958600.0,0.25,0.015667238965,59,0.25000913242,1.0563053673200001e-12,0.250666666667
522.0,-147.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,520948174.975,143123.447611,520948174.975,521049378.535,520846971.415,520857091.771,521039258.179,2.0,20484321256.0,0.124972890913,0.00391596029216,75,0.25000913242,1.0563053673200001e-12,0.125333333333
522.0,-428.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,497504366.712,156981.566232,497504366.712,497615369.442,497393363.982,497404464.255,497604269.169,2.0,24643212136.5,0.25,0.015667238965,84,0.25000913242,1.0563053673200001e-12,0.250666666667
522.0,-147.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,491394260.489,743730.566866,491394260.489,491920157.416,490868363.562,490920953.254,491867567.723,2.0,553135156090.0,0.124972890913,0.00391596029216,100,0.25000913242,1.0563053673200001e-12,0.125333333333
522.0,-241.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,475936079.539,480732.079803,475936079.539,476276008.453,475596150.626,475630143.517,476242015.561,2.0,231103332552.0,0.124972890913,0.00389456158541,20,0.12498630137,1.0563053673200001e-12,0.249333333333
522.0,-241.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,472505659.913,1861077.70203,472505659.913,473821640.576,471189679.249,471321277.316,473690042.51,2.0,3463610213000.0,0.124972890913,0.00778969230155,45,0.24999086758,1.0563053673200001e-12,0.249333333333
522.0,-428.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,468072720.751,99438.2470331,468072720.751,468143034.209,468002407.292,468009438.638,468136002.863,2.0,9887964973.01,0.25,0.0078336194825,109,0.12500456621,1.0563053673200001e-12,0.250666666667
522.0,-522.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,467906804.088,427034.683477,467906804.088,468208763.208,467604844.967,467635040.879,468178567.296,2.0,182358620892.0,0.25,0.00783304718417,29,0.24999086758,1.0563053673200001e-12,0.125333333333
522.0,-147.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,461834814.368,639009.336651,461834814.368,462286662.203,461382966.533,461428151.316,462241477.42,2.0,408332932327.0,0.124972890913,0.00195798014608,125,0.12500456621,1.0563053673200001e-12,0.125333333333
