npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-meoh_capacity,PointProbability,ProbabilityWeight,ProbabilityWeight-htse_capacity
1280.0,-800.0,-14500.0,-1e+200,-1e+200,-1e+200,-1e+200,1804444.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1843903595.4,14302040.7874,1843903595.4,1854016665.42,1833790525.37,1834801832.37,1853005358.42,2.0,204548370685000.0,33,0.249999653633,0.249974138823,8.95747037061e-15,0.0156233620307,0.25
1280.0,-800.0,-4833.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1787614067.53,7782661.36206,1787614067.53,1793117240.15,1782110894.9,1782661212.17,1792566922.89,2.0,60569817876500.0,10,0.124999445812,0.125012930589,8.95747037061e-15,0.00390663676073,0.25
1280.0,-400.0,-9667.0,-1e+200,-1e+200,-1e+200,-1e+200,1804444.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1780536269.96,55036938.445,1780536269.96,1819453262.35,1741619277.57,1745510976.81,1815561563.11,2.0,3029064593400000.0,44,0.249999653633,0.25,8.95747037061e-15,0.015624978352,0.25
1280.0,-200.0,-4833.0,-1e+200,-1e+200,-1e+200,-1e+200,1804444.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1752096709.77,16810250.2017,1752096709.77,1763983351.68,1740210067.86,1741398732.05,1762794687.49,2.0,282584511842000.0,50,0.249999653633,0.125012930589,8.95747037061e-15,0.00390664866834,0.125
1280.0,-1000.0,-14500.0,-1e+200,-1e+200,-1e+200,-1e+200,1804444.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1678860149.17,17631591.3065,1678860149.17,1691327566.95,1666392731.4,1667639473.17,1690080825.17,2.0,310873012000000.0,28,0.249999653633,0.249974138823,8.95747037061e-15,0.00781168101535,0.125
1280.0,-600.0,-9667.0,-1e+200,-1e+200,-1e+200,-1e+200,1804444.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1663644596.87,28897000.6585,1663644596.87,1684077861.99,1643211331.74,1645254658.26,1682034535.47,2.0,835036647056000.0,39,0.249999653633,0.25,8.95747037061e-15,0.015624978352,0.25
1280.0,-1000.0,-4833.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1578173089.1,93003490.3148,1578173089.1,1643936487.78,1512409690.42,1518986030.29,1637360147.91,2.0,8649649210730000.0,5,0.124999445812,0.125012930589,8.95747037061e-15,0.00195331838036,0.125
1280.0,-400.0,-4833.0,-1e+200,-1e+200,-1e+200,-1e+200,1804444.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1561606785.8,2387146.75952,1561606785.8,1563294753.46,1559918818.14,1560087614.91,1563125956.7,2.0,5698469651470.0,45,0.249999653633,0.125012930589,8.95747037061e-15,0.00781329733668,0.25
1280.0,-800.0,-9667.0,-1e+200,-1e+200,-1e+200,-1e+200,1804444.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1490259116.39,136651743.454,1490259116.39,1586886490.85,1393631741.93,1403294479.38,1577223753.4,2.0,1.8673698989e+16,34,0.249999653633,0.25,8.95747037061e-15,0.015624978352,0.25
1280.0,-1000.0,-24167.0,-1e+200,-1e+200,-1e+200,-1e+200,3608889.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1486626395.75,30359828.3974,1486626395.75,1508094036.28,1465158755.21,1467305519.27,1505947272.23,2.0,921719180320000.0,51,0.250000346367,0.125012930589,8.95747037061e-15,0.00390665949345,0.125
1280.0,-800.0,-19333.0,-1e+200,-1e+200,-1e+200,-1e+200,3608889.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1352634242.75,59247282.9411,1352634242.75,1394528398.29,1310740087.22,1314929502.77,1390338982.74,2.0,3510240535900000.0,57,0.250000346367,0.25,8.95747037061e-15,0.015625021648,0.25
1280.0,-600.0,-4833.0,-1e+200,-1e+200,-1e+200,-1e+200,1804444.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1295744695.76,16432693.8482,1295744695.76,1307364365.02,1284125026.51,1285286993.43,1306202398.09,2.0,270033427107000.0,40,0.249999653633,0.125012930589,8.95747037061e-15,0.00781329733668,0.25
1280.0,-600.0,-14500.0,-1e+200,-1e+200,-1e+200,-1e+200,3608889.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1239510659.15,22379309.8418,1239510659.15,1255335220.9,1223686097.4,1225268553.58,1253752764.72,2.0,500833508993000.0,63,0.250000346367,0.249974138823,8.95747037061e-15,0.0156234053222,0.25
1280.0,-1000.0,-19333.0,-1e+200,-1e+200,-1e+200,-1e+200,3608889.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1228518835.31,12938433.2057,1228518835.31,1237667689.17,1219369981.45,1220284866.84,1236752803.78,2.0,167403053819000.0,52,0.250000346367,0.25,8.95747037061e-15,0.00781251082398,0.125
1280.0,-1000.0,-9667.0,-1e+200,-1e+200,-1e+200,-1e+200,1804444.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1205677241.6,1834268.91245,1205677241.6,1206974265.59,1204380217.62,1204509920.02,1206844563.19,2.0,3364542443170.0,29,0.249999653633,0.25,8.95747037061e-15,0.00781248917602,0.125
1280.0,-800.0,-14500.0,-1e+200,-1e+200,-1e+200,-1e+200,3608889.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1074911190.58,2303032.34675,1074911190.58,1076539680.37,1073282700.79,1073445549.77,1076376831.39,2.0,5303957990190.0,58,0.250000346367,0.249974138823,8.95747037061e-15,0.0156234053222,0.25
1280.0,-400.0,-9667.0,-1e+200,-1e+200,-1e+200,-1e+200,3608889.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1061666732.59,68364534.6001,1061666732.59,1110007758.6,1013325706.59,1018159809.19,1105173656.0,2.0,4673709591090000.0,69,0.250000346367,0.25,8.95747037061e-15,0.015625021648,0.25
1280.0,-800.0,-4833.0,-1e+200,-1e+200,-1e+200,-1e+200,1804444.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1040161973.9,85273435.0793,1040161973.9,1100459398.1,979864549.701,985894292.121,1094429655.68,2.0,7271558730220000.0,35,0.249999653633,0.125012930589,8.95747037061e-15,0.00781329733668,0.25
1280.0,-1000.0,-4833.0,-1e+200,-1e+200,-1e+200,-1e+200,1804444.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1023566179.72,84846189.1211,1023566179.72,1083561495.4,963570864.032,969570395.601,1077561963.83,2.0,7198875808370000.0,30,0.249999653633,0.125012930589,8.95747037061e-15,0.00390664866834,0.125
1280.0,-200.0,-4833.0,-1e+200,-1e+200,-1e+200,-1e+200,3608889.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,978639625.022,153570424.694,978639625.022,1087230313.71,870048936.332,880908005.201,1076371244.84,2.0,2.35838753406e+16,75,0.250000346367,0.125012930589,8.95747037061e-15,0.00390665949345,0.125
1280.0,-600.0,-9667.0,-1e+200,-1e+200,-1e+200,-1e+200,3608889.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,913133338.479,56359979.579,913133338.479,952985862.227,873280814.731,877266067.106,949000609.852,2.0,3176447298150000.0,64,0.250000346367,0.25,8.95747037061e-15,0.015625021648,0.25
1280.0,-1000.0,-14500.0,-1e+200,-1e+200,-1e+200,-1e+200,3608889.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,869322529.027,29554138.288,869322529.027,890220460.623,848424597.432,850514390.591,888130667.463,2.0,873447089944000.0,53,0.250000346367,0.249974138823,8.95747037061e-15,0.00781170266108,0.125
1280.0,-1000.0,-24167.0,-1e+200,-1e+200,-1e+200,-1e+200,5413333.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,808905374.636,20465346.0351,808905374.636,823376559.597,794434189.675,795881308.171,821929441.101,2.0,418830388338000.0,76,0.250000346367,0.125012930589,8.95747037061e-15,0.00390665949345,0.125
1280.0,-400.0,-4833.0,-1e+200,-1e+200,-1e+200,-1e+200,3608889.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,754256083.211,66008042.281,754256083.211,800930817.521,707581348.901,712248822.332,796263344.09,2.0,4357061645770000.0,70,0.250000346367,0.125012930589,8.95747037061e-15,0.00781331898689,0.25
1280.0,-800.0,-9667.0,-1e+200,-1e+200,-1e+200,-1e+200,3608889.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,716500047.812,122469274.481,716500047.812,803098902.284,629901193.339,638561078.786,794439016.837,2.0,1.49987231919e+16,59,0.250000346367,0.25,8.95747037061e-15,0.015625021648,0.25
1280.0,-800.0,-19333.0,-1e+200,-1e+200,-1e+200,-1e+200,5413333.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,589370123.917,58612017.9874,589370123.917,630815079.295,547925168.539,552069664.077,626670583.757,2.0,3435368652550000.0,82,0.250000346367,0.25,8.95747037061e-15,0.015625021648,0.25
1280.0,-600.0,-4833.0,-1e+200,-1e+200,-1e+200,-1e+200,3608889.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,567541917.452,35577032.6461,567541917.452,592698678.491,542385156.414,544900832.518,590183002.387,2.0,1265725251900000.0,65,0.250000346367,0.125012930589,8.95747037061e-15,0.00781331898689,0.25
1280.0,-1000.0,-9667.0,-1e+200,-1e+200,-1e+200,-1e+200,3608889.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,544590019.069,8912637.793,544590019.069,550892205.691,538287832.447,538918051.11,550261987.029,2.0,79435112429300.0,54,0.250000346367,0.25,8.95747037061e-15,0.00781251082398,0.125
1280.0,-1000.0,-19333.0,-1e+200,-1e+200,-1e+200,-1e+200,5413333.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,508559356.308,35992010.6602,508559356.308,534009551.115,483109161.502,485654180.983,531464531.634,2.0,1295424831370000.0,77,0.250000346367,0.25,8.95747037061e-15,0.00781251082398,0.125
1280.0,-600.0,-14500.0,-1e+200,-1e+200,-1e+200,-1e+200,5413333.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,432852094.131,35260301.3474,432852094.131,457784892.32,407919295.942,410412575.761,455291612.502,2.0,1243288851110000.0,88,0.250000346367,0.249974138823,8.95747037061e-15,0.0156234053222,0.25
1280.0,-800.0,-14500.0,-1e+200,-1e+200,-1e+200,-1e+200,5413333.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,355045169.881,35630765.3907,355045169.881,380239925.708,329850414.055,332369889.638,377720450.125,2.0,1269551442320000.0,83,0.250000346367,0.249974138823,8.95747037061e-15,0.0156234053222,0.25
1280.0,-400.0,-9667.0,-1e+200,-1e+200,-1e+200,-1e+200,5413333.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,328796004.147,83992995.283,328796004.147,388188020.684,269403987.61,275343189.264,382248819.03,2.0,7054823256620000.0,94,0.250000346367,0.25,8.95747037061e-15,0.015625021648,0.25
1280.0,-800.0,-4833.0,-1e+200,-1e+200,-1e+200,-1e+200,3608889.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,305641179.062,15996464.6076,305641179.062,316952387.661,294329970.462,295461091.322,315821266.801,2.0,255886879943000.0,60,0.250000346367,0.125012930589,8.95747037061e-15,0.00781331898689,0.25
1280.0,-600.0,-9667.0,-1e+200,-1e+200,-1e+200,-1e+200,5413333.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,237927195.968,34391262.4866,237927195.968,262245490.886,213608901.05,216040730.542,259813661.394,2.0,1182758935420000.0,89,0.250000346367,0.25,8.95747037061e-15,0.015625021648,0.25
1280.0,-200.0,-4833.0,-1e+200,-1e+200,-1e+200,-1e+200,5413333.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,227109127.298,53606712.6464,227109127.298,265014797.328,189203457.269,192994024.272,261224230.325,2.0,2873679640760000.0,100,0.250000346367,0.125012930589,8.95747037061e-15,0.00390665949345,0.125
1280.0,-1000.0,-14500.0,-1e+200,-1e+200,-1e+200,-1e+200,5413333.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,182855704.183,54177463.7868,182855704.183,221164956.215,144546452.152,148377377.355,217334031.011,2.0,2935197582370000.0,78,0.250000346367,0.249974138823,8.95747037061e-15,0.00781170266108,0.125
1280.0,-1000.0,-4833.0,-1e+200,-1e+200,-1e+200,-1e+200,3608889.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,165653390.801,105610356.248,165653390.801,240331189.868,90975591.7344,98443371.6411,232863409.961,2.0,1.11535473469e+16,55,0.250000346367,0.125012930589,8.95747037061e-15,0.00390665949345,0.125
1280.0,-1000.0,-24167.0,-1e+200,-1e+200,-1e+200,-1e+200,7217778.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,77524182.4447,19979309.9194,77524182.4447,91651687.9721,63396676.9173,64809427.47,90238937.4194,2.0,399172824854000.0,101,0.12500020782,0.125012930589,8.95747037061e-15,0.00195333028798,0.125
1280.0,-400.0,-4833.0,-1e+200,-1e+200,-1e+200,-1e+200,5413333.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,13763590.9806,9179520.90623,13763590.9806,20254492.4614,7272689.49973,7921779.64782,19605402.3133,2.0,84263604067900.0,95,0.250000346367,0.125012930589,8.95747037061e-15,0.00781331898689,0.25
1280.0,-800.0,-19333.0,-1e+200,-1e+200,-1e+200,-1e+200,7217778.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-62490952.3632,37234602.939,-62490952.3632,-36162112.1302,-88819792.5962,-86186908.5729,-38794996.1535,2.0,1386415656030000.0,107,0.12500020782,0.25,8.95747037061e-15,0.00781251298878,0.25
1280.0,-800.0,-9667.0,-1e+200,-1e+200,-1e+200,-1e+200,5413333.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-64081112.1612,140697388.942,-64081112.1612,35406965.6552,-163569189.978,-153620382.196,25458157.8736,2.0,1.97957552552e+16,84,0.250000346367,0.25,8.95747037061e-15,0.015625021648,0.25
1280.0,-1000.0,-9667.0,-1e+200,-1e+200,-1e+200,-1e+200,5413333.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-194467179.252,71858995.2905,-194467179.252,-143655196.393,-245279162.111,-240197963.825,-148736394.679,2.0,5163715204170000.0,79,0.250000346367,0.25,8.95747037061e-15,0.00781251082398,0.125
1280.0,-600.0,-4833.0,-1e+200,-1e+200,-1e+200,-1e+200,5413333.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-216483583.173,103321805.416,-216483583.173,-143424033.919,-289543132.427,-282237177.501,-150729988.844,2.0,1.06753954743e+16,90,0.250000346367,0.125012930589,8.95747037061e-15,0.00781331898689,0.25
1280.0,-1000.0,-19333.0,-1e+200,-1e+200,-1e+200,-1e+200,7217778.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-232008974.095,15877542.6745,-232008974.095,-220781856.001,-243236092.188,-242113380.379,-221904567.81,2.0,252096361381000.0,102,0.12500020782,0.25,8.95747037061e-15,0.00390625649439,0.125
1280.0,-600.0,-14500.0,-1e+200,-1e+200,-1e+200,-1e+200,7217778.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-254060063.137,61440593.0006,-254060063.137,-210615003.186,-297505123.088,-293160617.092,-214959509.181,2.0,3774946468270000.0,113,0.12500020782,0.249974138823,8.95747037061e-15,0.00781170482565,0.25
1280.0,-400.0,-9667.0,-1e+200,-1e+200,-1e+200,-1e+200,7217778.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-367413902.948,20640558.5846,-367413902.948,-352818824.005,-382008981.891,-380549473.996,-354278331.9,2.0,426032658683000.0,119,0.12500020782,0.25,8.95747037061e-15,0.00781251298878,0.25
1280.0,-800.0,-14500.0,-1e+200,-1e+200,-1e+200,-1e+200,7217778.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-384769346.78,103415895.833,-384769346.78,-311643265.554,-457895428.006,-450582819.884,-318955873.676,2.0,1.0694847511e+16,108,0.12500020782,0.249974138823,8.95747037061e-15,0.00781170482565,0.25
1280.0,-800.0,-4833.0,-1e+200,-1e+200,-1e+200,-1e+200,5413333.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-450651671.731,83902411.2532,-450651671.731,-391323707.776,-509979635.686,-504046839.29,-397256504.171,2.0,7039614614100000.0,85,0.250000346367,0.125012930589,8.95747037061e-15,0.00781331898689,0.25
1280.0,-600.0,-9667.0,-1e+200,-1e+200,-1e+200,-1e+200,7217778.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-515597374.084,136097683.053,-515597374.084,-419361779.493,-611832968.674,-602209409.215,-428985338.952,2.0,1.85225793324e+16,114,0.12500020782,0.25,8.95747037061e-15,0.00781251298878,0.25
1280.0,-1000.0,-14500.0,-1e+200,-1e+200,-1e+200,-1e+200,7217778.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-580500663.116,67303316.388,-580500663.116,-532910031.701,-628091294.53,-623332231.389,-537669094.843,2.0,4529736396820000.0,103,0.12500020782,0.249974138823,8.95747037061e-15,0.00390585241282,0.125
1280.0,-200.0,-4833.0,-1e+200,-1e+200,-1e+200,-1e+200,7217778.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-625874635.513,59780375.6644,-625874635.513,-583603526.499,-668145744.527,-663918633.626,-587830637.4,2.0,3573693314580000.0,125,0.12500020782,0.125012930589,8.95747037061e-15,0.00195333028798,0.125
1280.0,-1000.0,-4833.0,-1e+200,-1e+200,-1e+200,-1e+200,5413333.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-684908309.529,6578495.93265,-684908309.529,-680256610.445,-689560008.613,-689094838.705,-680721780.353,2.0,43276608735900.0,80,0.250000346367,0.125012930589,8.95747037061e-15,0.00390665949345,0.125
1280.0,-400.0,-4833.0,-1e+200,-1e+200,-1e+200,-1e+200,7217778.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-709518166.333,26865648.9364,-709518166.333,-690521283.789,-728515048.877,-726615360.622,-692420972.043,2.0,721763092774000.0,120,0.12500020782,0.125012930589,8.95747037061e-15,0.00390666057596,0.25
1280.0,-800.0,-9667.0,-1e+200,-1e+200,-1e+200,-1e+200,7217778.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-733099679.442,51076136.1146,-733099679.442,-696983397.238,-769215961.645,-765604333.425,-700595025.458,2.0,2608771680400000.0,109,0.12500020782,0.25,8.95747037061e-15,0.00781251298878,0.25
1280.0,-600.0,-4833.0,-1e+200,-1e+200,-1e+200,-1e+200,7217778.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-924695169.152,46325183.6272,-924695169.152,-891938317.67,-957452020.635,-954176335.486,-895214002.818,2.0,2146022638090000.0,115,0.12500020782,0.125012930589,8.95747037061e-15,0.00390666057596,0.25
1280.0,-1000.0,-9667.0,-1e+200,-1e+200,-1e+200,-1e+200,7217778.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-1008382355.44,76482170.1192,-1008382355.44,-954301294.313,-1062463416.57,-1057055310.46,-959709400.426,2.0,5849522346150000.0,104,0.12500020782,0.25,8.95747037061e-15,0.00390625649439,0.125
1280.0,-800.0,-4833.0,-1e+200,-1e+200,-1e+200,-1e+200,7217778.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-1147448280.86,94475649.63,-1147448280.86,-1080643908.35,-1214252653.37,-1207572216.12,-1087324345.6,2.0,8925648373020000.0,110,0.12500020782,0.125012930589,8.95747037061e-15,0.00390666057596,0.25
