npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,PointProbability,ProbabilityWeight-h2_storage_capacity,prefix,ProbabilityWeight-htse_capacity,ProbabilityWeight-meoh_capacity
1280.0,-1000.0,-24583.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2354499911.48,16492547.9733,2354499911.48,2366161903.99,2342837918.97,2344004118.22,2364995704.74,2.0,272004138650000.0,0.00195281465415,1.21200144652e-13,0.124992849434,1,0.125,0.124987287705
1280.0,-1000.0,-24583.0,-1e+200,-1e+200,-1e+200,-1e+200,131111.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2314945197.39,3674756.67863,2314945197.39,2317543642.76,2312346752.03,2312606596.56,2317283798.22,2.0,13503836647100.0,0.00390577826328,1.21200144652e-13,0.249995232956,26,0.125,0.124987287705
1280.0,-200.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2304685573.03,16860425.5213,2304685573.03,2316607694.25,2292763451.81,2293955663.93,2315415482.12,2.0,284273948760000.0,0.00195281465415,1.21200144652e-13,0.124992849434,25,0.125,0.124987287705
1280.0,-800.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,131111.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2290872570.58,14616113.8768,2290872570.58,2301207723.82,2280537417.34,2281570932.67,2300174208.49,2.0,213630784859000.0,0.0156247020597,1.21200144652e-13,0.249995232956,32,0.25,0.25
1280.0,-800.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2287526679.39,11589916.225,2287526679.39,2295721987.75,2279331371.04,2280150901.87,2294902456.91,2.0,134326158102000.0,0.00781205308962,1.21200144652e-13,0.124992849434,7,0.25,0.25
1280.0,-200.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2283233252.21,21227389.0527,2283233252.21,2298243282.95,2268223221.46,2269724224.53,2296742279.88,2.0,450602045995000.0,0.00390592721826,1.21200144652e-13,0.250004767044,75,0.125,0.124987287705
1280.0,-200.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,131111.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2280777958.74,20078272.6388,2280777958.74,2294975441.47,2266580476.0,2268000224.27,2293555693.2,2.0,403137032158000.0,0.00390577826328,1.21200144652e-13,0.249995232956,50,0.125,0.124987287705
1280.0,-1000.0,-24583.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2267032096.06,5065171.207,2267032096.06,2270613712.96,2263450479.15,2263808640.84,2270255551.27,2.0,25655959356200.0,0.00390592721826,1.21200144652e-13,0.250004767044,51,0.125,0.124987287705
1280.0,-600.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,131111.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2252032999.93,36765097.222,2252032999.93,2278029849.48,2226036150.37,2228635835.32,2275430164.53,2.0,1351672373740000.0,0.0156262910664,1.21200144652e-13,0.249995232956,38,0.25,0.250025424591
1280.0,-600.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2251926072.2,89807243.9737,2251926072.2,2315429383.41,2188422760.98,2194773092.1,2309079052.29,2.0,8065341070150000.0,0.00781284756262,1.21200144652e-13,0.124992849434,13,0.25,0.250025424591
