npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,PointProbability,ProbabilityWeight-htse_capacity,ProbabilityWeight-meoh_capacity,prefix
522.0,-334.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-66589534.7646,1431148.98653,-66589534.7646,-65577559.6113,-67601509.9179,-67500312.4025,-65678757.1267,2.0,2048187421640.0,0.00389456158541,0.12498630137,1.0563053673200001e-12,0.249333333333,0.124972890913,15
522.0,-241.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-67264893.2192,1512969.23206,-67264893.2192,-66195062.4155,-68334724.0229,-68227740.9426,-66302045.4959,2.0,2289075897160.0,0.0155839025875,0.25000913242,1.0563053673200001e-12,0.249333333333,0.25,94
522.0,-334.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-84017503.3724,1044667.88684,-84017503.3724,-83278811.6255,-84756195.1192,-84682325.9446,-83352680.8002,2.0,1091330993800.0,0.0155827640791,0.24999086758,1.0563053673200001e-12,0.249333333333,0.25,39
522.0,-334.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-84404723.9244,1128988.76343,-84404723.9244,-83606408.3138,-85203039.5349,-85123207.9738,-83686239.8749,2.0,1274615627960.0,0.00779026143228,0.25000913242,1.0563053673200001e-12,0.249333333333,0.124972890913,65
522.0,-334.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-87769677.8153,387141.884615,-87769677.8153,-87495927.1634,-88043428.4671,-88016053.402,-87523302.2286,2.0,149878838823.0,0.00779081278539,0.12498630137,1.0563053673200001e-12,0.249333333333,0.25,14
522.0,-241.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-94847756.5796,238129.369904,-94847756.5796,-94679373.6873,-95016139.4719,-94999301.1826,-94696211.9766,2.0,56705596810.7,0.00779195129376,0.12500456621,1.0563053673200001e-12,0.249333333333,0.25,119
522.0,-334.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-99405463.3308,225125.908052,-99405463.3308,-99246275.2746,-99564651.387,-99548732.5814,-99262194.0802,2.0,50681674476.4,0.00779081278539,0.12498630137,1.0563053673200001e-12,0.249333333333,0.25,13
522.0,-334.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-111771071.337,82498.3301191,-111771071.337,-111712736.209,-111829406.466,-111823572.953,-111718569.722,2.0,6805974472.43,0.0155839025875,0.25000913242,1.0563053673200001e-12,0.249333333333,0.25,64
522.0,-334.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-115077934.722,632181.565334,-115077934.722,-114630914.85,-115524954.594,-115480252.607,-114675616.838,2.0,399653531548.0,0.00779026143228,0.25000913242,1.0563053673200001e-12,0.249333333333,0.124972890913,90
522.0,-334.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-124584959.577,435908.519268,-124584959.577,-124276725.707,-124893193.447,-124862370.06,-124307549.094,2.0,190016237171.0,0.0155827640791,0.24999086758,1.0563053673200001e-12,0.249333333333,0.25,38
522.0,-334.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-139327947.318,893357.631801,-139327947.318,-138696248.078,-139959646.557,-139896476.633,-138759418.002,2.0,798087858298.0,0.0155839025875,0.25000913242,1.0563053673200001e-12,0.249333333333,0.25,89
522.0,-334.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-140300623.731,308678.74512,-140300623.731,-140082354.897,-140518892.565,-140497065.682,-140104181.781,2.0,95282567689.0,0.00389513071614,0.12500456621,1.0563053673200001e-12,0.249333333333,0.124972890913,115
522.0,-428.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-148754357.809,479948.239663,-148754357.809,-148414983.154,-149093732.464,-149059794.998,-148448920.619,2.0,230350312755.0,0.00783134841011,0.24999086758,1.0563053673200001e-12,0.250666666667,0.124972890913,35
522.0,-334.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-151196798.17,412964.086885,-151196798.17,-150904788.464,-151488807.877,-151459606.906,-150933989.435,2.0,170539337056.0,0.0155839025875,0.25000913242,1.0563053673200001e-12,0.249333333333,0.25,63
522.0,-334.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-166656351.635,739743.053851,-166656351.635,-166133274.305,-167179428.965,-167127121.232,-166185582.038,2.0,547219785721.0,0.00779195129376,0.12500456621,1.0563053673200001e-12,0.249333333333,0.25,114
522.0,-428.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-167071774.458,1791411.81947,-167071774.458,-165805055.012,-168338493.903,-168211821.959,-165931726.957,2.0,3209156306930.0,0.0156660943683,0.24999086758,1.0563053673200001e-12,0.250666666667,0.25,34
522.0,-428.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-167134619.526,697940.599452,-167134619.526,-166641100.995,-167628138.057,-167578786.204,-166690452.849,2.0,487121080363.0,0.00391538811795,0.12498630137,1.0563053673200001e-12,0.250666666667,0.124972890913,10
522.0,-428.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-177069009.302,2050850.19457,-177069009.302,-175618839.222,-178519179.382,-178374162.374,-175763856.23,2.0,4205986520570.0,0.00783192058432,0.25000913242,1.0563053673200001e-12,0.250666666667,0.124972890913,60
522.0,-334.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-177674610.118,738467.799755,-177674610.118,-177152434.529,-178196785.707,-178144568.148,-177204652.088,2.0,545334691275.0,0.0155839025875,0.25000913242,1.0563053673200001e-12,0.249333333333,0.25,88
522.0,-428.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-187557941.808,1203216.86175,-187557941.808,-186707139.006,-188408744.61,-188323664.33,-186792219.286,2.0,1447730816400.0,0.00783247488584,0.12498630137,1.0563053673200001e-12,0.250666666667,0.25,9
522.0,-428.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-192038342.627,235565.356437,-192038342.627,-191871772.766,-192204912.488,-192188255.502,-191888429.752,2.0,55491037153.4,0.0156660943683,0.24999086758,1.0563053673200001e-12,0.250666666667,0.25,33
522.0,-428.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-194632373.759,1177541.03317,-194632373.759,-193799726.509,-195465021.008,-195381756.283,-193882991.234,2.0,1386602884810.0,0.015667238965,0.25000913242,1.0563053673200001e-12,0.250666666667,0.25,59
522.0,-428.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-199084157.881,188664.828178,-199084157.881,-198950751.701,-199217564.06,-199204223.442,-198964092.319,2.0,35594417391.6,0.00783247488584,0.12498630137,1.0563053673200001e-12,0.250666666667,0.25,8
