smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,PointProbability,ProbabilityWeight-ft_capacity,ProbabilityWeight
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,89550829.1776,1532762.75973,89624540.8336,91322650.3331,87631584.7102,87881419.599,91117042.4379,4.0,2349361677630.0,36,0.250003306843,0.125226860254,1.7334191682000001e-13,0.250018051845,0.00782734744372
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,67093242.2697,2970877.88966,66666172.8565,71088839.9494,63951783.4164,64302816.4512,70481565.2668,4.0,8826115435240.0,58,0.249996693157,0.249546279492,1.7334191682000001e-13,0.250018051845,0.0155975623434
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,18596686.2854,1712691.45569,18241685.8615,20787908.275,17115465.1437,17152244.2679,20538128.8965,4.0,2933312022380.0,47,0.125001984106,0.249546279492,1.7334191682000001e-13,0.250018051845,0.00779900812097
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,7151870.12446,640700.9928,7051967.147,8018041.11363,6485505.09021,6556548.80098,7887055.61639,4.0,410497762175.0,41,0.250003306843,0.125226860254,1.7334191682000001e-13,0.250018051845,0.00782734744372
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-12235767.6115,3597658.94918,-12620676.8208,-7911731.32601,-15789985.4786,-15599261.0654,-8333401.26476,4.0,12943149914600.0,63,0.250003306843,0.249546279492,1.7334191682000001e-13,0.250018051845,0.0155979749784
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-15716850.964,2210586.57081,-16463259.9793,-12537546.4679,-17403337.4295,-17344045.6996,-13044683.607,4.0,4886692987060.0,52,0.124994709051,0.249546279492,1.7334191682000001e-13,0.250018051845,0.00779855422245
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-28362878.4438,2212731.2903,-28289787.6477,-25767485.1275,-31104453.3524,-30751445.2396,-26076638.7626,4.0,4896179763070.0,57,0.249996693157,0.249546279492,1.7334191682000001e-13,0.250018051845,0.0155975623434
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-32820185.9334,5898253.02069,-34774852.8368,-24480175.7074,-37250862.3527,-37170709.3356,-25733128.8665,4.0,34789388696100.0,79,0.124994709051,0.250453720508,1.7334191682000001e-13,0.249981948155,0.00782578236135
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-74216074.1209,338023.407329,-74217334.4395,-73897840.9121,-74531786.6925,-74524563.5886,-73905820.2071,4.0,114259823902.0,46,0.125001984106,0.125226860254,1.7334191682000001e-13,0.250018051845,0.00391368407525
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-91490203.1871,2168575.6502,-90762041.7579,-89848536.3565,-94588192.8759,-94106438.637,-89893393.738,4.0,4702720350630.0,68,0.250003306843,0.249546279492,1.7334191682000001e-13,0.250018051845,0.0155979749784
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-108910398.987,521593.450234,-108902765.389,-108425843.105,-109410222.065,-109395167.118,-108436317.893,4.0,272059727327.0,62,0.250003306843,0.249546279492,1.7334191682000001e-13,0.250018051845,0.0155979749784
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-116564939.367,2660036.06559,-116903814.328,-113004617.255,-119447511.558,-119077856.786,-113577597.003,4.0,7075791870260.0,84,0.249996693157,0.250453720508,1.7334191682000001e-13,0.249981948155,0.015652020206
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-150451703.166,1650715.869,-150829144.965,-148156638.584,-151991884.15,-151870525.912,-148504461.901,4.0,2724862880170.0,56,0.249996693157,0.125226860254,1.7334191682000001e-13,0.250018051845,0.00782714037597
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-172633602.293,1563097.24058,-172219651.971,-171297843.234,-174797261.997,-174487211.148,-171359523.89,4.0,2443272983520.0,51,0.124994709051,0.125226860254,1.7334191682000001e-13,0.250018051845,0.00391345630072
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-173993260.004,1486444.58665,-173944000.432,-172427457.076,-175657582.074,-175526133.117,-172529350.29,4.0,2209517509190.0,73,0.125001984106,0.249546279492,1.7334191682000001e-13,0.250018051845,0.00779900812097
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-190894758.132,1437926.66131,-191265101.671,-188875298.607,-192173530.579,-192086460.164,-189184575.146,4.0,2067633083300.0,67,0.250003306843,0.249546279492,1.7334191682000001e-13,0.250018051845,0.0155979749784
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-195411420.051,4962110.03475,-195758939.73,-190036129.231,-200091671.514,-199948526.074,-190387786.478,4.0,24622535997000.0,89,0.250003306843,0.250453720508,1.7334191682000001e-13,0.249981948155,0.0156524342817
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-199677096.373,3686033.09973,-200123797.691,-194861174.349,-203599615.761,-203219839.102,-195508971.799,4.0,13586840012300.0,78,0.124994709051,0.249546279492,1.7334191682000001e-13,0.249981948155,0.00779742807743
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-204556308.671,2192788.95243,-204742606.089,-202156489.356,-206583533.15,-206532063.47,-202319737.486,4.0,4808323389880.0,105,0.124994709051,0.125226860254,1.7334191682000001e-13,0.124990974078,0.00195644559034
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-222467493.945,3880322.31681,-221323515.013,-219314606.096,-227908339.659,-227104628.256,-219431930.139,4.0,15056901282300.0,83,0.249996693157,0.249546279492,1.7334191682000001e-13,0.249981948155,0.0155953099878
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-229873561.077,2415289.65482,-229771475.51,-227335098.511,-232616194.777,-232388320.292,-227501721.655,4.0,5833624116660.0,61,0.250003306843,0.125226860254,1.7334191682000001e-13,0.250018051845,0.00782734744372
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-272892979.646,2622566.9751,-272759710.412,-269823544.247,-276228953.516,-275731779.741,-270240756.481,4.0,6877857538890.0,72,0.125001984106,0.249546279492,1.7334191682000001e-13,0.250018051845,0.00779900812097
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-276251072.91,4008704.2676,-277195528.467,-270652837.313,-279960397.395,-279667795.393,-271512112.649,4.0,16069709905100.0,94,0.250003306843,0.250453720508,1.7334191682000001e-13,0.249981948155,0.0156524342817
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-287529632.224,2953817.12925,-288373939.771,-283271313.238,-290099336.117,-289852497.447,-284024736.435,4.0,8725035633060.0,110,0.249996693157,0.125226860254,1.7334191682000001e-13,0.124990974078,0.00391300505149
