smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,co2_location_label,fuel_region_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-ft_capacity,ProbabilityWeight,prefix,ProbabilityWeight-htse_capacity,PointProbability,ProbabilityWeight-h2_storage_capacity
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,635975108.864,1692092.35254,636010544.489,637594100.382,634285246.098,634356983.924,637543623.93,4.0,2863176529520.0,0.250018051845,0.0078270161323,31,0.125226860254,3.46688419418e-13,0.249992724848
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,604520275.582,476194.512825,604422168.984,605108606.811,604128157.548,604129681.499,605048218.901,4.0,226761214045.0,0.250018051845,0.00782747168739,36,0.125226860254,3.46688419418e-13,0.250007275152
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,602547542.098,711006.68646,602566625.525,603336033.087,601720884.255,601799049.482,603269317.916,4.0,505530508191.0,0.250018051845,0.00391330099566,26,0.125226860254,3.46688419418e-13,0.12498974865
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,570838692.946,315976.287507,570867609.569,571164794.933,570454757.712,570494411.139,571142491.48,4.0,99841014266.5,0.250018051845,0.00782747168739,41,0.125226860254,3.46688419418e-13,0.250007275152
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,538270300.788,918776.455736,538346438.057,539296663.553,537091663.484,537250209.545,539183799.854,4.0,844150175615.0,0.250018051845,0.00391371513664,46,0.125226860254,3.46688419418e-13,0.125002976198
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,490167408.153,1441060.54714,490470264.107,491426263.507,488302840.892,488522676.429,491388141.542,4.0,2076655500510.0,0.250018051845,0.00779824473773,53,0.249546279492,3.46688419418e-13,0.12498974865
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,458801925.363,1587600.28481,459166693.213,460297821.821,456576493.204,456930644.344,460162531.391,4.0,2520474664320.0,0.250018051845,0.0155973147564,58,0.249546279492,3.46688419418e-13,0.249992724848
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,425673021.046,1927353.54691,425428639.102,428251811.147,423582994.833,423851448.133,427836728.68,4.0,3714691694800.0,0.250018051845,0.0155982225654,63,0.249546279492,3.46688419418e-13,0.250007275152
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,396091438.558,2552335.33237,395889347.684,399191878.94,393395179.926,393598970.056,398866834.285,4.0,6514415648880.0,0.250018051845,0.0155982225654,68,0.249546279492,3.46688419418e-13,0.250007275152
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,379950848.411,2107730.04596,379643278.128,382647795.511,377869041.875,378003940.738,382328354.479,4.0,4442525946660.0,0.250018051845,0.0155973147564,57,0.249546279492,3.46688419418e-13,0.249992724848
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,359846915.104,2882173.81858,358880309.091,364045540.053,357581502.181,357719049.904,363328028.722,4.0,8306925920510.0,0.250018051845,0.00779907001867,73,0.249546279492,3.46688419418e-13,0.125002976198
