npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,prefix,ProbabilityWeight-htse_capacity,ProbabilityWeight,PointProbability,ProbabilityWeight-ft_capacity
1193.0,-585.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,braidwood,illinois,covid,861273088.287,2020718.84499,861273088.287,862701952.285,859844224.289,859987110.689,862559065.886,2.0,4083304650510.0,0.125002603629,98,0.25,0.00781266272682,1.17734560967e-13,0.25
1193.0,-785.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,braidwood,illinois,covid,851458927.959,4349681.17193,851458927.959,854534617.011,848383238.906,848690807.811,854227048.106,2.0,18919726297400.0,0.250004260484,112,0.25,0.00781263314013,1.17734560967e-13,0.125
1193.0,-785.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,822849871.755,2319053.65586,822849871.755,824489690.321,821210053.189,821374035.046,824325708.465,2.0,5378009858750.0,0.124993135887,77,0.25,0.00781207099292,1.17734560967e-13,0.25
1193.0,-785.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,braidwood,illinois,covid,801987458.798,2969066.43743,801987458.798,804086905.809,799888011.786,800097956.487,803876961.108,2.0,8815355509900.0,0.250004260484,87,0.25,0.0156252662803,1.17734560967e-13,0.25
1193.0,-785.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,396089.0,1e+200,-1e+200,ref,braidwood,illinois,covid,800748106.91,5047419.02635,800748106.91,804317171.131,797179042.689,797535949.112,803960264.709,2.0,25476438827600.0,0.250005207258,117,0.25,0.00781266272682,1.17734560967e-13,0.125
1193.0,-785.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,132030.0,1e+200,-1e+200,ref,braidwood,illinois,covid,783148342.841,7730669.12701,783148342.841,788614751.403,777681934.278,778228575.134,788068110.547,2.0,59763245151400.0,0.249994792742,57,0.25,0.0156246745464,1.17734560967e-13,0.25
1193.0,-785.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,766284582.7,2200425.14918,766284582.7,767840518.244,764728647.155,764884240.71,767684924.69,2.0,4841870837150.0,0.124993135887,52,0.25,0.00781207099292,1.17734560967e-13,0.25
1193.0,-785.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,396089.0,1e+200,-1e+200,ref,braidwood,illinois,covid,759977228.407,4875035.78163,759977228.407,763424399.266,756530057.547,756874774.633,763079682.18,2.0,23765973872200.0,0.250005207258,92,0.25,0.0156253254536,1.17734560967e-13,0.25
1193.0,-785.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,braidwood,illinois,covid,733641906.214,4467647.96743,733641906.214,736801010.388,730482802.04,730798712.458,736485099.971,2.0,19959878360900.0,0.250004260484,62,0.25,0.0156252662803,1.17734560967e-13,0.25
1193.0,-785.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,braidwood,illinois,covid,728356308.97,1837643.2281,728356308.97,729655718.958,727056898.982,727186839.981,729525777.959,2.0,3376932633790.0,0.125002603629,122,0.25,0.00390633136341,1.17734560967e-13,0.125
1193.0,-985.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,132030.0,1e+200,-1e+200,ref,braidwood,illinois,covid,697338447.867,3568765.15252,697338447.867,699861945.907,694814949.827,695067299.631,699609596.103,2.0,12736084713800.0,0.249994792742,106,0.125,0.00390616863659,1.17734560967e-13,0.125
1193.0,-785.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,braidwood,illinois,covid,685424807.689,6407303.7261,685424807.689,689955455.603,680894159.776,681347224.567,689502390.812,2.0,41053541038500.0,0.125002603629,97,0.25,0.00781266272682,1.17734560967e-13,0.25
1193.0,-985.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,678089448.807,12825839.6866,678089448.807,687158687.023,669020210.59,669927134.412,686251763.202,2.0,164502163666000.0,0.124993135887,101,0.125,0.00195301774823,1.17734560967e-13,0.125
1193.0,-985.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,132030.0,1e+200,-1e+200,ref,braidwood,illinois,covid,675974647.869,1378338.40028,675974647.869,676949280.299,675000015.44,675097478.683,676851817.056,2.0,1899816745680.0,0.249994792742,81,0.125,0.00781233727318,1.17734560967e-13,0.25
1193.0,-785.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,396089.0,1e+200,-1e+200,ref,braidwood,illinois,covid,667449412.351,1957316.59725,667449412.351,668833444.19,666065380.513,666203783.697,668695041.006,2.0,3831088261860.0,0.250005207258,67,0.25,0.0156253254536,1.17734560967e-13,0.25
1193.0,-985.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,braidwood,illinois,covid,642742601.046,5905387.35075,642742601.046,646918340.487,638566861.604,638984435.548,646500766.543,2.0,34873599762400.0,0.250004260484,111,0.125,0.00390631657006,1.17734560967e-13,0.125
1193.0,-985.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,132030.0,1e+200,-1e+200,ref,braidwood,illinois,covid,623324863.547,4839604.72166,623324863.547,626746980.864,619902746.231,620244957.962,626404769.133,2.0,23421773861900.0,0.249994792742,56,0.125,0.00781233727318,1.17734560967e-13,0.25
1193.0,-985.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,braidwood,illinois,covid,623209748.508,4612300.62993,623209748.508,626471137.561,619948359.456,620274498.361,626144998.655,2.0,21273317100900.0,0.250004260484,86,0.125,0.00781263314013,1.17734560967e-13,0.25
1193.0,-985.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,617851325.929,18096655.7065,617851325.929,630647593.896,605055057.962,606334684.759,629367967.099,2.0,327488947759000.0,0.124993135887,76,0.125,0.00390603549646,1.17734560967e-13,0.25
1193.0,-785.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,braidwood,illinois,covid,610780652.593,9174038.6826,610780652.593,617267677.556,604293627.629,604942330.126,616618975.06,2.0,84162985749800.0,0.125002603629,72,0.25,0.00781266272682,1.17734560967e-13,0.25
1193.0,-985.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,396089.0,1e+200,-1e+200,ref,braidwood,illinois,covid,589272362.409,3733676.89784,589272362.409,591912470.662,586632254.156,586896264.981,591648459.837,2.0,13940343177500.0,0.250005207258,116,0.125,0.00390633136341,1.17734560967e-13,0.125
1193.0,-985.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,braidwood,illinois,covid,572128339.643,4090302.07386,572128339.643,575020619.977,569236059.31,569525287.343,574731391.943,2.0,16730571055400.0,0.250004260484,61,0.125,0.00781263314013,1.17734560967e-13,0.25
1193.0,-985.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,564412341.25,19809838.3293,564412341.25,578420012.267,550404670.233,551805437.335,577019245.165,2.0,392429694633000.0,0.124993135887,51,0.125,0.00390603549646,1.17734560967e-13,0.25
1193.0,-985.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,396089.0,1e+200,-1e+200,ref,braidwood,illinois,covid,551569795.741,3803841.20777,551569795.741,554259517.653,548880073.828,549149046.019,553990545.462,2.0,14469207933900.0,0.250005207258,91,0.125,0.00781266272682,1.17734560967e-13,0.25
1193.0,-985.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,braidwood,illinois,covid,536287839.558,6804548.06335,536287839.558,541099381.637,531476297.48,531957451.687,540618227.429,2.0,46301874346400.0,0.125002603629,121,0.125,0.00195316568171,1.17734560967e-13,0.125
1193.0,-985.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,132030.0,1e+200,-1e+200,ref,braidwood,illinois,covid,530252257.447,2341681.17334,530252257.447,531908076.084,528596438.81,528762020.674,531742494.221,2.0,5483470717560.0,0.249994792742,31,0.125,0.00781233727318,1.17734560967e-13,0.25
1193.0,-985.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,515150517.718,2997113.15748,515150517.718,517269796.756,513031238.68,513243166.584,517057868.852,2.0,8982687278750.0,0.124993135887,26,0.125,0.00390603549646,1.17734560967e-13,0.25
1193.0,-985.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,396089.0,1e+200,-1e+200,ref,braidwood,illinois,covid,505791300.809,4495948.35458,505791300.809,508970416.378,502612185.24,502930096.797,508652504.822,2.0,20213551607100.0,0.250005207258,66,0.125,0.00781266272682,1.17734560967e-13,0.25
1193.0,-985.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,braidwood,illinois,covid,504970954.34,3785402.21865,504970954.34,507647637.919,502294270.762,502561939.12,507379969.561,2.0,14329269956900.0,0.125002603629,96,0.125,0.00390633136341,1.17734560967e-13,0.25
1193.0,-985.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,braidwood,illinois,covid,469742271.418,2789111.88446,469742271.418,471714471.345,467770071.491,467967291.484,471517251.352,2.0,7779145104060.0,0.250004260484,36,0.125,0.00781263314013,1.17734560967e-13,0.25
1193.0,-985.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,braidwood,illinois,covid,443578185.679,3074553.79471,443578185.679,445752223.517,441404147.842,441621551.626,445534819.733,2.0,9452881036590.0,0.125002603629,71,0.125,0.00390633136341,1.17734560967e-13,0.25
