smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,prefix,ProbabilityWeight-ft_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1272242670.79,777779.251479,-1272297219.34,-1271390525.75,-1272985718.75,-1272959704.7,-1271449268.92,4.0,604940564031.0,1.7334191682000001e-13,53,0.250018051845,0.124994709051,0.249546279492,0.00779855422245
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1279034136.14,1961788.95872,-1279494886.13,-1276387830.83,-1280758941.48,-1280682748.52,-1276740473.78,4.0,3848615918560.0,1.7334191682000001e-13,68,0.250018051845,0.250003306843,0.249546279492,0.0155979749784
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1288657241.42,4356593.11659,-1290373692.81,-1282199328.92,-1291682251.13,-1291532441.06,-1283379009.83,4.0,18979903583600.0,1.7334191682000001e-13,73,0.250018051845,0.125001984106,0.249546279492,0.00779900812097
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1363668594.16,2165184.52521,-1364316733.84,-1360631627.43,-1365409281.53,-1365349902.26,-1361079890.5,4.0,4688024028190.0,1.7334191682000001e-13,57,0.250018051845,0.249996693157,0.249546279492,0.0155975623434
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1372073620.51,3381477.74193,-1371365237.07,-1368959847.02,-1376604160.9,-1376004412.41,-1369134565.45,4.0,11434391719200.0,1.7334191682000001e-13,62,0.250018051845,0.250003306843,0.249546279492,0.0155979749784
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1390380480.48,1891239.64088,-1390527590.49,-1388417187.19,-1392049553.75,-1392034627.43,-1388520379.52,4.0,3576787379220.0,1.7334191682000001e-13,67,0.250018051845,0.250003306843,0.249546279492,0.0155979749784
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1401839746.85,5791919.40351,-1402051534.7,-1394823532.84,-1408432385.16,-1407772604.81,-1395610385.9,4.0,33546330376800.0,1.7334191682000001e-13,72,0.250018051845,0.125001984106,0.249546279492,0.00779900812097
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1410686774.75,1467949.56419,-1410704259.48,-1408923072.58,-1412415507.45,-1412222887.49,-1409126183.38,4.0,2154875923010.0,1.7334191682000001e-13,52,0.250018051845,0.124994709051,0.249546279492,0.00779855422245
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1468786808.18,4883150.36165,-1470532823.91,-1461674438.11,-1472407146.8,-1472266136.86,-1462863057.49,4.0,23845157454500.0,1.7334191682000001e-13,56,0.250018051845,0.249996693157,0.125226860254,0.00782714037597
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1488902602.59,4389732.08592,-1488301613.49,-1484217980.58,-1494789202.78,-1493890244.08,-1484756345.82,4.0,19269747786200.0,1.7334191682000001e-13,61,0.250018051845,0.250003306843,0.125226860254,0.00782734744372
