smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight-ft_capacity,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight
720.0,-705.1,-17719.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,141753.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,1059455268.46,61599.8523451,1059455268.46,1059498826.13,1059411710.79,1059416066.55,1059494470.36,2.0,3794541808.94,1.2171516948100001e-13,0.0833344030397,8,0.16666294341,0.0833064516129,0.00115702305448
720.0,-705.1,-17719.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,999465013.709,35201.282381,999465013.709,999489904.774,999440122.643,999442611.75,999487415.667,2.0,1239130281.27,1.2171516948100001e-13,0.0833344030397,15,0.166668822236,0.0833064516129,0.00115706386701
720.0,-705.1,-17719.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,425260.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,939680402.046,5886.32423924,939680402.046,939684564.306,939676239.787,939676656.013,939684148.08,2.0,34648813.0495,1.2171516948100001e-13,0.0833344030397,22,0.166668234354,0.0833064516129,0.00115705978576
720.0,-601.8,-15122.4,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,933372483.065,903893.77934,933372483.065,934011632.486,932733333.645,932797248.587,933947717.544,2.0,817023964329.0,1.2171516948100001e-13,0.166668806079,51,0.0833282383511,0.166693548387,0.00231507633897
720.0,-705.1,-17719.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,879752769.52,40557.0604606,879752769.52,879781447.693,879724091.348,879726959.165,879778579.876,2.0,1644875153.21,1.2171516948100001e-13,0.0833344030397,29,0.166668822236,0.0833064516129,0.00115706386701
720.0,-601.8,-15122.4,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,141753.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,873248610.692,756198.732245,873248610.692,873783323.943,872713897.44,872767368.765,873729852.618,2.0,571836522648.0,1.2171516948100001e-13,0.166668806079,58,0.16666294341,0.166693548387,0.00463033234001
720.0,-705.1,-17719.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,708767.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,819823520.051,69149.5558466,819823520.051,819872416.171,819774623.931,819779513.543,819867526.559,2.0,4781661073.78,1.2171516948100001e-13,0.0833344030397,36,0.166668822236,0.0833064516129,0.00115706386701
720.0,-601.8,-15122.4,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,813494960.357,737764.063769,813494960.357,814016638.329,812973282.384,813025450.182,813964470.532,2.0,544295813789.0,1.2171516948100001e-13,0.166668806079,65,0.166668822236,0.166693548387,0.00463049566916
720.0,-705.1,-15122.4,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,811191931.36,195865.359389,811191931.36,811330429.084,811053433.637,811067283.409,811316579.312,2.0,38363239008.5,1.2171516948100001e-13,0.166668806079,50,0.0833282383511,0.0833064516129,0.0011569781607
720.0,-705.1,-15122.4,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,141753.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,809774009.51,3120719.45503,809774009.51,811980691.399,807567327.621,807787995.81,811760023.21,2.0,9738889916970.0,1.2171516948100001e-13,0.166668806079,57,0.16666294341,0.0833064516129,0.00231404610896
