smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,PointProbability,ProbabilityWeight-ft_capacity,ProbabilityWeight-htse_capacity,prefix
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1263762589.64,3792242.30278,-1264516284.94,-1258491017.32,-1267526771.36,-1267098593.85,-1259371412.01,4.0,14381101683000.0,0.0156524342817,0.250003306843,1.7334191682000001e-13,0.249981948155,0.250453720508,89
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1267867965.26,1356910.17857,-1267653411.28,-1266590018.02,-1269575020.45,-1269386524.13,-1266649781.95,4.0,1841205232700.0,0.00779742807743,0.124994709051,1.7334191682000001e-13,0.249981948155,0.249546279492,78
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1268323334.87,5952298.94323,-1268256805.72,-1261302357.39,-1275477370.62,-1274649867.21,-1262089943.31,4.0,35429862709600.0,0.00389871403872,0.124994709051,1.7334191682000001e-13,0.124990974078,0.249546279492,102
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1281127217.96,3307199.76316,-1281377944.37,-1276850587.4,-1284902395.71,-1284414179.0,-1277489239.95,4.0,10937570273400.0,0.00779765499392,0.249996693157,1.7334191682000001e-13,0.124990974078,0.249546279492,107
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1288682822.19,2224172.88592,-1289237600.69,-1285658787.02,-1290597300.35,-1290519526.58,-1286069427.89,4.0,4946945026480.0,0.0155953099878,0.249996693157,1.7334191682000001e-13,0.249981948155,0.249546279492,83
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1292463218.3,4637740.78544,-1294230246.5,-1285771170.99,-1295621209.21,-1295611696.17,-1286840900.95,4.0,21508639592900.0,0.00779786128164,0.250003306843,1.7334191682000001e-13,0.124990974078,0.249546279492,118
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1344800452.79,2318208.81019,-1344368056.05,-1342577383.82,-1347888315.23,-1347479873.13,-1342726387.88,4.0,5374092087640.0,0.0156524342817,0.250003306843,1.7334191682000001e-13,0.249981948155,0.250453720508,94
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1361481219.05,1661171.54385,-1361779029.71,-1359205247.3,-1363161569.45,-1362987301.73,-1359558201.43,4.0,2759490898090.0,0.00779786128164,0.250003306843,1.7334191682000001e-13,0.124990974078,0.249546279492,112
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1372727988.37,3780353.4789,-1373092008.03,-1367824933.98,-1376903003.45,-1376444477.58,-1368501871.65,4.0,14291072425500.0,0.0155957225633,0.250003306843,1.7334191682000001e-13,0.249981948155,0.249546279492,88
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1377351052.93,4215062.7875,-1378599084.63,-1371376400.63,-1380829641.86,-1380658965.3,-1372295896.2,4.0,17766754302600.0,0.0038989409552,0.125001984106,1.7334191682000001e-13,0.124990974078,0.249546279492,123
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1421591914.49,4222446.93756,-1421478509.89,-1417749506.91,-1425661131.26,-1425532799.04,-1417809796.38,4.0,17829058140500.0,0.00782623784463,0.125001984106,1.7334191682000001e-13,0.249981948155,0.250453720508,99
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1422542919.96,4093802.01152,-1423988784.0,-1416523749.07,-1425670362.77,-1425449100.56,-1417612529.7,4.0,16759214909500.0,0.0155953099878,0.249996693157,1.7334191682000001e-13,0.249981948155,0.249546279492,82
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1423613894.82,1934579.86899,-1423702821.27,-1421249307.27,-1425800629.48,-1425583105.65,-1421520186.98,4.0,3742599269490.0,0.00779855422245,0.124994709051,1.7334191682000001e-13,0.250018051845,0.249546279492,53
