smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,PointProbability,prefix,ProbabilityWeight-ft_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity
720.0,-705.1,-15493.4,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,854335738.432,158521.833388,854335738.432,854447830.296,854223646.569,854234855.755,854436621.109,2.0,25129171660.6,0.000729095007439,7.29656219147e-15,65,0.142857142857,0.0714516129032,0.0714282693518
720.0,-528.0,-13267.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,802352758.698,2572743.59979,802352758.698,804171963.144,800533554.252,800715474.697,803990042.699,2.0,6619009630240.0,0.00145736710855,7.29656219147e-15,131,0.142857142857,0.142822580645,0.0714282693518
720.0,-616.5,-13267.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,696687887.485,69440.0059908,696687887.485,696736988.984,696638785.986,696643696.135,696732078.834,2.0,4821914432.0,0.00145736710855,7.29656219147e-15,130,0.142857142857,0.142822580645,0.0714282693518
720.0,-439.4,-11041.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,650646785.628,76443.9973997,650646785.628,650700839.696,650592731.559,650598136.965,650695434.29,2.0,5843684738.45,0.00145819001488,7.29656219147e-15,196,0.142857142857,0.142903225806,0.0714282693518
720.0,-705.1,-13267.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,593929502.963,2595940.06387,593929502.963,595765109.785,592093896.14,592277456.822,595581549.103,2.0,6738904815190.0,0.000729095007439,7.29656219147e-15,129,0.142857142857,0.0714516129032,0.0714282693518
720.0,-528.0,-11041.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,538794366.082,4044124.35804,538794366.082,541653993.84,535934738.325,536220701.101,541368031.064,2.0,16354941823300.0,0.00145736710855,7.29656219147e-15,195,0.142857142857,0.142822580645,0.0714282693518
720.0,-616.5,-11041.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,432275055.883,511043.558755,432275055.883,432636418.249,431913693.517,431949829.754,432600282.012,2.0,261165518945.0,0.00145736710855,7.29656219147e-15,194,0.142857142857,0.142822580645,0.0714282693518
720.0,-439.4,-8816.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,387648717.936,1188793.02826,387648717.936,388489321.548,386808114.325,386892174.686,388405261.187,2.0,1413228864040.0,0.00145819001488,7.29656219147e-15,260,0.142857142857,0.142903225806,0.0714282693518
720.0,-705.1,-11041.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,327257789.275,808382.149195,327257789.275,327829401.775,326686176.776,326743338.025,327772240.525,2.0,653481699137.0,0.000729095007439,7.29656219147e-15,193,0.142857142857,0.0714516129032,0.0714282693518
720.0,-528.0,-8816.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,276987670.713,3038907.00069,276987670.713,279136502.461,274838838.965,275053722.14,278921619.286,2.0,9234955758820.0,0.00145736710855,7.29656219147e-15,259,0.142857142857,0.142822580645,0.0714282693518
720.0,-705.1,-17719.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2026787.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,262676676.487,931058.956839,262676676.487,263335034.589,262018318.385,262084154.195,263269198.779,2.0,866870781111.0,0.000729096806095,7.29656219147e-15,9,0.0714285714286,0.0714516129032,0.142856891126
720.0,-350.8,-6590.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,238595900.64,523501.659031,238595900.64,238966072.214,238225729.067,238262746.225,238929055.056,2.0,274053987008.0,0.00145819001488,7.29656219147e-15,325,0.142857142857,0.142903225806,0.0714282693518
720.0,-173.7,-4364.4,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,194553802.317,12931428.6211,194553802.317,203697703.185,185409901.448,186324291.535,202783313.098,2.0,167221846183000.0,0.00145736710855,7.29656219147e-15,391,0.142857142857,0.142822580645,0.0714282693518
720.0,-616.5,-8816.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,174765492.803,3952925.5962,174765492.803,177560633.297,171970352.308,172249866.358,177281119.248,2.0,15625620769100.0,0.00145736710855,7.29656219147e-15,258,0.142857142857,0.142822580645,0.0714282693518
720.0,-439.4,-6590.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,131327881.968,1065470.20539,131327881.968,132081283.175,130574480.76,130649820.881,132005943.054,2.0,1135226758570.0,0.00145819001488,7.29656219147e-15,324,0.142857142857,0.142903225806,0.0714282693518
720.0,-616.5,-15493.4,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2026787.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,104039959.155,2163649.9096,104039959.155,105569890.678,102510027.632,102663020.784,105416897.526,2.0,4681380931330.0,0.00291474140766,7.29656219147e-15,74,0.142857142857,0.142822580645,0.142856891126
720.0,-262.2,-4364.4,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,82979645.4104,7216824.35193,82979645.4104,88082710.8483,77876579.9725,78386886.5163,87572404.3045,2.0,52082553726500.0,0.00145736710855,7.29656219147e-15,390,0.142857142857,0.142822580645,0.0714282693518
