smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-ft_capacity,ProbabilityWeight,PointProbability,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity
720.0,-616.5,-13267.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,121503.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1706541710.5,9960527.14831,-1706541710.5,-1699498554.21,-1713584866.79,-1712880551.16,-1700202869.84,2.0,99212101072300.0,146,0.142857142857,0.00291481851283,2.43433201164e-13,0.142860670194,0.142822580645
720.0,-616.5,-13267.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,182254.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1730886713.44,7224457.87623,-1730886713.44,-1725778250.28,-1735995176.59,-1735484330.28,-1726289096.6,2.0,52192791605500.0,154,0.142857142857,0.00291481851283,2.43433201164e-13,0.142860670194,0.142822580645
720.0,-528.0,-13267.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,303757.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1742717500.49,1261982.08401,-1742717500.49,-1741825144.4,-1743609856.57,-1743520620.97,-1741914380.0,2.0,1592598780350.0,171,0.142857142857,0.00291479452315,2.43433201164e-13,0.142859494415,0.142822580645
720.0,-705.1,-13267.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,60751.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1744973146.12,7223314.67431,-1744973146.12,-1739865491.33,-1750080800.91,-1749570035.43,-1740376256.81,2.0,52176274884100.0,137,0.142857142857,0.0014581121704,2.43433201164e-13,0.142848912404,0.0714516129032
720.0,-616.5,-13267.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,243006.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1761122448.62,1349217.47983,-1761122448.62,-1760168407.79,-1762076489.45,-1761981085.36,-1760263811.87,2.0,1820387807890.0,162,0.142857142857,0.00291481851283,2.43433201164e-13,0.142860670194,0.142822580645
720.0,-705.1,-13267.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,121503.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1769214586.49,2673447.43321,-1769214586.49,-1767324173.68,-1771104999.29,-1770915958.01,-1767513214.96,2.0,7147321178160.0,145,0.142857142857,0.00145823218654,2.43433201164e-13,0.142860670194,0.0714516129032
720.0,-528.0,-13267.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,364508.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1771809078.51,1862633.32329,-1771809078.51,-1770491997.85,-1773126159.16,-1772994451.1,-1770623705.92,2.0,3469402897040.0,179,0.142857142857,0.00291481851283,2.43433201164e-13,0.142860670194,0.142822580645
720.0,-439.4,-11041.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1778086841.8,13029020.5116,-1778086841.8,-1768873933.05,-1787299750.56,-1786378459.68,-1769795223.92,2.0,169755375491000.0,196,0.142857142857,0.00145798015263,2.43433201164e-13,0.071417989418,0.142903225806
720.0,-528.0,-13267.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,425260.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1785547253.28,6405556.10548,-1785547253.28,-1781017841.12,-1790076665.44,-1789623724.22,-1781470782.34,2.0,41031149020400.0,187,0.142857142857,0.00145742125126,2.43433201164e-13,0.0714309229865,0.142822580645
720.0,-616.5,-13267.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,303757.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1786038575.88,1654961.20689,-1786038575.88,-1784868341.59,-1787208810.18,-1787091786.75,-1784985365.02,2.0,2738896596330.0,170,0.142857142857,0.00291479452315,2.43433201164e-13,0.142859494415,0.142822580645
