npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,prefix,PointProbability,ProbabilityWeight-meoh_capacity,ProbabilityWeight
1280.0,-1000.0,-22125.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2596673829.98,7788742.56434,2596922370.6,2605947157.08,2586903421.66,2588337975.84,2604661727.27,4.0,60664510733600.0,0.0555555555556,0.0555483991254,2,8.51195973434e-14,0.111096045198,0.000342844858883
1280.0,-700.0,-17208.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2595878282.95,14048905.5733,2595762043.39,2611616768.5,2580372276.53,2581599325.52,2610319975.77,4.0,197371747807000.0,0.111111111111,0.0555483991254,34,8.51195973434e-14,0.111118644068,0.000685829198995
1280.0,-1000.0,-24583.0,-1e+200,-1e+200,-1e+200,-1e+200,393333.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2593654187.71,18996477.7131,2595978068.88,2614281069.44,2568379543.67,2572228427.47,2611826514.33,4.0,360866165505000.0,0.0555555555556,0.111112900219,601,8.51195973434e-14,0.0555480225989,0.000342894549576
1280.0,-800.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,131111.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2593054553.87,24355604.0791,2582332225.49,2629421492.6,2578132271.91,2578539249.54,2622581117.94,4.0,593195450058000.0,0.111111111111,0.111112900219,223,8.51195973434e-14,0.111118644068,0.00137185720119
1280.0,-900.0,-22125.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2587050558.84,11639078.5964,2590970299.48,2596020507.49,2570241128.94,2572973129.95,2595640350.86,4.0,135468150573000.0,0.111111111111,0.111112900219,412,8.51195973434e-14,0.111096045198,0.0013715781983
1280.0,-700.0,-17208.0,-1e+200,-1e+200,-1e+200,-1e+200,65556.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2581106450.91,29204592.2502,2571470965.63,2623488793.06,2557995079.34,2559323849.97,2616378731.26,4.0,852908208498000.0,0.111111111111,0.111104425499,134,8.51195973434e-14,0.111118644068,0.00137175256793
1280.0,-900.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,131111.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2579996523.37,15849904.4879,2584603171.04,2593081066.1,2557698685.31,2561040316.98,2592503423.03,4.0,251219472276000.0,0.111111111111,0.111112900219,213,8.51195973434e-14,0.111118644068,0.00137185720119
1280.0,-1000.0,-24583.0,-1e+200,-1e+200,-1e+200,-1e+200,458889.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2570939441.03,13985691.9179,2573820435.65,2584542091.68,2551574801.15,2554573279.23,2583272210.38,4.0,195599578421000.0,0.0555555555556,0.111112900219,701,8.51195973434e-14,0.0555480225989,0.000342894549576
1280.0,-900.0,-22125.0,-1e+200,-1e+200,-1e+200,-1e+200,327778.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2566176330.29,23967710.4902,2556356491.11,2601303428.42,2550688910.52,2550740223.59,2595360211.84,4.0,574451146142000.0,0.111111111111,0.111112900219,512,8.51195973434e-14,0.111096045198,0.0013715781983
1280.0,-1000.0,-22125.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2551729053.17,10352364.0378,2551405734.7,2562581193.95,2541523549.31,2541948488.91,2561962263.28,4.0,107171441171000.0,0.0555555555556,0.111112900219,402,8.51195973434e-14,0.111096045198,0.000685789099152
1280.0,-800.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,196667.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2550977230.97,40011546.2578,2564806648.92,2581981414.94,2492314211.12,2502742390.23,2579850886.59,4.0,1600923833940000.0,0.111111111111,0.111112900219,323,8.51195973434e-14,0.111118644068,0.00137185720119
1280.0,-600.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2550629225.5,15696112.6921,2552069789.83,2568210295.12,2530167027.21,2533168671.06,2566072989.87,4.0,246367953642000.0,0.111111111111,0.0555483991254,45,8.51195973434e-14,0.111096045198,0.000685689717767
1280.0,-1000.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,65556.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2548160984.97,35292705.519,2546966743.36,2592343420.46,2506367032.72,2511829039.87,2586164868.35,4.0,1245575062850000.0,0.0555555555556,0.111104425499,103,8.51195973434e-14,0.111118644068,0.000685876283964
1280.0,-1000.0,-24583.0,-1e+200,-1e+200,-1e+200,-1e+200,524444.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2542991755.41,9634136.18692,2540336195.05,2555955060.27,2535339571.26,2535437448.67,2554263846.64,4.0,92816580068200.0,0.0555555555556,0.111112900219,801,8.51195973434e-14,0.0555480225989,0.000342894549576
1280.0,-900.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2542328891.53,20766202.4519,2545474445.14,2561950874.69,2516415801.16,2519210686.78,2561043321.23,4.0,431235164274000.0,0.111111111111,0.0555483991254,13,8.51195973434e-14,0.111118644068,0.000685829198995
1280.0,-900.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,196667.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2536261907.3,18739749.2262,2531056740.52,2563199358.69,2519734789.46,2521352641.72,2558458406.37,4.0,351178201060000.0,0.111111111111,0.111112900219,313,8.51195973434e-14,0.111118644068,0.00137185720119
1280.0,-900.0,-22125.0,-1e+200,-1e+200,-1e+200,-1e+200,393333.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2536256616.77,9312198.75158,2537248809.5,2545984972.86,2524543875.21,2525905123.45,2545219040.27,4.0,86717045589000.0,0.111111111111,0.111112900219,612,8.51195973434e-14,0.111096045198,0.0013715781983
1280.0,-1000.0,-22125.0,-1e+200,-1e+200,-1e+200,-1e+200,327778.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2533082117.43,12616933.9234,2531777786.1,2547801589.85,2520971307.68,2521475691.28,2546514607.45,4.0,159187021629000.0,0.0555555555556,0.111112900219,502,8.51195973434e-14,0.111096045198,0.000685789099152
1280.0,-800.0,-17208.0,-1e+200,-1e+200,-1e+200,-1e+200,65556.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2523102316.56,15773697.7924,2521503125.24,2542737816.11,2506665199.65,2507909665.2,2540533835.76,4.0,248809542046000.0,0.111111111111,0.111104425499,124,8.51195973434e-14,0.111118644068,0.00137175256793
