smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-meoh_capacity,PointProbability,ProbabilityWeight-htse_capacity,prefix
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-473997934.342,60753.8068434,-473997934.342,-473954974.913,-474040893.771,-474036597.828,-473959270.856,2.0,3691025045.96,0.00782491388941,0.12498986221,0.249963898917,3.66466187075e-13,0.250453720508,8
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-489936329.919,615365.868251,-489936329.919,-489501200.541,-490371459.297,-490327946.36,-489544713.479,2.0,378675151809.0,0.0156507031859,0.249993707579,0.249963898917,3.66466187075e-13,0.250453720508,33
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-529528920.234,871630.202019,-529528920.234,-528912584.607,-530145255.86,-530083622.298,-528974218.17,2.0,759739209072.0,0.0156514910523,0.250006292421,0.249963898917,3.66466187075e-13,0.250453720508,58
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-569568014.607,398252.610307,-569568014.607,-569286407.486,-569849621.729,-569821461.016,-569314568.198,2.0,158605141617.0,0.0156514910523,0.250006292421,0.249963898917,3.66466187075e-13,0.250453720508,83
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-609584497.97,76901.6906778,-609584497.97,-609530120.263,-609638875.677,-609633437.906,-609535558.034,2.0,5913870029.11,0.00782578929651,0.125003845369,0.249963898917,3.66466187075e-13,0.250453720508,108
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-633092362.272,378793.250032,-633092362.272,-632824514.996,-633360209.548,-633333424.82,-632851299.724,2.0,143484326270.0,0.00391245694471,0.12498986221,0.249963898917,3.66466187075e-13,0.125226860254,3
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-633993741.067,674383.269309,-633993741.067,-633516880.084,-634470602.05,-634422915.951,-633564566.182,2.0,454792793924.0,0.00782535159296,0.249993707579,0.249963898917,3.66466187075e-13,0.125226860254,28
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-673483337.5,516369.947965,-673483337.5,-673118208.808,-673848466.191,-673811953.322,-673154721.677,2.0,266637923161.0,0.00782574552616,0.250006292421,0.249963898917,3.66466187075e-13,0.125226860254,53
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-711322440.438,448730.747595,-711322440.438,-711005139.883,-711639740.992,-711608010.937,-711036869.939,2.0,201359283838.0,0.00779768877217,0.12498986221,0.25,3.66466187075e-13,0.249546279492,19
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-714337340.684,20558.6980295,-714337340.684,-714322803.489,-714351877.879,-714350424.159,-714324257.209,2.0,422660064.67,0.00782574552616,0.250006292421,0.249963898917,3.66466187075e-13,0.125226860254,78
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-751647204.396,230134.514951,-751647204.396,-751484474.719,-751809934.072,-751793661.104,-751500747.687,2.0,52961894971.5,0.0155962499057,0.249993707579,0.25,3.66466187075e-13,0.249546279492,44
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-753380626.113,1138545.10249,-753380626.113,-752575553.15,-754185699.076,-754105191.779,-752656060.447,2.0,1296284950400.0,0.00391289464826,0.125003845369,0.249963898917,3.66466187075e-13,0.125226860254,103
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-790782636.177,1181913.80518,-790782636.177,-789946896.911,-791618375.444,-791534801.517,-790030470.838,2.0,1396920242880.0,0.0155970350308,0.250006292421,0.25,3.66466187075e-13,0.249546279492,69
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-830549723.741,311613.170001,-830549723.741,-830329379.955,-830770067.527,-830748033.148,-830351414.334,2.0,97102767718.1,0.0155970350308,0.250006292421,0.25,3.66466187075e-13,0.249546279492,94
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-870128495.103,1385315.46886,-870128495.103,-869148929.141,-871108061.065,-871010104.469,-869246885.737,2.0,1919098948260.0,0.00779856113348,0.125003845369,0.25,3.66466187075e-13,0.249546279492,119
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-874087701.726,209959.549689,-874087701.726,-873939237.904,-874236165.547,-874221319.165,-873954084.286,2.0,44083012505.8,0.00779768877217,0.12498986221,0.25,3.66466187075e-13,0.249546279492,14
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-892479843.303,578453.018429,-892479843.303,-892070815.251,-892888871.355,-892847968.549,-892111718.056,2.0,334607894530.0,0.0155962499057,0.249993707579,0.25,3.66466187075e-13,0.249546279492,39
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-932054565.532,543848.498741,-932054565.532,-931670006.571,-932439124.494,-932400668.598,-931708462.467,2.0,295771189583.0,0.0155970350308,0.250006292421,0.25,3.66466187075e-13,0.249546279492,64
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-972258310.544,601843.391251,-972258310.544,-971832743.001,-972683878.088,-972641321.333,-971875299.756,2.0,362215467593.0,0.0155970350308,0.250006292421,0.25,3.66466187075e-13,0.249546279492,89
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1012954262.91,101234.449443,-1012954262.91,-1012882679.34,-1013025846.48,-1013018688.12,-1012889837.7,2.0,10248413754.1,0.00779856113348,0.125003845369,0.25,3.66466187075e-13,0.249546279492,114
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1034501315.39,441484.042113,-1034501315.39,-1034189139.03,-1034813491.75,-1034782274.11,-1034220356.67,2.0,194908159440.0,0.00782604400407,0.12498986221,0.25,3.66466187075e-13,0.250453720508,9
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1042422505.96,428170.430724,-1042422505.96,-1042119743.74,-1042725268.17,-1042694991.95,-1042150019.97,2.0,183329917746.0,0.0156529635417,0.249993707579,0.25,3.66466187075e-13,0.250453720508,34
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1082252649.18,1671017.58337,-1082252649.18,-1081071061.31,-1083434237.04,-1083316078.25,-1081189220.1,2.0,2792299763950.0,0.0156537515218,0.250006292421,0.25,3.66466187075e-13,0.250453720508,59
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1082468906.61,49328.9021367,-1082468906.61,-1082434025.81,-1082503787.41,-1082500299.33,-1082437513.89,2.0,2433340586.01,0.00195679352968,0.12498986221,0.125018050542,3.66466187075e-13,0.125226860254,25
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1122234684.2,341758.278411,-1122234684.2,-1121993024.6,-1122476343.8,-1122452177.84,-1122017190.56,2.0,116798720863.0,0.00391380597435,0.249993707579,0.125018050542,3.66466187075e-13,0.125226860254,50
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1122966354.68,45987.5192696,-1122966354.68,-1122933836.6,-1122998872.77,-1122995620.96,-1122937088.41,2.0,2114851928.57,0.0156537515218,0.250006292421,0.25,3.66466187075e-13,0.250453720508,84
